A1Num	B1Num	B2Num	Mean_classification_prob
9	10	1	0.995500172032702
9	10	8	0.9954938528291442
10	10	8	0.9953485081672088
9	10	23	0.993743780661194
9	10	6	0.9932442866436576
9	10	37	0.9929056991463779
9	10	12	0.99283976752749
9	10	39	0.9928316895367364
9	10	36	0.9928292615845818
9	10	38	0.9928147275643104
9	10	22	0.9927695250272676
9	10	4	0.9925334297902848
9	10	16	0.992247733762992
9	10	17	0.991412060775248
9	10	34	0.9914030336031848
9	10	21	0.9913708914640648
9	10	28	0.9911514948382472
9	10	35	0.9900767529568716
9	10	41	0.9899423108214834
9	10	32	0.9892130497843332
9	10	33	0.9889755518152196
9	10	40	0.9879505694684736
10	10	39	0.985057210947205
10	10	36	0.9823851457748322
10	10	23	0.9822437169941464
10	10	32	0.9817785664845676
10	10	38	0.9817776960368324
10	10	33	0.9817764596575628
10	10	37	0.9806232790063544
10	10	1	0.9806197543913808
10	10	34	0.9801359067529829
8	10	6	0.978894224418555
9	10	7	0.9786150283196616
10	10	35	0.9768469340932288
8	10	4	0.9764351099851304
9	10	20	0.9716299689750868
8	10	1	0.9715231361867118
8	10	12	0.9701898553769908
10	10	40	0.96761892437484
18	10	18	0.9668862057279294
8	10	16	0.9626804850711972
9	10	29	0.9596315650804724
10	10	17	0.9586052259258104
10	10	41	0.9565221038628496
8	10	8	0.9531590119921248
15	10	6	0.9443946344619952
10	10	22	0.9437093259217081
17	10	18	0.9425219867259458
8	10	21	0.9424946694278964
8	10	23	0.941147151101572
8	10	20	0.9409958192004384
8	10	28	0.9398797447812406
8	10	22	0.9392923882510084
10	10	28	0.9389968515231552
15	10	1	0.9377016724392224
16	10	4	0.9326333570187588
10	10	29	0.9311460651919192
8	10	34	0.929617671034628
16	10	6	0.9252163522406132
15	10	8	0.9224969982071456
8	10	17	0.9219657231841754
16	10	12	0.9202268254387804
15	10	39	0.9188179143265659
8	10	40	0.9175270103637928
15	10	38	0.9105561527561982
15	10	41	0.907848869790056
16	10	16	0.9077181544301336
15	10	22	0.904507002722178
15	10	37	0.9044266890381624
8	10	37	0.9044212087320906
8	10	38	0.9042449638555041
16	10	20	0.903695123957982
8	10	39	0.9033180641552824
15	10	36	0.902963195975004
15	10	20	0.9025295145103434
15	10	21	0.9007861481471788
15	10	40	0.8921670346730051
15	10	34	0.8905640571434447
8	10	41	0.8903364774054262
8	10	35	0.8896675153783756
14	10	11	0.8860330535667843
2	10	3	0.8858767357305035
16	10	1	0.8825164859525836
2	10	15	0.8788960334143419
16	10	21	0.8766854638129693
14	10	5	0.8757975876448592
16	10	8	0.8741541791232583
8	10	7	0.8717897555857345
12	10	15	0.8670511503469261
14	10	3	0.8627656768951116
12	10	3	0.8612794286926038
8	10	32	0.8605604062475862
16	10	39	0.85973962270283
14	10	2	0.8588356723478244
3	10	43	0.858261142669782
16	10	38	0.8555178880085305
16	10	41	0.8546131508849161
15	10	35	0.8516580644709664
16	10	34	0.8515774567970056
3	10	44	0.8506963434493702
10	10	6	0.8495354225390932
15	10	32	0.8472235765537239
16	10	36	0.8432742825905728
15	10	7	0.8432155825716847
16	10	37	0.8430416510097758
15	10	33	0.8397401416623798
14	10	15	0.8374182452610479
13	10	6	0.8371446151818388
8	10	36	0.8362611928000662
10	10	12	0.8349058597230018
16	10	22	0.8325046379564661
16	10	40	0.8313684587336568
14	10	12	0.8263146318218135
14	10	4	0.8258919342720356
4	10	43	0.8216971437538052
2	10	28	0.8209912238453279
16	10	28	0.8209589339255896
14	10	6	0.8204690357784868
12	10	44	0.8193851816490253
15	10	29	0.8187936448977261
8	10	33	0.8158983169842194
14	10	16	0.8138582318215934
12	10	43	0.8110258883512396
5	10	44	0.7991446460439482
12	10	28	0.7955863796566419
10	10	16	0.7925056622587645
5	10	43	0.7922280725738556
16	10	7	0.7918149117250821
16	10	32	0.7893700243442643
14	10	20	0.7880697355638613
16	10	35	0.7857224857013185
16	10	33	0.7809777387868365
15	10	43	0.7792965213005083
4	10	44	0.7765396671594652
13	10	20	0.7761566913312248
2	10	43	0.7753110845128509
14	10	1	0.7709682984517505
14	10	21	0.7697670643616124
3	10	15	0.7644606597969552
15	10	44	0.7620770797189939
16	10	29	0.7589434270569205
14	10	13	0.7567134444894453
10	10	21	0.7482659263011078
3	10	28	0.7448981019380065
2	10	44	0.7371996823695112
15	10	15	0.7275552637125816
8	10	29	0.7213825505254609
16	10	17	0.7022415881582456
19	10	18	0.7007705037900253
13	10	4	0.6950993943848129
13	10	21	0.6949217229978072
15	10	12	0.6872540533850454
14	10	14	0.6865515171639585
14	10	28	0.682902641641927
13	10	1	0.678186446094848
13	10	12	0.663572621327817
15	10	3	0.6464414741281048
13	10	16	0.6450065308323787
14	10	27	0.6362959776894254
15	10	16	0.6358696393185902
14	10	22	0.6330598647454266
15	10	28	0.6299636727222568
14	10	34	0.6059550122423287
13	10	28	0.5855824902704405
13	10	7	0.5854207821215774
14	10	44	0.5795210715869745
14	10	8	0.5760116602143666
14	10	23	0.5692360188490265
13	10	23	0.5634186763273396
14	10	43	0.5622598015054879
13	10	8	0.5593161813246774
13	10	34	0.5589595617985856
14	10	42	0.5420486459585271
14	10	29	0.5405362540492142
13	10	22	0.5393304714615588
14	10	41	0.5353678944128489
10	10	7	0.532121018363209
15	10	17	0.5316349938208456
10	10	4	0.5283851907398104
14	10	33	0.5211124525781536
14	10	39	0.5139512400725406
13	10	39	0.5060823634476168
14	10	32	0.5052691983374754
14	10	36	0.5046854431769294
14	10	37	0.5016503904007197
14	10	38	0.5004388014774532
13	10	38	0.4993287363858501
13	10	36	0.4982925937473884
13	10	37	0.4959211106972263
14	10	40	0.4848951401600226
14	10	7	0.4842555208586095
13	10	41	0.4792985347904337
14	10	35	0.4735389035401919
13	10	40	0.454213648872606
4	10	3	0.43928647751801775
5	10	3	0.4372498955975858
4	10	15	0.43377443479608013
13	10	29	0.4317015954961517
13	10	35	0.4196214441059306
3	10	3	0.4142141368985014
13	10	33	0.4120366595057582
10	10	20	0.4087986694908007
14	10	24	0.3853088346176491
13	10	32	0.382121468293286
14	10	17	0.3724806858286901
5	10	15	0.3522708080409862
13	10	17	0.3380922168725756
1	10	3	0.3188544619723329
4	10	28	0.3163982902009048
14	10	31	0.31455297759936085
5	10	28	0.3014319329758852
14	10	25	0.26119731770473514
1	10	15	0.242715040269298
1	10	43	0.22657304365289474
14	10	30	0.22169186240196864
15	10	4	0.21512994087678225
9	10	19	0.2091370848635864
11	10	34	0.20857161890393594
1	10	28	0.1950579255140736
7	10	34	0.17997077944272152
13	10	19	0.17618868248047334
6	10	34	0.16021060256731648
10	10	19	0.1503924389308028
8	10	19	0.12996415677340634
1	10	44	0.106162674660688
14	10	19	0.08213089667406967
16	10	19	0.07922787139786983
11	10	6	0.04474699336397312
15	10	19	0.043908630566792194
7	10	7	0.0393729291205027
11	10	23	0.038313459281222526
11	10	7	0.037912984058682535
7	10	6	0.0378513437896004
11	10	29	0.03558705459102174
11	10	16	0.03342875070917898
11	10	20	0.03232014286564108
7	10	16	0.028914473895259408
11	10	28	0.02788950551992233
7	10	20	0.026998050033880863
11	10	4	0.026958772858319945
7	10	23	0.02642441294707784
6	10	16	0.024112397541705747
7	10	29	0.02407216204630932
6	10	23	0.0219802854201352
6	10	29	0.0201909417785564
11	10	22	0.019960580456770623
11	10	21	0.01963137219405389
11	10	17	0.019284685241557024
7	10	21	0.01861047923544967
7	10	17	0.01797927388639291
7	10	19	0.015891039530429408
7	10	1	0.015762140390179074
7	10	4	0.01512185885424638
7	10	28	0.014758192078466362
11	10	39	0.014379531584513596
11	10	36	0.014358575299861247
11	10	38	0.014332375327960209
11	10	37	0.014331414153213274
11	10	41	0.014125468066768674
11	10	40	0.013834050204198286
11	10	35	0.013749850020049742
11	10	33	0.013555949926913578
11	10	32	0.013543334013409423
6	10	7	0.013054088790242278
11	10	19	0.013050366023250198
6	10	21	0.013027051599672473
6	10	17	0.012797825075486095
11	10	12	0.012477512804218726
6	10	6	0.011955173341525864
11	10	1	0.011702998310284374
7	10	12	0.011380293406522515
6	10	20	0.011346739321590823
7	10	8	0.011265143972094278
7	10	22	0.010590803485176534
6	10	19	0.01051455944273272
6	10	4	0.009727333949195616
6	10	1	0.00961782295849314
11	10	8	0.009322516845128371
6	10	8	0.008858560000325047
7	10	38	0.008799267748092426
7	10	37	0.008798228210086877
7	10	39	0.008796917157855109
7	10	36	0.0087839575675016
7	10	41	0.008485837781197662
6	10	12	0.008415592644642391
6	10	28	0.008379812342670769
7	10	35	0.008245672300968766
7	10	33	0.008177839928086413
7	10	40	0.008172443804105756
7	10	32	0.008111231932421172
6	10	22	0.007991726323603045
6	10	39	0.0069587802495201965
6	10	36	0.006947684481351901
6	10	38	0.006936443760663099
6	10	37	0.006935546543177673
6	10	41	0.006755704357577789
6	10	40	0.006525361036899137
6	10	35	0.006497929881000517
6	10	33	0.006411384935952225
6	10	32	0.006373755061870301
