A1	B1	B2	Mean_classification_prob
23	1.0	14.0	0.00930854141192758
11	1.0	14.0	0.2826648202128383
24	1.0	14.0	0.009304328218236336
14	1.0	14.0	0.7411637432364163
17	1.0	14.0	0.05104918218246828
25	1.0	14.0	0.03217679857177677
34	1.0	14.0	0.9105420046731012
26	1.0	14.0	0.6700813746274739
30	1.0	14.0	0.8046684639631698
33	1.0	14.0	0.6588753837871375
36	1.0	14.0	0.9744554107721952
37	1.0	14.0	0.9758245316656944
38	1.0	14.0	0.9792635457336604
39	1.0	14.0	0.9851753703272904
40	1.0	14.0	0.9767862769764208
42	1.0	14.0	0.9120099958882522
43	1.0	14.0	0.8372027224690093
44	1.0	14.0	0.7787664448158418
45	1.0	14.0	0.6549053663613338
46	1.0	14.0	0.44393051775402703
47	1.0	14.0	0.4951536713337848
12	1.0	40.0	0.013422962746390946
17	1.0	40.0	0.04360039967484092
26	1.0	40.0	0.7325990874043373
37	1.0	40.0	0.8216141664232148
38	1.0	40.0	0.9147414931301237
39	1.0	40.0	0.9425879943660354
46	1.0	40.0	0.6170091847039477
6	1.0	45.0	0.006217936367416319
2	1.0	45.0	0.03562976118257678
7	1.0	45.0	0.0209215620107092
3	1.0	45.0	0.04008617241728485
8	1.0	45.0	0.6754694053725079
13	1.0	45.0	0.013871646545626762
4	1.0	45.0	0.0635552081329697
9	1.0	45.0	0.33130471257006244
17	1.0	45.0	0.2650595747250689
18	1.0	45.0	0.5331893230325299
5	1.0	45.0	0.0807692301704212
10	1.0	45.0	0.07463376583649083
21	1.0	45.0	0.5116405083127029
26	1.0	45.0	0.04975714228968929
37	1.0	45.0	0.6253907557558017
38	1.0	45.0	0.6791930823872138
39	1.0	45.0	0.7182880721303259
46	1.0	45.0	0.35540769604704786
17	1.0	18.0	0.03143949457941519
26	1.0	18.0	0.7139736520237301
39	1.0	18.0	0.9849766767548066
46	1.0	18.0	0.25993589187655397
6	1.0	19.0	0.012824111773704162
22	1.0	19.0	0.011944609308385229
7	1.0	19.0	0.01834186844677585
23	1.0	19.0	0.012971600497271493
8	1.0	19.0	0.9788286988082964
11	1.0	19.0	0.2571673209184182
13	1.0	19.0	0.014270159759870841
24	1.0	19.0	0.0129363482945515
31	1.0	19.0	0.01018402048655594
9	1.0	19.0	0.9951597659751584
14	1.0	19.0	0.4692172015748364
17	1.0	19.0	0.4097210173319577
18	1.0	19.0	0.711878966590709
25	1.0	19.0	0.024340842261896947
32	1.0	19.0	0.016517137849429687
10	1.0	19.0	0.9387273955795596
34	1.0	19.0	0.8707636976202435
20	1.0	19.0	0.024620556928608508
21	1.0	19.0	0.8410692761912962
26	1.0	19.0	0.7850447610061413
30	1.0	19.0	0.8752300777432855
33	1.0	19.0	0.7566547491653727
35	1.0	19.0	0.9222716944109718
36	1.0	19.0	0.9282419350440936
37	1.0	19.0	0.9140069124114678
38	1.0	19.0	0.967496218920511
39	1.0	19.0	0.9891007645582852
40	1.0	19.0	0.9364232563866972
41	1.0	19.0	0.9420130345777544
42	1.0	19.0	0.7112469281242629
43	1.0	19.0	0.5783176025536441
44	1.0	19.0	0.5450783859256185
45	1.0	19.0	0.6099094395390194
46	1.0	19.0	0.5813821676970006
47	1.0	19.0	0.4801466725620045
6	1.0	20.0	0.014233156418359632
22	1.0	20.0	0.013733423399625784
2	1.0	20.0	0.9368835643652736
7	1.0	20.0	0.02082444155801256
23	1.0	20.0	0.01593193118641853
3	1.0	20.0	0.7353704129730708
8	1.0	20.0	0.9890376304134576
11	1.0	20.0	0.3979046689461891
13	1.0	20.0	0.015778173885445744
24	1.0	20.0	0.015901529842586647
4	1.0	20.0	0.4153727949568053
9	1.0	20.0	0.9957095606017232
14	1.0	20.0	0.7565475026610121
17	1.0	20.0	0.6479524518760366
18	1.0	20.0	0.7574493023951021
25	1.0	20.0	0.036041269272424896
32	1.0	20.0	0.01816953352716537
5	1.0	20.0	0.3867567765426981
10	1.0	20.0	0.9500594416503212
34	1.0	20.0	0.9485483916105588
21	1.0	20.0	0.8741635375852421
26	1.0	20.0	0.7666947737961123
30	1.0	20.0	0.9405093081060868
33	1.0	20.0	0.8423586254170451
35	1.0	20.0	0.9860162330853198
36	1.0	20.0	0.9860034608120052
37	1.0	20.0	0.9824042702603608
38	1.0	20.0	0.9895699699202763
39	1.0	20.0	0.9914826279303168
40	1.0	20.0	0.9697168154324938
41	1.0	20.0	0.9719088989264616
42	1.0	20.0	0.8664037952234589
43	1.0	20.0	0.8032668204726189
44	1.0	20.0	0.7836848214899508
45	1.0	20.0	0.7177949231727105
46	1.0	20.0	0.7826612583719561
47	1.0	20.0	0.5990736097139877
6	1.0	21.0	0.012832617219025571
22	1.0	21.0	0.011232650352691892
2	1.0	21.0	0.8956239276546084
7	1.0	21.0	0.0173387528603974
23	1.0	21.0	0.012338580540981985
3	1.0	21.0	0.4536469245340518
8	1.0	21.0	0.9836219352330194
11	1.0	21.0	0.2380215896118015
13	1.0	21.0	0.01355622873820067
24	1.0	21.0	0.01229113598973532
4	1.0	21.0	0.2539272255422413
9	1.0	21.0	0.994688745410858
14	1.0	21.0	0.4502988761036733
17	1.0	21.0	0.7071360178272535
18	1.0	21.0	0.719500371181686
25	1.0	21.0	0.02318948478461277
32	1.0	21.0	0.0139740241922538
5	1.0	21.0	0.24318173875915594
10	1.0	21.0	0.9074143647069512
34	1.0	21.0	0.8961195798541448
21	1.0	21.0	0.8535511585817013
26	1.0	21.0	0.7729185748668764
30	1.0	21.0	0.9497156403517828
33	1.0	21.0	0.8350947981549208
35	1.0	21.0	0.959222764174664
36	1.0	21.0	0.9623535614088066
37	1.0	21.0	0.9517629408584758
38	1.0	21.0	0.9602620864777393
39	1.0	21.0	0.9898989876927601
40	1.0	21.0	0.9476270764448224
41	1.0	21.0	0.9486983942097138
42	1.0	21.0	0.7112628763095272
43	1.0	21.0	0.5635616068764062
44	1.0	21.0	0.5488007904418881
45	1.0	21.0	0.53829893903928
46	1.0	21.0	0.4776419807798069
47	1.0	21.0	0.4667034581571272
6	1.0	22.0	0.009934010752277123
22	1.0	22.0	0.00961921897126036
2	1.0	22.0	0.7728591016353024
7	1.0	22.0	0.01732290542950618
23	1.0	22.0	0.010856671607932564
3	1.0	22.0	0.14682990959367326
8	1.0	22.0	0.9791824953240368
11	1.0	22.0	0.2761544479141657
13	1.0	22.0	0.014880218525843612
24	1.0	22.0	0.010856779590399058
4	1.0	22.0	0.14610447388320874
9	1.0	22.0	0.9884883371624562
14	1.0	22.0	0.6827223497477851
17	1.0	22.0	0.5042706503641772
18	1.0	22.0	0.7854809535191596
25	1.0	22.0	0.02372178704745567
32	1.0	22.0	0.013096944539626341
5	1.0	22.0	0.1587894787207144
10	1.0	22.0	0.7860788656863467
34	1.0	22.0	0.9396840808559058
21	1.0	22.0	0.78310287604702
26	1.0	22.0	0.3763424173794909
30	1.0	22.0	0.8950519923911001
33	1.0	22.0	0.7921511944183981
35	1.0	22.0	0.9834103440424876
36	1.0	22.0	0.98410107219346
37	1.0	22.0	0.9834586790274336
38	1.0	22.0	0.9863206210101096
39	1.0	22.0	0.988898427919926
40	1.0	22.0	0.9701958831474762
41	1.0	22.0	0.9685393373254056
42	1.0	22.0	0.8425828326920417
43	1.0	22.0	0.7695935595290139
44	1.0	22.0	0.7400497582089641
45	1.0	22.0	0.6713034784982309
46	1.0	22.0	0.5594231920404271
47	1.0	22.0	0.5269691424523906
22	1.0	23.0	0.00708314158410477
23	1.0	23.0	0.00733261501487952
11	1.0	23.0	0.19511723929250452
24	1.0	23.0	0.007328151474181452
14	1.0	23.0	0.3805028472549452
17	1.0	23.0	0.03302216927514312
25	1.0	23.0	0.013994162200671352
34	1.0	23.0	0.87924730263976
26	1.0	23.0	0.8164247126462092
33	1.0	23.0	0.7177493773509478
35	1.0	23.0	0.9465266661247758
36	1.0	23.0	0.9756402487737448
37	1.0	23.0	0.978723968407146
38	1.0	23.0	0.9803475106156759
39	1.0	23.0	0.9857917949299478
40	1.0	23.0	0.9194453519786294
41	1.0	23.0	0.9422508504691828
42	1.0	23.0	0.6807025748374194
43	1.0	23.0	0.6804535994263983
44	1.0	23.0	0.6647440614484207
45	1.0	23.0	0.5824987455043629
46	1.0	23.0	0.4319378444691268
47	1.0	23.0	0.4493749907679981
17	1.0	41.0	0.04099269325925798
26	1.0	41.0	0.7072317854180845
38	1.0	41.0	0.9686592641294371
39	1.0	41.0	0.9829016320065452
46	1.0	41.0	0.4200113503353656
22	1.0	43.0	0.009347996924800268
23	1.0	43.0	0.00951316259427615
11	1.0	43.0	0.09975258699424046
24	1.0	43.0	0.009469537691397616
14	1.0	43.0	0.18045883807889304
17	1.0	43.0	0.3940417198558493
25	1.0	43.0	0.028098103111222548
34	1.0	43.0	0.8260466498085688
21	1.0	43.0	0.768472065664462
26	1.0	43.0	0.706379566323272
30	1.0	43.0	0.8056046083775942
33	1.0	43.0	0.7539281517498146
35	1.0	43.0	0.9011171060021838
36	1.0	43.0	0.9054433265090384
37	1.0	43.0	0.8976193153347787
38	1.0	43.0	0.8992727864670148
39	1.0	43.0	0.9693348703036164
40	1.0	43.0	0.8288448787714554
41	1.0	43.0	0.7685995756126335
42	1.0	43.0	0.3804341275322543
43	1.0	43.0	0.2104965544770582
44	1.0	43.0	0.1957622937586876
45	1.0	43.0	0.26102226129078904
46	1.0	43.0	0.30078572506167434
47	1.0	43.0	0.29628231069492944
6	1.0	46.0	0.0046724425252934005
2	1.0	46.0	0.2973106194486174
7	1.0	46.0	0.005974474422794161
3	1.0	46.0	0.08243715438163403
8	1.0	46.0	0.6758995229048413
13	1.0	46.0	0.005242311504206574
4	1.0	46.0	0.07268632953869962
9	1.0	46.0	0.7649705534253249
17	1.0	46.0	0.34283657258511363
18	1.0	46.0	0.4246737706398367
5	1.0	46.0	0.08832893646456395
10	1.0	46.0	0.44808493453696974
21	1.0	46.0	0.5174123610530204
26	1.0	46.0	0.3153532884091156
30	1.0	46.0	0.7053625806763855
37	1.0	46.0	0.5365060061277449
38	1.0	46.0	0.5693429879024479
39	1.0	46.0	0.5941923723038677
46	1.0	46.0	0.2983809002242228
12	1.0	26.0	0.012427899603403342
17	1.0	26.0	0.03935244623915062
34	1.0	26.0	0.8972724180229924
26	1.0	26.0	0.7445742283443446
37	1.0	26.0	0.9546344878524038
38	1.0	26.0	0.9563786160980784
39	1.0	26.0	0.9867114825539888
46	1.0	26.0	0.6636203628223875
6	1.0	27.0	0.012841846337789464
22	1.0	27.0	0.012550100512953051
7	1.0	27.0	0.018163097000935918
23	1.0	27.0	0.013267668699805757
8	1.0	27.0	0.975952615086505
11	1.0	27.0	0.2547444175097359
13	1.0	27.0	0.014374115841437534
24	1.0	27.0	0.013238153994811746
31	1.0	27.0	0.010502422596116128
9	1.0	27.0	0.9940743010812004
14	1.0	27.0	0.4714077527154642
17	1.0	27.0	0.4102398045126293
18	1.0	27.0	0.7168670417735468
25	1.0	27.0	0.025614209057484783
32	1.0	27.0	0.022845236968409142
10	1.0	27.0	0.8540140324187231
34	1.0	27.0	0.8818485449136657
21	1.0	27.0	0.8394660538531221
26	1.0	27.0	0.7656573969512644
30	1.0	27.0	0.8743730984257306
33	1.0	27.0	0.7577242189044571
35	1.0	27.0	0.9355091496997688
36	1.0	27.0	0.9411296642302344
37	1.0	27.0	0.929380067519072
38	1.0	27.0	0.9712271564686772
39	1.0	27.0	0.9895163979267346
40	1.0	27.0	0.9376247288083016
41	1.0	27.0	0.943911858323318
42	1.0	27.0	0.7142551286425423
43	1.0	27.0	0.5821192028954221
44	1.0	27.0	0.5777485962946012
45	1.0	27.0	0.6167596379465967
46	1.0	27.0	0.8806683099356492
47	1.0	27.0	0.4804725046425142
6	1.0	28.0	0.011755460028110974
22	1.0	28.0	0.010381574964500791
2	1.0	28.0	0.9215111696642072
7	1.0	28.0	0.016221527623781408
23	1.0	28.0	0.01214481051002297
3	1.0	28.0	0.7663646197180893
8	1.0	28.0	0.9852462530790496
13	1.0	28.0	0.012288758512325727
24	1.0	28.0	0.012122459302909769
4	1.0	28.0	0.3632316485642334
9	1.0	28.0	0.9949897283699434
14	1.0	28.0	0.7250116501680609
17	1.0	28.0	0.6293006852517326
18	1.0	28.0	0.7204030560335017
25	1.0	28.0	0.022659004641755853
32	1.0	28.0	0.013730546063891815
5	1.0	28.0	0.33385981002308585
10	1.0	28.0	0.9279265909775792
34	1.0	28.0	0.9484754665791562
21	1.0	28.0	0.8497481767464359
26	1.0	28.0	0.7084547973834779
30	1.0	28.0	0.9273940509475108
33	1.0	28.0	0.8038751905571819
35	1.0	28.0	0.9857028902644192
36	1.0	28.0	0.98815327679171
37	1.0	28.0	0.9879349369684928
38	1.0	28.0	0.990911827384213
39	1.0	28.0	0.9924539749032198
40	1.0	28.0	0.9645204149130584
41	1.0	28.0	0.9713130420188882
42	1.0	28.0	0.8536980617831644
43	1.0	28.0	0.7866269666371153
44	1.0	28.0	0.7610652195589573
45	1.0	28.0	0.7046534948904504
46	1.0	28.0	0.8478465924395621
47	1.0	28.0	0.6078521235489802
6	1.0	29.0	0.03669108794410684
22	1.0	29.0	0.03451879929647566
2	1.0	29.0	0.8718987729585254
7	1.0	29.0	0.044946321314775266
23	1.0	29.0	0.0384186073516802
3	1.0	29.0	0.3254004229097111
8	1.0	29.0	0.9835256192761316
11	1.0	29.0	0.2724031655388753
13	1.0	29.0	0.04082775129094611
24	1.0	29.0	0.03839805517930538
4	1.0	29.0	0.32782193281924776
9	1.0	29.0	0.994274689987548
14	1.0	29.0	0.4642524881114983
17	1.0	29.0	0.7070687036136712
18	1.0	29.0	0.7427720147405069
25	1.0	29.0	0.06641503308479682
32	1.0	29.0	0.04395918801093288
5	1.0	29.0	0.3260439717651187
10	1.0	29.0	0.8803443814595716
34	1.0	29.0	0.9035394518575209
21	1.0	29.0	0.8495005059623509
26	1.0	29.0	0.6827863783918035
30	1.0	29.0	0.9315395590156464
33	1.0	29.0	0.835188405211068
35	1.0	29.0	0.9659539356178176
36	1.0	29.0	0.9685193710296998
37	1.0	29.0	0.9613219895833012
38	1.0	29.0	0.9663066633105232
39	1.0	29.0	0.9905113880147453
40	1.0	29.0	0.9516337196463384
41	1.0	29.0	0.953509574221964
42	1.0	29.0	0.7447577915235652
43	1.0	29.0	0.5919732985963522
44	1.0	29.0	0.5591285776474589
45	1.0	29.0	0.4858199509950107
46	1.0	29.0	0.4993720101537662
47	1.0	29.0	0.478539566399775
6	1.0	30.0	0.02419122024236333
22	1.0	30.0	0.02355618513830316
2	1.0	30.0	0.8341718018278628
7	1.0	30.0	0.03064308438393475
23	1.0	30.0	0.025739493195622836
3	1.0	30.0	0.1766847184198534
8	1.0	30.0	0.9708896690597959
11	1.0	30.0	0.289823668907519
13	1.0	30.0	0.027806734460296387
24	1.0	30.0	0.02571366323175645
4	1.0	30.0	0.1727548752894238
9	1.0	30.0	0.9898797455737276
14	1.0	30.0	0.6281345671410414
17	1.0	30.0	0.6260816007868366
18	1.0	30.0	0.6781726709810023
25	1.0	30.0	0.05049387209224818
32	1.0	30.0	0.030524810607805593
5	1.0	30.0	0.18697422837916186
10	1.0	30.0	0.7663305122676604
34	1.0	30.0	0.9335510145759665
21	1.0	30.0	0.7710890525904539
26	1.0	30.0	0.4658519628708485
30	1.0	30.0	0.8882724563162991
33	1.0	30.0	0.7543346333118373
35	1.0	30.0	0.9822517015668574
36	1.0	30.0	0.9837418738433892
37	1.0	30.0	0.9826445880830648
38	1.0	30.0	0.9833138899170428
39	1.0	30.0	0.9881889669919376
40	1.0	30.0	0.9488023083082976
41	1.0	30.0	0.9540911616312919
42	1.0	30.0	0.8316245763866195
43	1.0	30.0	0.7581200675345903
44	1.0	30.0	0.7413063533890857
45	1.0	30.0	0.6777990430202528
46	1.0	30.0	0.5411257053160994
47	1.0	30.0	0.5233173482597
6	1.0	31.0	0.02761295810281988
22	1.0	31.0	0.027108802229031236
7	1.0	31.0	0.036549464964958665
23	1.0	31.0	0.029694876716124606
8	1.0	31.0	0.9753982802760616
11	1.0	31.0	0.3612518821129059
13	1.0	31.0	0.03356584017186202
24	1.0	31.0	0.02968665357244601
9	1.0	31.0	0.9909976403435601
14	1.0	31.0	0.7094606349476581
17	1.0	31.0	0.4160831347922857
18	1.0	31.0	0.7263274126966772
25	1.0	31.0	0.05636873774446185
32	1.0	31.0	0.03629734219610785
10	1.0	31.0	0.7813128421571772
34	1.0	31.0	0.941923103464476
21	1.0	31.0	0.7763678255907309
26	1.0	31.0	0.6864335653750862
30	1.0	31.0	0.8577978052220424
33	1.0	31.0	0.7734518456082705
35	1.0	31.0	0.9863183000981788
36	1.0	31.0	0.985350600868553
37	1.0	31.0	0.9873695395670824
38	1.0	31.0	0.9886015699459658
39	1.0	31.0	0.988591159353526
40	1.0	31.0	0.9666008268350142
41	1.0	31.0	0.9708521804360959
42	1.0	31.0	0.8534818639449229
43	1.0	31.0	0.7983249219403694
44	1.0	31.0	0.7762049353105756
45	1.0	31.0	0.7036654981084657
46	1.0	31.0	0.6114712159964101
47	1.0	31.0	0.5943007007434992
6	1.0	32.0	0.014693178587625503
22	1.0	32.0	0.01400292593802603
7	1.0	32.0	0.02029748546302034
23	1.0	32.0	0.018346015868563
8	1.0	32.0	0.9586580947039154
11	1.0	32.0	0.3031264015472713
13	1.0	32.0	0.014953402694861331
24	1.0	32.0	0.018331678313565573
9	1.0	32.0	0.9903258992097752
14	1.0	32.0	0.6625957527803655
17	1.0	32.0	0.3144931833435445
18	1.0	32.0	0.4351096197255164
25	1.0	32.0	0.034178271758753466
32	1.0	32.0	0.0209632884415308
10	1.0	32.0	0.8720851223804105
34	1.0	32.0	0.922643105342032
21	1.0	32.0	0.5767150963877045
26	1.0	32.0	0.5631881611653347
30	1.0	32.0	0.7206075799825514
33	1.0	32.0	0.4227902990846015
35	1.0	32.0	0.9705063650983512
36	1.0	32.0	0.9679732334761952
37	1.0	32.0	0.9704244585615464
38	1.0	32.0	0.9731031679723798
39	1.0	32.0	0.9805733690771752
40	1.0	32.0	0.9269890304665144
41	1.0	32.0	0.954821388300175
42	1.0	32.0	0.8132220410767079
43	1.0	32.0	0.7593661161696809
44	1.0	32.0	0.7503080094029669
45	1.0	32.0	0.6914468230372809
46	1.0	32.0	0.5559332238159724
47	1.0	32.0	0.5468984266784829
22	1.0	42.0	0.026374143398925125
23	1.0	42.0	0.02829784801078138
11	1.0	42.0	0.12585378900704464
24	1.0	42.0	0.02830626120712901
14	1.0	42.0	0.17022147354161465
17	1.0	42.0	0.06658616531563229
25	1.0	42.0	0.060566265479810075
34	1.0	42.0	0.7467374904560561
26	1.0	42.0	0.6384709040252738
33	1.0	42.0	0.5049311380753928
36	1.0	42.0	0.8162972638058331
37	1.0	42.0	0.8230497215425182
38	1.0	42.0	0.8217708533905674
39	1.0	42.0	0.960692693883097
40	1.0	42.0	0.6844318526820073
42	1.0	42.0	0.4867400879504664
43	1.0	42.0	0.4238112477690279
44	1.0	42.0	0.429309514405994
45	1.0	42.0	0.38171120357516
46	1.0	42.0	0.4015735732777543
47	1.0	42.0	0.3005073898937616
6	1.0	44.0	0.023986955959072173
22	1.0	44.0	0.02635554130862665
7	1.0	44.0	0.028269692188936636
23	1.0	44.0	0.02747661497126372
8	1.0	44.0	0.7495962634284612
11	1.0	44.0	0.04237189287091054
13	1.0	44.0	0.02402135276345005
24	1.0	44.0	0.025527551126892443
9	1.0	44.0	0.9573779073707755
14	1.0	44.0	0.1430949296254249
17	1.0	44.0	0.3099051111591569
18	1.0	44.0	0.4126379131437491
25	1.0	44.0	0.05249101002547184
10	1.0	44.0	0.9613647401345612
34	1.0	44.0	0.5466567894083116
21	1.0	44.0	0.5538002700361145
26	1.0	44.0	0.07136830078584888
36	1.0	44.0	0.6058208709844658
37	1.0	44.0	0.6120500871584156
38	1.0	44.0	0.6572398855426649
39	1.0	44.0	0.7433208434916706
40	1.0	44.0	0.5841305019835081
42	1.0	44.0	0.2541173013271649
43	1.0	44.0	0.14134751554755062
44	1.0	44.0	0.13036515899397888
45	1.0	44.0	0.11850219276574815
46	1.0	44.0	0.104041932985273
47	1.0	44.0	0.10259873004637196
22	1.0	48.0	0.008783295445089375
23	1.0	48.0	0.00864571692574352
11	1.0	48.0	0.014657184820873253
24	1.0	48.0	0.00843948759178843
14	1.0	48.0	0.10438136631359733
17	1.0	48.0	0.026541243317750998
25	1.0	48.0	0.02220880486993461
34	1.0	48.0	0.6194383941470383
26	1.0	48.0	0.5047504059689589
30	1.0	48.0	0.5640085942781347
33	1.0	48.0	0.3856483054665766
36	1.0	48.0	0.6516297444820845
37	1.0	48.0	0.6428895733006771
38	1.0	48.0	0.6778148458181992
39	1.0	48.0	0.78315683150622
40	1.0	48.0	0.5989932214158237
41	1.0	48.0	0.5266659942964355
42	1.0	48.0	0.21245824836707505
43	1.0	48.0	0.11030898846428523
44	1.0	48.0	0.09901464177801082
45	1.0	48.0	0.08036732925731653
46	1.0	48.0	0.0754378541048727
47	1.0	48.0	0.06537124677288397
12	1.0	57.0	0.02846167978732288
17	1.0	57.0	0.05425246124716312
34	1.0	57.0	0.7489055914985068
26	1.0	57.0	0.5279642357791399
37	1.0	57.0	0.8302130247889954
38	1.0	57.0	0.9123430690580532
39	1.0	57.0	0.9584673872294684
46	1.0	57.0	0.6163295071253521
6	1.0	58.0	0.0242738288431588
22	1.0	58.0	0.026775539183807942
7	1.0	58.0	0.02878387582576201
23	1.0	58.0	0.02822890944883153
8	1.0	58.0	0.9420445049910215
11	1.0	58.0	0.21661572640748106
13	1.0	58.0	0.02438425270859996
24	1.0	58.0	0.026290016507483752
9	1.0	58.0	0.9930514611513984
14	1.0	58.0	0.3155646024959968
