A1	A2	B1	Mean_classification_prob
6.0	22.0	8	0.008415207318472378
6.0	22.0	9	0.010445876935902728
6.0	22.0	10	0.009008450206123631
6.0	22.0	11	0.009505300949310841
6.0	22.0	13	0.009759435985791676
6.0	22.0	14	0.010776968278511672
6.0	22.0	19	0.008689088957451008
6.0	22.0	20	0.015336924887900968
6.0	22.0	22	0.015028856826078341
6.0	22.0	23	0.005664853362568789
6.0	22.0	27	0.00691430685097237
6.0	22.0	31	0.005880663694708028
6.0	22.0	32	0.003990978194461448
6.0	22.0	42	0.006112234873542081
6.0	22.0	44	0.00656580692776204
6.0	22.0	48	0.008402311133219287
6.0	22.0	58	0.007554684840125655
6.0	22.0	59	0.007908273709222655
6.0	22.0	60	0.0065575703840167155
2.0	6.0	9	0.20956739813203604
2.0	6.0	10	0.2227528345334332
2.0	6.0	11	0.21114116155551044
2.0	6.0	19	0.1784540233530004
2.0	6.0	20	0.14201677126117995
2.0	6.0	21	0.18522764343796697
2.0	6.0	22	0.14262981516952813
2.0	6.0	27	0.15696958812799475
2.0	6.0	28	0.10610149702530257
2.0	6.0	29	0.16733902981579152
2.0	6.0	30	0.08636201737197906
2.0	6.0	31	0.05313603476136982
2.0	6.0	32	0.012039771365660956
2.0	6.0	44	0.015880170836587812
2.0	6.0	58	0.1043139975575708
2.0	6.0	59	0.11533396417640955
2.0	6.0	60	0.10475355629973264
6.0	7.0	39	0.00945715562807911
6.0	7.0	8	0.007414055108022687
6.0	7.0	9	0.010504434799331558
6.0	7.0	10	0.013400224369665032
6.0	7.0	11	0.01441832792520159
6.0	7.0	13	0.015322095017999991
6.0	7.0	14	0.01682847796444541
6.0	7.0	40	0.02257174441076441
6.0	7.0	45	0.006414903110740293
6.0	7.0	18	0.007615327904291755
6.0	7.0	19	0.007814303697224089
6.0	7.0	20	0.014080522197312359
6.0	7.0	21	0.011607353221305001
6.0	7.0	22	0.014680249985479718
6.0	7.0	23	0.005445920962077214
6.0	7.0	41	0.008755626388779558
6.0	7.0	46	0.004588011351715485
6.0	7.0	26	0.004350525821241183
6.0	7.0	27	0.006109199035005837
6.0	7.0	28	0.011315474521039828
6.0	7.0	29	0.008203271248353855
6.0	7.0	30	0.007343121411802181
6.0	7.0	31	0.005437336951599777
6.0	7.0	32	0.0036754493301350624
6.0	7.0	42	0.004902895156681117
6.0	7.0	44	0.0046746465072812745
6.0	7.0	48	0.0066174067069931465
6.0	7.0	57	0.004984142021351212
6.0	7.0	58	0.005384958196876822
6.0	7.0	59	0.005997541681765854
6.0	7.0	60	0.005097925243559548
6.0	23.0	8	0.007576034983484637
6.0	23.0	9	0.00978461799751078
6.0	23.0	10	0.008284558464784575
6.0	23.0	11	0.008870386077003134
6.0	23.0	13	0.009179695119677523
6.0	23.0	14	0.009918242924034523
6.0	23.0	19	0.00776182302639492
6.0	23.0	20	0.014536764300316826
6.0	23.0	22	0.014443299398610363
6.0	23.0	23	0.005221794606440164
6.0	23.0	27	0.0061555638897275175
6.0	23.0	31	0.0055674821674969064
6.0	23.0	32	0.003600916240479307
6.0	23.0	42	0.004787250780128336
6.0	23.0	44	0.0053953696972448865
6.0	23.0	48	0.007036143182909911
6.0	23.0	58	0.0061975875308231225
6.0	23.0	59	0.006921308389349132
6.0	23.0	60	0.005565785488566202
6.0	27.0	34	0.012977623303188844
6.0	27.0	35	0.008724442353228156
6.0	27.0	7	0.008065856027689656
6.0	27.0	8	0.008604997738270052
6.0	27.0	9	0.010767119537690249
6.0	27.0	10	0.00928107508844002
6.0	27.0	11	0.010025442933865031
6.0	27.0	12	0.009658491623270999
6.0	27.0	13	0.010044315141803616
6.0	27.0	14	0.011165247348446459
6.0	27.0	15	0.006512445243205711
6.0	27.0	36	0.008369208392307492
6.0	27.0	17	0.007277625191536019
6.0	27.0	19	0.009003762438980045
6.0	27.0	20	0.01582030049324817
6.0	27.0	22	0.01557111971200574
6.0	27.0	23	0.006330531568991171
6.0	27.0	24	0.0061548564569848755
6.0	27.0	37	0.007844095296748536
6.0	27.0	43	0.004978731539804532
6.0	27.0	47	0.009283423506402008
6.0	27.0	27	0.007165890660631848
6.0	27.0	31	0.006091149249038271
6.0	27.0	32	0.0042095624551236575
6.0	27.0	38	0.006994466450261784
6.0	27.0	42	0.00630709900282471
6.0	27.0	44	0.007478898189446517
6.0	27.0	48	0.009083124933110205
6.0	27.0	49	0.013277053171357538
6.0	27.0	50	0.0072355587688014734
6.0	27.0	51	0.0069687196666239825
6.0	27.0	52	0.006999828864829523
6.0	27.0	53	0.007071173029279155
6.0	27.0	54	0.007216356129061994
6.0	27.0	55	0.0073298215792632765
6.0	27.0	56	0.007115418006418433
6.0	27.0	58	0.008879208015740374
6.0	27.0	59	0.00849237255537419
6.0	27.0	60	0.006809348066364174
3.0	6.0	9	0.4502418301893026
3.0	6.0	10	0.33737759092258285
3.0	6.0	11	0.4121146240059741
3.0	6.0	19	0.4826708099144983
3.0	6.0	20	0.33132465344025336
3.0	6.0	21	0.4448226447330806
3.0	6.0	22	0.2715329164682547
3.0	6.0	27	0.44573562801851424
3.0	6.0	28	0.26148398892421953
3.0	6.0	29	0.39431558472483375
3.0	6.0	30	0.1673242659780922
3.0	6.0	31	0.11913258782257002
3.0	6.0	32	0.06535017616787935
3.0	6.0	44	0.10822120447522693
3.0	6.0	58	0.3523398950718992
3.0	6.0	59	0.368070114289509
3.0	6.0	60	0.3652439253574264
6.0	8.0	39	0.021267861788454998
6.0	8.0	8	0.16980690378421062
6.0	8.0	9	0.1860682608116812
6.0	8.0	10	0.206439363917238
6.0	8.0	11	0.1931615438920778
6.0	8.0	13	0.13349678528836725
6.0	8.0	14	0.13602800942923107
6.0	8.0	40	0.06812973260997307
6.0	8.0	45	0.024791184397051764
6.0	8.0	18	0.12946901115632356
6.0	8.0	19	0.14283643839366178
6.0	8.0	20	0.10629253065340316
6.0	8.0	21	0.14881835721296172
6.0	8.0	22	0.10501719735580536
6.0	8.0	23	0.029159726122789706
6.0	8.0	41	0.09675863120198404
6.0	8.0	46	0.014348489899923541
6.0	8.0	26	0.09460352937709086
6.0	8.0	27	0.1199304328853719
6.0	8.0	28	0.07608374559477171
6.0	8.0	29	0.1259019720253678
6.0	8.0	30	0.05537980440090479
6.0	8.0	31	0.032851071747635116
6.0	8.0	32	0.012349999630930924
6.0	8.0	42	0.025324155779157732
6.0	8.0	44	0.028044528483057062
6.0	8.0	48	0.0919163365294506
6.0	8.0	57	0.06945181114703683
6.0	8.0	58	0.07420491509705099
6.0	8.0	59	0.08097410603298638
6.0	8.0	60	0.07256393983809413
6.0	11.0	9	0.010594300810979321
6.0	11.0	10	0.009365011072981648
6.0	11.0	11	0.009448354095556841
6.0	11.0	13	0.01650371668195345
6.0	11.0	14	0.01851622093878809
6.0	11.0	19	0.008040717633159904
6.0	11.0	20	0.014181107074089256
6.0	11.0	22	0.015125966044398274
6.0	11.0	23	0.005478799791910331
6.0	11.0	27	0.006233574348301397
6.0	11.0	31	0.005654809178785007
6.0	11.0	32	0.003704471039757939
6.0	11.0	42	0.004997827060232227
6.0	11.0	44	0.0047928546844176025
6.0	11.0	48	0.006694688215730468
6.0	11.0	58	0.005550398078506141
6.0	11.0	59	0.0061512761620162795
6.0	11.0	60	0.005172855741945429
6.0	12.0	34	0.0043587271859792075
6.0	12.0	35	0.009495198745544069
6.0	12.0	39	0.013834015711580024
6.0	12.0	7	0.007504179447580317
6.0	12.0	9	0.01012158469270022
6.0	12.0	10	0.008493332943833611
6.0	12.0	11	0.008720917348761502
6.0	12.0	12	0.009114558997840637
6.0	12.0	13	0.009259089679490334
6.0	12.0	14	0.010215426625419157
6.0	12.0	15	0.006583683242241486
6.0	12.0	36	0.008109834724496952
6.0	12.0	40	0.022081301136109416
6.0	12.0	45	0.009767419379348823
6.0	12.0	17	0.006818895372214849
6.0	12.0	19	0.007805948560273967
6.0	12.0	20	0.014002536781054932
6.0	12.0	22	0.014766430922091884
6.0	12.0	23	0.005420001877324589
6.0	12.0	24	0.005944532642199001
6.0	12.0	37	0.007381692985342344
6.0	12.0	43	0.004731269349169234
6.0	12.0	46	0.004237157128695907
6.0	12.0	47	0.009037034838295195
6.0	12.0	26	0.004517149700234473
6.0	12.0	27	0.00611514902447419
6.0	12.0	31	0.005536720149818662
6.0	12.0	32	0.0037098910469948406
6.0	12.0	38	0.006427742828438331
6.0	12.0	42	0.005149776363989605
6.0	12.0	44	0.005594258281693553
6.0	12.0	48	0.007391299634216961
6.0	12.0	49	0.009328526248316921
6.0	12.0	50	0.006569051935460462
6.0	12.0	51	0.00640958413076794
6.0	12.0	52	0.006437358202067874
6.0	12.0	53	0.006502928896985468
6.0	12.0	54	0.00661300147182696
6.0	12.0	55	0.00681340579620599
6.0	12.0	56	0.006546148974419048
6.0	12.0	57	0.005012715737252073
6.0	12.0	58	0.006564137431501661
6.0	12.0	59	0.007373467267888669
6.0	12.0	60	0.005748564791855347
6.0	13.0	39	0.011053086514070094
6.0	13.0	8	0.007283265639935674
6.0	13.0	9	0.010015453802148388
6.0	13.0	10	0.013500814206833134
6.0	13.0	11	0.014905396957412654
6.0	13.0	13	0.01603097905362321
6.0	13.0	14	0.015264485913138587
6.0	13.0	40	0.022201024689977183
6.0	13.0	45	0.0059819658509459705
6.0	13.0	18	0.007379858146925874
6.0	13.0	19	0.007498025061060102
6.0	13.0	20	0.013707353064982379
6.0	13.0	21	0.010912961269577234
6.0	13.0	22	0.013959199032792479
6.0	13.0	23	0.005339112678268272
6.0	13.0	41	0.008501675560823426
6.0	13.0	46	0.0044810889338580025
6.0	13.0	26	0.004215737146164414
6.0	13.0	27	0.005855275403566011
6.0	13.0	28	0.010011756540944456
6.0	13.0	29	0.007708477270957382
6.0	13.0	30	0.007103561504285769
6.0	13.0	31	0.005298219235120185
6.0	13.0	32	0.003617825563042883
6.0	13.0	42	0.004741102738145388
6.0	13.0	44	0.0045274513661917
6.0	13.0	48	0.006401436133706498
6.0	13.0	57	0.004798470966660457
6.0	13.0	58	0.005200645359134879
6.0	13.0	59	0.005815768668852794
6.0	13.0	60	0.004961257049417512
6.0	24.0	8	0.0076375932084936015
6.0	24.0	9	0.009749072887778518
6.0	24.0	10	0.008348068392290166
6.0	24.0	11	0.008805317372239456
6.0	24.0	13	0.009165029464480995
6.0	24.0	14	0.009978814810581271
6.0	24.0	19	0.007963862669247767
6.0	24.0	20	0.014626666428477547
6.0	24.0	22	0.014443650536837513
6.0	24.0	23	0.005387013811339321
6.0	24.0	27	0.00626366486021941
6.0	24.0	31	0.005573344090726054
6.0	24.0	32	0.003609207769024103
6.0	24.0	42	0.0049434115040281395
6.0	24.0	44	0.004830052574115424
6.0	24.0	48	0.006709449423719047
6.0	24.0	58	0.00605757892658285
6.0	24.0	59	0.006678298288284637
6.0	24.0	60	0.005305662042489935
6.0	28.0	34	0.00644025447032444
6.0	28.0	35	0.0087683772509767
6.0	28.0	39	0.010436897322842243
6.0	28.0	7	0.008107428414099624
6.0	28.0	8	0.008645577822141357
6.0	28.0	9	0.01080783012770373
6.0	28.0	10	0.009333312871838657
6.0	28.0	11	0.009906432641698971
6.0	28.0	12	0.009663680822837206
6.0	28.0	13	0.010048079646760152
6.0	28.0	14	0.011215556010129194
6.0	28.0	15	0.006555213419225168
6.0	28.0	36	0.00841038886133547
6.0	28.0	45	0.006259598286347044
6.0	28.0	17	0.007317662514566006
6.0	28.0	19	0.009043926524839223
6.0	28.0	20	0.015867866434627727
6.0	28.0	22	0.01557936775822683
6.0	28.0	23	0.006355067747372033
6.0	28.0	24	0.006203504607663909
6.0	28.0	37	0.007883603523472189
6.0	28.0	43	0.005006747032826471
6.0	28.0	46	0.004554610566683958
6.0	28.0	47	0.010568633433246962
6.0	28.0	26	0.005099572532113668
6.0	28.0	27	0.007203681515662421
6.0	28.0	31	0.0061181595236827315
6.0	28.0	32	0.004241804638779484
6.0	28.0	38	0.0070354659924479965
6.0	28.0	42	0.006365728091282875
6.0	28.0	44	0.007769944272182854
6.0	28.0	48	0.00909565068410771
6.0	28.0	49	0.01015590004512998
6.0	28.0	50	0.007145971560837572
6.0	28.0	51	0.007007437394577496
6.0	28.0	52	0.007040268347063391
6.0	28.0	53	0.00711161251151302
6.0	28.0	54	0.007256795611295859
6.0	28.0	55	0.007368699103170046
6.0	28.0	56	0.007155857488652298
6.0	28.0	57	0.005769421414414655
6.0	28.0	58	0.008922569716854638
6.0	28.0	59	0.00862893877903177
6.0	28.0	60	0.006830065569547922
6.0	31.0	9	0.010035592941416037
6.0	31.0	10	0.009360528490872686
6.0	31.0	11	0.010308627028846615
6.0	31.0	13	0.010333056050228868
6.0	31.0	14	0.011740672930886334
6.0	31.0	19	0.008253954193122066
6.0	31.0	31	0.006048401832576907
6.0	31.0	32	0.004360266339669799
6.0	31.0	44	0.010347410739549666
6.0	31.0	48	0.008752287067851099
6.0	31.0	58	0.008604532929008705
6.0	31.0	60	0.007031535004081385
4.0	6.0	9	0.4393086244368028
4.0	6.0	10	0.33042233943866806
4.0	6.0	11	0.39244270712915735
4.0	6.0	19	0.5328698471959344
4.0	6.0	20	0.3399951665510317
4.0	6.0	21	0.4719944535681054
4.0	6.0	22	0.2630541786342549
4.0	6.0	27	0.4937079850553716
4.0	6.0	28	0.27157873988137365
4.0	6.0	29	0.40488207704857504
4.0	6.0	30	0.15580720213819485
4.0	6.0	31	0.11323187286618848
4.0	6.0	32	0.07158119925733089
4.0	6.0	44	0.13698655111861224
4.0	6.0	58	0.4105632269326272
4.0	6.0	59	0.4219920564751978
4.0	6.0	60	0.4213629375199224
6.0	9.0	39	0.029735638684831155
6.0	9.0	8	0.3664194655061791
6.0	9.0	9	0.3781794446861931
6.0	9.0	10	0.39655402954338137
6.0	9.0	11	0.3741086786216985
6.0	9.0	13	0.25254505224915585
6.0	9.0	14	0.19328838889668226
6.0	9.0	40	0.12598503828233534
6.0	9.0	45	0.042438216833844335
6.0	9.0	18	0.324175494694065
6.0	9.0	19	0.3418409436255955
6.0	9.0	20	0.2357844432801656
6.0	9.0	21	0.3322923696332916
6.0	9.0	22	0.2129860603507556
6.0	9.0	23	0.07195047740703005
6.0	9.0	41	0.2576515616806682
6.0	9.0	46	0.026962604632208648
6.0	9.0	26	0.2633131627110814
6.0	9.0	27	0.30409140726458395
6.0	9.0	28	0.17131002324188396
6.0	9.0	29	0.2877891160687484
6.0	9.0	30	0.114159541493989
6.0	9.0	31	0.07680239323585017
6.0	9.0	32	0.03083019195951818
6.0	9.0	42	0.05791905637469516
6.0	9.0	44	0.057080159676299924
6.0	9.0	48	0.2359605384283246
6.0	9.0	57	0.1677156313278606
6.0	9.0	58	0.18645448662664668
6.0	9.0	59	0.1970752200484368
6.0	9.0	60	0.19259470106753407
6.0	14.0	8	0.01619261456686145
6.0	14.0	9	0.021823575718445308
6.0	14.0	10	0.028437451298367288
6.0	14.0	11	0.021428152286950768
6.0	14.0	13	0.0340202527773221
6.0	14.0	14	0.02433695831607097
6.0	14.0	19	0.01281606768945695
6.0	14.0	20	0.020999929597350663
6.0	14.0	22	0.025874790885350385
6.0	14.0	23	0.006842081414338932
6.0	14.0	27	0.00961497540145787
6.0	14.0	31	0.008539204768523073
6.0	14.0	32	0.004538440019771801
6.0	14.0	42	0.006196468914135094
6.0	14.0	44	0.005967808156204544
6.0	14.0	48	0.009671930666647646
6.0	14.0	58	0.007711585559135411
6.0	14.0	59	0.009189607313365884
6.0	14.0	60	0.007223676943275758
6.0	15.0	34	0.004982850912726468
6.0	15.0	35	0.010499264729955157
6.0	15.0	7	0.007822425949087409
6.0	15.0	9	0.01068849530486235
6.0	15.0	10	0.008882139895202503
6.0	15.0	11	0.00887244671883977
6.0	15.0	12	0.009270605896895963
6.0	15.0	13	0.009524583750950158
6.0	15.0	14	0.010607297454987756
6.0	15.0	15	0.007036030020970436
6.0	15.0	36	0.008445026730556316
6.0	15.0	17	0.007095227574598844
6.0	15.0	19	0.008252994023392725
6.0	15.0	20	0.014485094965908604
6.0	15.0	22	0.015173760795725315
6.0	15.0	23	0.005515511097989647
6.0	15.0	24	0.006225501986920581
6.0	15.0	37	0.0076629375342636375
6.0	15.0	43	0.004849468339375538
6.0	15.0	47	0.009427422089915065
6.0	15.0	31	0.0056795831937840316
6.0	15.0	32	0.003813145201130068
6.0	15.0	38	0.006716714234071373
6.0	15.0	42	0.005184873347652307
6.0	15.0	44	0.005599700131536786
6.0	15.0	48	0.007390813219764419
6.0	15.0	49	0.009482949004891536
6.0	15.0	50	0.006795520726488639
6.0	15.0	51	0.006663225766158937
6.0	15.0	52	0.006731769552400034
6.0	15.0	53	0.006797318813990072
6.0	15.0	54	0.0069102551073823475
6.0	15.0	55	0.007088611810389989
6.0	15.0	56	0.006845599548494288
6.0	15.0	58	0.006467822607173521
6.0	15.0	59	0.0072026139879945205
6.0	15.0	60	0.0057437998399743825
6.0	16.0	34	0.004508217693471585
6.0	16.0	35	0.010006395972081113
6.0	16.0	9	0.010547035148510771
6.0	16.0	10	0.008758357512527936
6.0	16.0	11	0.00894532494121714
6.0	16.0	13	0.009467235570886134
6.0	16.0	14	0.010668227952057407
6.0	16.0	36	0.008312287953863271
6.0	16.0	17	0.007006684000083713
6.0	16.0	20	0.01425670207207013
6.0	16.0	22	0.015020495543664344
6.0	16.0	23	0.0054972181878004895
6.0	16.0	43	0.0048101721815453505
6.0	16.0	47	0.00925151205274722
6.0	16.0	27	0.006241416097184457
6.0	16.0	31	0.005596579989395167
6.0	16.0	32	0.0037485035638537344
6.0	16.0	38	0.006623426680584975
6.0	16.0	42	0.0051570899813397205
6.0	16.0	44	0.006184747717375117
6.0	16.0	48	0.008047788007990874
6.0	16.0	51	0.0065781095745187715
6.0	16.0	52	0.006646653360759871
6.0	16.0	53	0.0067121931441509325
6.0	16.0	54	0.0068242784770589935
6.0	16.0	56	0.006759622918170934
6.0	16.0	58	0.007172049190669594
6.0	16.0	59	0.007278404609037766
6.0	16.0	60	0.006243995418423429
6.0	17.0	39	0.05328537627652386
6.0	17.0	8	0.0959834486665591
6.0	17.0	9	0.3019664740409278
6.0	17.0	10	0.2592646002116527
6.0	17.0	11	0.29502564844591944
6.0	17.0	13	0.08115233237983861
6.0	17.0	14	0.09361013640693976
6.0	17.0	40	0.08402275239440908
6.0	17.0	45	0.043691532119795234
6.0	17.0	18	0.08085398320619194
6.0	17.0	19	0.2775315239016905
6.0	17.0	20	0.19454628961939333
6.0	17.0	21	0.26131560260816405
6.0	17.0	22	0.18096954412076247
6.0	17.0	23	0.051743668845736085
6.0	17.0	41	0.07567107286333546
6.0	17.0	46	0.04346476843733054
6.0	17.0	26	0.06513346884405337
6.0	17.0	27	0.24927945109061395
6.0	17.0	28	0.15454380393705486
6.0	17.0	29	0.23971328916065146
6.0	17.0	30	0.10925578888481442
6.0	17.0	31	0.0917676311210238
6.0	17.0	32	0.05514762816004355
6.0	17.0	42	0.048508974604169634
6.0	17.0	44	0.07145507350220273
6.0	17.0	48	0.05891547965766231
6.0	17.0	57	0.06633108239728015
6.0	17.0	58	0.1650966874641909
6.0	17.0	59	0.17142282238436254
6.0	17.0	60	0.17418834448755133
6.0	18.0	39	0.012564918748216795
6.0	18.0	8	0.042118204887343184
6.0	18.0	9	0.054051752615309215
6.0	18.0	10	0.06689845304605316
6.0	18.0	11	0.057180151077004165
6.0	18.0	13	0.05092726065325942
6.0	18.0	14	0.046137280262224405
6.0	18.0	40	0.03133247618453148
6.0	18.0	45	0.011380944165959469
6.0	18.0	18	0.03057146709161595
6.0	18.0	19	0.034249329184798415
6.0	18.0	20	0.03096721400720943
6.0	18.0	21	0.04339079272955616
6.0	18.0	22	0.0356425909004501
6.0	18.0	23	0.012134599905246991
6.0	18.0	41	0.02657315194297897
6.0	18.0	46	0.006120610764498783
6.0	18.0	26	0.018625668763682074
6.0	18.0	27	0.026595418724643428
6.0	18.0	28	0.022466755388460262
6.0	18.0	29	0.03374563794198433
6.0	18.0	30	0.017061055795003062
6.0	18.0	31	0.00978376834328299
6.0	18.0	32	0.0058784955793324545
6.0	18.0	42	0.007957185675753403
6.0	18.0	44	0.009446229417187587
6.0	18.0	48	0.01763960489086843
6.0	18.0	57	0.012976807430464195
6.0	18.0	58	0.014093428390874876
6.0	18.0	59	0.016387457003476626
6.0	18.0	60	0.013568965558765066
6.0	25.0	9	0.01307173263913067
6.0	25.0	10	0.0172072588594431
6.0	25.0	11	0.01862765285798389
6.0	25.0	13	0.020217393248499808
6.0	25.0	14	0.02076320101303611
6.0	25.0	19	0.009736110676273429
6.0	25.0	20	0.016830516399360233
6.0	25.0	22	0.017727075021734973
6.0	25.0	23	0.006355926877505292
6.0	25.0	31	0.006556202913192307
6.0	25.0	32	0.004205637812164946
6.0	25.0	42	0.005965510403417376
6.0	25.0	44	0.00548770452099719
6.0	25.0	48	0.007943949250926709
6.0	25.0	58	0.006742873832133063
6.0	25.0	59	0.0073883205348255565
6.0	25.0	60	0.006245602361076267
6.0	29.0	34	0.0056460865459665105
6.0	29.0	35	0.012013848036887629
6.0	29.0	7	0.00951351040790092
6.0	29.0	10	0.011183262836120414
6.0	29.0	11	0.010609794034466307
6.0	29.0	12	0.011432645484202735
6.0	29.0	13	0.011335724762709257
6.0	29.0	14	0.012992288379972487
6.0	29.0	15	0.008148427557221416
6.0	29.0	36	0.009973237756111406
6.0	29.0	17	0.008596985867759274
6.0	29.0	19	0.011894806636575809
6.0	29.0	20	0.018344140781947155
6.0	29.0	22	0.01798159486620615
6.0	29.0	23	0.007183227976075378
6.0	29.0	24	0.00733283803343972
6.0	29.0	37	0.009255450969561495
6.0	29.0	43	0.0057627248334212395
6.0	29.0	47	0.012497562275956513
6.0	29.0	31	0.006902365825011779
6.0	29.0	32	0.004795793141659599
