A1Num	A2Num	B1Num	Mean_classification_prob
1	36	1	0.9596367448088382
1	35	1	0.9593575723317476
1	33	1	0.9592745973249636
1	34	1	0.9582501416166516
1	37	1	0.9575110206898724
1	38	1	0.9561096917021452
1	32	1	0.951494221873077
1	39	1	0.948567834342364
1	45	4	0.9484190298789928
1	45	1	0.9463297098006496
1	38	4	0.9448958709761938
1	37	4	0.9281630252978272
1	36	4	0.9267020918659892
1	35	4	0.9259894309488678
1	34	4	0.923783909549278
1	8	4	0.9237369867145141
1	7	4	0.9230077335467122
1	33	5	0.9229127371180256
1	36	5	0.9181618020451368
1	35	5	0.9173985857235516
1	2	6	0.9158863596366608
1	34	5	0.9146611462613184
1	39	4	0.9114912574634141
1	37	5	0.9107512435166828
1	32	5	0.9106735857841948
1	35	8	0.9090890294784272
1	36	8	0.908941627235292
1	33	4	0.9087278298299232
1	33	8	0.9085134887870844
1	38	5	0.9064658097293571
1	34	8	0.9062831746303871
1	32	4	0.8996100307119952
1	32	8	0.8984150812650329
1	40	1	0.8935325166997036
1	37	8	0.8917634894263127
1	41	1	0.8913299529519203
1	45	5	0.8892592458675246
1	39	5	0.8870583392737512
1	42	1	0.8840923578851383
1	3	6	0.8828478084628202
1	2	12	0.8812874660313805
1	38	8	0.8801973339615313
1	43	1	0.8793835245665085
1	44	1	0.8776126035717512
1	39	8	0.8706852692537363
1	20	6	0.8669102875016182
1	33	25	0.8657062132508851
1	33	11	0.8636871773897762
1	2	28	0.8632545408437851
1	36	25	0.8607228690804183
1	29	4	0.8595326427197104
1	46	1	0.8592718456220897
1	35	25	0.8592330425923757
1	25	1	0.8589241487680952
1	2	27	0.8579836276683689
1	35	11	0.8578946566087935
1	35	14	0.8577846805266871
1	36	14	0.8570028120418022
1	33	14	0.8568301256910901
1	3	28	0.8566751443870428
1	20	4	0.8549675920073669
1	34	11	0.8542533464200097
1	34	14	0.8542041357040832
1	3	27	0.8529046558686799
1	4	6	0.8519448428099868
1	32	25	0.8513008196542193
1	36	11	0.8509926238980859
1	4	27	0.8508864874845915
1	4	28	0.8496657251679944
1	3	12	0.8485644679568669
1	37	14	0.8484623241956788
1	32	11	0.8458552108727093
1	38	14	0.845121684285746
1	37	25	0.8446732441541552
1	40	4	0.8431673887322246
1	13	1	0.8426762477031048
1	32	14	0.8422747182568513
1	38	25	0.8422252805583647
1	37	11	0.8409861038288099
1	41	4	0.8395510031618717
1	38	11	0.8386492505510212
1	7	3	0.8358982165318547
1	44	4	0.8349639459041848
1	46	4	0.8301389813106023
1	42	4	0.8281298713453932
1	39	14	0.8273347360309709
1	43	4	0.8271739544576989
1	39	25	0.8241434224029135
1	45	8	0.8241409149330718
1	39	11	0.8177961629966713
1	45	25	0.8166866577767266
1	20	12	0.8162697323072666
1	4	12	0.8158394004379491
1	17	4	0.8141940744606373
1	16	6	0.8107359503358073
1	20	2	0.8089800435843444
1	45	11	0.8012857422483157
1	9	4	0.7931969026071645
1	25	6	0.7902326858554128
1	40	5	0.7832168081612167
1	41	5	0.7818513021359556
1	13	4	0.7813096785417081
1	42	5	0.7728340961222819
1	44	5	0.7712161907444325
1	45	14	0.7698513291128735
1	33	20	0.7658996437150033
1	43	5	0.7633977525364932
1	46	5	0.7622386423782119
1	32	20	0.7557698666015875
1	16	12	0.7532109696576426
1	25	12	0.7471228414333377
1	25	5	0.7350779891563297
1	36	20	0.7348759383622927
1	25	28	0.7320009700491689
1	25	27	0.7318372179112466
1	33	26	0.7304177954124645
1	35	20	0.7300164195773334
1	35	26	0.7246030988238032
1	33	7	0.7235912204335652
1	35	7	0.7227177686827113
1	17	3	0.7218099397417893
1	34	20	0.7216453432703591
1	40	14	0.7195770975315021
1	36	26	0.7189327444275598
1	34	26	0.7187914452385278
1	38	26	0.7167608264526454
1	32	26	0.7158296252607508
1	36	7	0.715498658292588
1	41	8	0.7147618817595582
1	34	7	0.7128637308885019
1	40	8	0.7126312963901803
1	37	20	0.7116108272887555
1	42	8	0.7087828190327149
1	37	26	0.7058504579565822
1	38	7	0.7028331096791877
1	43	8	0.7007667495511052
1	32	7	0.6976321854227864
1	41	14	0.6974614229497488
1	44	8	0.6951394382244038
1	38	20	0.695077113318315
1	13	5	0.6901813676312963
1	39	20	0.6894563578291723
1	37	7	0.6830239280518161
1	45	26	0.6801003353632121
1	40	11	0.6793924135502494
1	46	8	0.6785517731885993
1	40	25	0.6779992943194106
1	41	25	0.676652865744178
1	39	26	0.6712374421940609
1	42	25	0.6684597253783774
1	16	28	0.6675161173465036
1	45	20	0.6650464593545611
1	44	25	0.6643248510595928
1	42	14	0.6619819385032089
1	41	11	0.6606413535040927
1	43	25	0.6559455272769398
1	42	11	0.6513667456220957
1	20	3	0.6511176376976586
1	44	11	0.6461789257579119
1	46	25	0.6448206108864032
1	43	11	0.6407462750078753
1	46	11	0.6353084001159253
1	44	14	0.6321146569289018
1	36	9	0.6299172379732468
1	13	8	0.6295103443736181
1	35	9	0.6294925057291922
1	33	9	0.6282543263511606
1	46	14	0.6240762387157076
1	43	14	0.6208361032915246
1	25	25	0.620287440343945
1	34	9	0.6187357358127143
1	37	9	0.6115869897667876
1	38	9	0.6082151689223294
1	45	7	0.6044443997348439
