SimulatedComposition	O p-band center (eV)	Predicted Log k* (cm/s)	Bandgap	Charge transfer gap (eV)	Ehull	Formation energy
"Ba8Ga6Fe2O24
"	-1.069	-1.8224	0	1.71	"238.334229236
"	"-1.48321980696
"
"Ba8Hf8O24
"	-1.517	-3.3213	3.403	3.483	"8.216444
"	"-3.00704701671
"
"Ba8Hf1Fe7O24
"	-1.198	-2.254	0	0.441	"73.4978297298
"	"-1.61823071958
"
"Ba8Hf2Fe6O24
"	-1.209	-2.2908	0	0.584	"71.4456317684
"	"-1.80935933346
"
"Ba8Hf4Fe4O24
"	-1.171	-2.1636	0	1.982	"63.3627358456
"	"-2.19559506121
"
"Ba8Ir8O24
"	-2.789	-7.5771	0	0	"163.297864937
"	"-1.07729998771
"
"Ba8Fe7Ir1O24
"	-1.342	-2.7358	0	0.514	"32.0094037038
"	"-1.44128718471
"
"Ba8Fe6Ir2O24
"	-1.577	-3.522	0	0.367	"0
"	"-1.44580526371
"
"Ba8Fe4Ir4O24
"	-2.219	-5.67	0	0.402	"0
"	"-1.41663567171
"
"Ba8Mo8O24
"	-3.46	-9.8222	0.455	0.503	"643.729766
"	"-1.16417982171
"
"Ba8Fe7Mo1O24
"	-1.248	-2.4213	0	0.33	"127.681884176
"	"-1.46452488271
"
"Ba8Fe6Mo2O24
"	-1.601	-3.6023	0	0	"179.258723131
"	"-1.50189465971
"
"Ba8Fe4Mo4O24
"	-2.478	-6.5366	0.507	0.544	"347.3831
"	"-1.44292771371
"
"Ba8Nb8O24
"	-4.492	-13.275	0	0	"7.667046
"	"-2.39372956171
"
"Ba8Nb1Fe7O24
"	-1.213	-2.3042	0	0	"69.4361417684
"	"-1.59962703771
"
"Ba8Nb2Fe6O24
"	-1.253	-2.438	0	0	"57.3220058456
"	"-1.77815221971
"
"Ba8Os8O24
"	-3.533	-10.0664	0	0.179	"92.4561079091
"	"-1.25892359471
"
"Ba8Fe7Os1O24
"	-1.681	-3.87	0	0.441	"34.7342257044
"	"-1.50251222933
"
"Ba8Fe6Os2O24
"	-2.067	-5.1615	0	0	"29.459108777
"	"-1.53805210296
"
"Ba8Fe4Os4O24
"	-2.644	-7.092	0	0	"0
"	"-1.52134385021
"
"Ba8Pd8O24
"	-1.694	-3.9135	0	0	"90.406833621
"	"-0.924098965706
"
"Ba8Fe7Pd1O24
"	-1.209	-2.2908	0	0	"75.8782445399
"	"-1.36928915071
"
"Ba8Fe6Pd2O24
"	-1.275	-2.5116	0	0	"69.2869613885
"	"-1.31839569571
"
"Ba8Fe4Pd4O24
"	-1.414	-2.9767	0	0.29	"41.601287871
"	"-1.22404478571
"
"Ba8Pt8O24
"	-2.2	-5.6065	0	0	"156.627930263
"	"-0.933456289706
"
"Ba8Fe7Pt1O24
"	-1.28	-2.5283	0	0.331	"63.6890316765
"	"-1.39541500371
"
"Ba8Fe6Pt2O24
"	-1.458	-3.1239	0	0.11	"49.3432856618
"	"-1.36621265171
"
"Ba8Fe4Pt4O24
"	-1.799	-4.2648	0	0	"9.79676616949
"	"-1.30919419771
"
"Ba8Re8O24
"	-4.541	-13.439	0	0	"158.218632333
"	"-1.57726817271
"
"Ba8Fe7Re1O24
"	-1.378	-2.8562	0	0	"30.403271269
"	"-1.57333936408
"
"Ba8Fe6Re2O24
"	-2.363	-6.1518	0	0	"5.90096116518
"	"-1.68987837246
"
"Ba8Fe4Re4O24
"	-3.439	-9.7519	0	1.467	"0.678470999999
"	"-1.76222913921
"
"Ba8Rh8O24
"	-2.073	-5.1815	0	0	"114.525327049
"	"-1.13941590171
"
"Ba8Fe7Rh1O24
"	-1.188	-2.2205	0	0	"56.1529987529
"	"-1.41700779896
"
"Ba8Fe6Rh2O24
"	-1.362	-2.8027	0	0.11	"36.5282198147
"	"-1.40714124221
"
"Ba8Fe4Rh4O24
"	-1.637	-3.7228	0	0.44	"7.48766193812
"	"-1.37719912871
"
"Ba8Ru8O24
"	-2.764	-7.4935	0	0	"56.6738366667
"	"-1.35747670471
"
"Ba8Fe7Ru1O24
"	-1.457	-3.1205	0	0.478	"36.3631922476
"	"-1.46645064933
"
"Ba8Fe6Ru2O24
"	-1.64	-3.7328	0	0	"12.9458568039
"	"-1.49002969296
"
"Ba8Fe4Ru4O24
"	-1.967	-4.8269	0	0	"0
"	"-1.51299853021
"
"Ba8Ta8O24
"	-5.225	-15.7275	0	0	"50.0993
"	"-2.48271694771
"
"Ba8Ta1Fe7O24
"	-1.225	-2.3443	0	0	"54.2920320481
"	"-1.62757321096
"
"Ba8Ta2Fe6O24
"	-1.282	-2.535	0	0	"27.313536405
"	"-1.83376481621
"
"Ba8Ta4Fe4O24
"	-1.596	-3.5856	1.672	1.744	"0
"	"-2.25428752671
"
"Ba8Tc8O24
"	-3.576	-10.2103	0	0	"15.621525
"	"-1.67576934671
"
"Ba8Fe7Tc1O24
"	-1.35	-2.7625	0	0.367	"0
"	"-1.54582010458
"
"Ba8Fe6Tc2O24
"	-2.071	-5.1749	0	0.365	"0
"	"-1.63607710346
"
"Ba8Fe4Tc4O24
"	-2.775	-7.5303	0	0	"0
"	"-1.71074235121
"
"Ba8Y8O24
"	-0.988	-1.5514	0	4.456	"141.664751466
"	"-2.33881143171
"
"Ba8Y1Fe7O24
"	-1.222	-2.3343	0	0	"73.8023139057
"	"-1.55471595896
"
"Ba8Y2Fe6O24
"	-1.232	-2.3677	0	0	"63.1512971348
"	"-1.69109856221
"
"Ba8Y4Fe4O24
"	-1.386	-2.883	0	0.606	"64.5049606079
"	"-1.94107351871
"
"Ba8Zn8O24
"	-1.043	-1.7354	0	0	"357.160728765
"	"-1.01669343171
"
"Ba8Zn1Fe7O24
"	-1.127	-2.0164	0	0.184	"101.797990325
"	"-1.38475439646
"
"Ba8Zn2Fe6O24
"	-1.093	-1.9027	0	0	"128.57645296
"	"-1.34187618721
"
"Ba8Zn4Fe4O24
"	-1.036	-1.7119	0	0	"197.421378228
"	"-1.24083176871
"
"Ba8Zn6Fe2O24
"	-1.135	-2.0432	0	0.969	"261.724803496
"	"-1.14432885021
"
"Ba8Zr8O24
"	-1.414	-2.9767	2.994	3.054	"0
"	"-2.92152625971
"
"Ba8Zr1Fe7O24
"	-1.213	-2.3042	0	0.44	"64.6627457298
"	"-1.60853284371
"
"Ba8Zr2Fe6O24
"	-1.232	-2.3677	0	0.582	"53.5777137684
"	"-1.79016133171
"
"Ba8Zr3Fe5O24
"	-1.2	-2.2607	0	1.015	"40.029931807
"	"-1.97425256971
"
"Ba8Zr4Fe4O24
"	-1.195	-2.2439	0	1.901	"26.8896498456
"	"-2.15793630771
"
"Ba8Zr6Fe2O24
"	-1.19	-2.2272	0	2.03	"0
"	"-2.53394628371
"
"Ba8Zr7Fe1O24
"	-1.184	-2.2071	0	2.17	"0
"	"-2.72692127171
"
"Ba8Zr6Fe1Co1O24
"	-1.355	-2.7793	0	0	"19.4608832651
"	"-2.48481174833
"
"Ba8Zr5Fe1Co2O24
"	-1.428	-3.0235	0	0	"56.4799568664
"	"-2.25147222496
"
"Ba8Zr3Fe1Co4O24
"	-1.65	-3.7663	0	0	"74.586104069
"	"-1.84072517821
"
"Ba8Zr6Fe1Cu1O24
"	-1.273	-2.5049	0	1.835	"29.163207289
"	"-2.44536720371
"
"Ba8Zr5Fe1Cu2O24
"	-1.302	-2.6019	0	1.206	"78.0236106166
"	"-2.17458088571
"
"Ba8Zr3Fe1Cu4O24
"	-1.415	-2.98	0	0.609	"149.611167272
"	"-1.65914149971
"
"Ba8Hf1Zr6Fe1O24
"	-1.275	-2.5116	0	2.159	"0
"	"-2.73782464758
"
"Ba8Hf2Zr5Fe1O24
"	-1.296	-2.5819	0	2.16	"0
"	"-2.74807852346
"
"Ba8Hf4Zr3Fe1O24
"	-1.31	-2.6287	0	2.163	"1.1676399614
"	"-2.76942052521
"
"Ba8Zr6Fe1Mo1O24
"	-2.235	-5.7236	1.16	1.195	"53.828979
"	"-2.54399856071
"
"Ba8Zr5Fe1Mo2O24
"	-2.529	-6.7072	1.029	1.101	"130.86141575
"	"-2.33457984971
"
"Ba8Zr3Fe1Mo4O24
"	-2.896	-7.9351	0.743	0.814	"307.83053925
"	"-1.89283817771
"
"Ba8Zr6Nb1Fe1O24
"	-1.872	-4.509	2.004	2.074	"0
"	"-2.71917796571
"
"Ba8Zr5Nb2Fe1O24
"	-3.143	-8.7615	0.336	0.403	"0
"	"-2.66665640971
"
"Ba8Zr3Nb4Fe1O24
"	-4.19	-12.2646	0	0	"10.5881855
"	"-2.54357279771
"
"Ba8Zr6Fe1Ni1O24
"	-1.256	-2.448	0	1.92	"22.6412638903
"	"-2.44342485771
"
"Ba8Zr5Fe1Ni2O24
"	-1.205	-2.2774	0	0	"66.1459738193
"	"-2.16952994371
"
"Ba8Zr3Fe1Ni4O24
"	-1.327	-2.6856	0	0.876	"140.134457153
"	"-1.63170511571
"
"Ba8Zr6Ta1Fe1O24
"	-1.887	-4.5592	2.18	2.25	"0
"	"-2.74822638896
"
"Ba8Zr5Ta2Fe1O24
"	-3.093	-8.5943	0.873	0.94	"0
"	"-2.72482000621
"
"Ba8Zr3Ta4Fe1O24
"	-4.799	-14.3022	0	0	"29.91808225
"	"-2.62821699071
"
"Ba8Zr6Fe1W1O24
"	-4.249	-12.462	0	0	"80.30888725
"	"-2.53154007271
"
"Ba8Zr6Zn1Fe1O24
"	-1.214	-2.3075	0	2.229	"31.129048557
"	"-2.47868407446
"
"Ba8Zr5Zn2Fe1O24
"	-1.162	-2.1335	0	0.106	"79.3342931526
"	"-2.24383562721
"
"Ba8Zr3Zn4Fe1O24
"	-1.207	-2.2841	0	0.143	"177.633032344
"	"-1.77225048271
"
"Ba8Hf4Ni4O24
"	-1.18	-2.1937	0	2.695	"177.441803716
"	"-1.83897135721
"
"Ba8Hf6Ni2O24
"	-1.175	-2.177	0	2.963	"96.8586983579
"	"-2.42045018696
"
"Ba8Hf7Ni1O24
"	-1.231	-2.3644	0	0	"51.8644461789
"	"-2.71442172683
"
"Ba8Nb4Ni4O24
"	-1.294	-2.5752	0	2.94	"70.3541023579
"	"-1.80763962971
"
"Ba8Nb6Fe2O24
"	-4.082	-11.9033	0	0	"236.699858667
"	"-2.09673094771
"
"Ba8Nb7Ni1O24
"	-4.38	-12.9003	0	0	"74.7720530417
"	"-2.30711670371
"
"Ba8Ta4Ni4O24
"	-1.325	-2.6789	0	3.219	"88.1834983579
"	"-1.91742057271
"
"Ba8Ta6Ni2O24
"	-4.787	-14.262	0	0	"112.0035505
"	"-2.35099913521
"
"Ba8Ta7Ni1O24
"	-5.127	-15.3996	0	0	"127.239966608
"	"-2.41864191646
"
"Ba8Zr4Ni4O24
"	-1.194	-2.2406	0	2.345	"139.599683716
"	"-1.80235185371
"
"Ba8Zr6Ni2O24
"	-1.163	-2.1369	0	2.835	"50.4901918579
"	"-2.35572918171
"
"Ba8Zr7Ni1O24
"	-1.186	-2.2138	0	2.943	"0
"	"-2.63852134571
"
"Ba4Sr4Al8O24
"	-1.601	-3.6023	0	5.165	"212.302521091
"	"-2.17405494871
"
"Ba4Sr4Al1Fe7O24
"	-1.425	-3.0135	0	0	"127.825789025
"	"-1.52581477871
"
"Ba4Sr4Al2Fe6O24
"	-1.427	-3.0202	0	0	"149.85009451
"	"-1.61072183871
"
"Ba4Sr4Al4Fe4O24
"	-1.53	-3.3648	0	1.836	"198.106664217
"	"-1.77552195871
"
"Ba4Sr4Al6Fe2O24
"	-1.537	-3.3882	0	1.931	"206.158236245
"	"-1.97623957871
"
"Ba4Sr4Cu8O24
"	-1.322	-2.6688	0	3.953	"288.486562824
"	"-0.840356078706
"
"Ba4Sr4Fe7Cu1O24
"	-1.302	-2.6019	0	0	"119.77883703
"	"-1.37580413871
"
"Ba4Sr4Fe6Cu2O24
"	-1.224	-2.341	0	0	"151.797440519
"	"-1.29265930871
"
"Ba4Sr4Fe4Cu4O24
"	-1.259	-2.4581	0	0	"218.946397498
"	"-1.12325789871
"
"Ba4Sr4Fe2Cu6O24
"	-1.317	-2.6521	0	0.527	"253.560445966
"	"-0.983566988706
"
"Ba4Sr4Ga8O24
"	-1.246	-2.4146	0	2.374	"289.712977799
"	"-1.53218590371
"
"Ba4Sr4Ga1Fe7O24
"	-1.266	-2.4815	0	0.257	"118.302657605
"	"-1.46519246058
"
"Ba4Sr4Ga2Fe6O24
"	-1.221	-2.3309	0	0.329	"145.197831669
"	"-1.47508320246
"
"Ba4Sr4Ga4Fe4O24
"	-1.238	-2.3878	0	1.314	"202.689679797
"	"-1.49116318621
"
"Ba4Sr4Ga6Fe2O24
"	-1.184	-2.2071	0	1.344	"251.771743647
"	"-1.51144166996
"
"Ba4Sr4Zn8O24
"	-1.136	-2.0465	0	4.211	"377.502008598
"	"-1.02579254471
"
"Ba4Sr4Zn1Fe7O24
"	-1.264	-2.4748	0	0	"119.774983252
"	"-1.41102425946
"
"Ba4Sr4Zn2Fe6O24
"	-1.211	-2.2975	0	0	"150.472708246
"	"-1.36429005021
"
"Ba4Sr4Zn4Fe4O24
"	-1.162	-2.1335	0	0	"219.402133514
"	"-1.26316113171
"
"Ba4Sr4Zn6Fe2O24
"	-1.23	-2.361	0	0	"294.89317499
"	"-1.15277271321
"
"Ba2La6Co8O24
"	-2.436	-6.3961	0	0	"59.6349893815
"	"-1.66353766833
"
"Ba4La4Co8O24
"	-2.037	-5.0611	0	0	"117.650529858
"	"-1.46327663646
"
"Ca2La6Co8O24
"	-2.574	-6.8578	0	0	"50.0254523342
"	"-1.69368405783
"
"Ca4La4Co8O24
"	-2.402	-6.2823	0	0	"75.1559557631
"	"-1.54684491546
"
"La6Dy2Co8O24
"	-2.806	-7.634	0	0	"59.5521104052
"	"-1.82269927933
"
"La4Dy4Co8O24
"	-2.463	-6.4864	0	0	"70.8357719052
"	"-1.82824885846
"
"La6Gd2Co8O24
"	-3.326	-9.3738	0	0	"0
"	"-2.20774755108
"
"La4Gd4Co8O24
"	-3.287	-9.2433	0	0	"0
"	"-2.19489140196
"
Co8Ho2O24La6	-3.257	-9.143	0	0	"0
"	"-2.22172585033
"
"La4Ho4Co8O24
"	-2.622	-7.0184	0	0	"71.2267570302
"	"-1.83332800046
"
"La6Nd2Co8O24
"	-2.79	-7.5805	0	0	"33.9191772177
"	"-1.81950426958
"
"La4Nd4Co8O24
"	-2.806	-7.634	0	0	"41.1709055302
"	"-1.80025783896
"
"La6Sm2Co8O24
"	-2.804	-7.6273	0	0	"43.192815874
"	"-1.82023687933
"
"La4Sm4Co8O24
"	-2.837	-7.7377	0	0	"59.0546828427
"	"-1.80238655846
"
"Sr2La6Co8O24
"	-2.661	-7.1489	0	0	"33.1384553579
"	"-1.69704172483
"
"Sr4La4Co8O24
"	-2.322	-6.0146	0.183	0.203	"45.2159618105
"	"-1.54972624946
"
"La8Cr1Co7O24
"	-2.825	-7.6976	0	0	"34.4706557296
"	"-1.89858508283
"
"La8Cr2Co6O24
"	-2.823	-7.6909	0.216	0.243	"60.1231125539
"	"-1.94057021546
"
"La8Fe1Co7O24
"	-2.58	-6.8779	0	0	"40.9146349171
"	"-1.86048248558
"
"La8Fe2Co6O24
"	-2.675	-7.1957	0	0	"39.3315709289
"	"-1.89804452096
"
"La8Mg1Co7O24
"	-3.104	-8.6311	0	0	"0
"	"-2.26815733846
"
"La8Mg2Co6O24
"	-2.947	-8.1058	0	0	"0
"	"-2.31044647671
"
"La8Mg4Co4O24
"	-2.513	-6.6537	0	0.683	"0
"	"-2.38543975321
"
"La8Mn1Co7O24
"	-2.746	-7.4333	0.121	0.121	"27.9926398279
"	"-1.89159846062
"
"La8Mn2Co6O24
"	-2.801	-7.6173	0.181	0.211	"29.9490807506
"	"-1.94381497102
"
"La8Co7Ni1O24
"	-2.732	-7.3864	0.336	0.336	"48.9115430065
"	"-1.79147905958
"
"La8Co6Ni2O24
"	-2.379	-6.2054	0	0	"47.0181371079
"	"-1.76834491896
"
"La8Co4Ni4O24
"	-2.42	-6.3425	0	0	"55.7153253105
"	"-1.70959263771
"
"La8Co8O24
"	-2.737	-7.4032	0	0	"25.8389489052
"	"-1.83957920021
"
"Ba2La6Cr8O24
"	-2.561	-6.8143	0	0	"16.6684097187
"	"-2.24433647933
"
"Ba4La4Cr8O24
"	-2.299	-5.9377	0	0	"62.1679659375
"	"-2.05332294746
"
"Ca2La6Cr8O24
"	-2.5	-6.6102	0.355	0.383	"0
"	"-2.29792536883
"
"Ca4La4Cr8O24
"	-2.391	-6.2455	0.357	0.385	"0.203972666666
"	"-2.15052197646
"
"La4Dy4Cr8O24
"	-2.426	-6.3626	2.1	2.128	"0
"	"-2.43838766946
"
"La6Gd2Cr8O24
"	-4.005	-11.6456	0.555	0.608	"0
"	"-2.78164186208
"
"La4Gd4Cr8O24
"	-4.019	-11.6925	0.557	0.61	"0
"	"-2.77598046296
"
"La6Ho2Cr8O24
"	-2.545	-6.7608	2.011	2.065	"0
"	"-2.43011791133
"
"La4Ho4Cr8O24
"	-2.453	-6.4529	2.074	2.129	"0
"	"-2.43957006146
"
"La6Nd2Cr8O24
"	-2.547	-6.7675	2.009	2.036	"0
"	"-2.41815333058
"
"La4Nd4Cr8O24
"	-2.433	-6.386	2.04	2.067	"0
"	"-2.40601889996
"
"La6Sm2Cr8O24
"	-2.556	-6.7976	1.982	2.036	"0
"	"-2.42340544033
"
"La4Sm4Cr8O24
"	-2.423	-6.3526	2.071	2.098	"0
"	"-2.41849386946
"
"Sr2La6Cr8O24
"	-2.595	-6.9281	0	0	"0
"	"-2.27854553583
"
"Sr4La4Cr8O24
"	-2.361	-6.1451	0.356	0.383	"4.514301375
"	"-2.13181106046
"
"La8Cr7Co1O24
"	-2.639	-7.0753	0.48	0.534	"0
"	"-2.35960987858
"
"La8Cr6Co2O24
"	-2.562	-6.8176	0	0.107	"0
"	"-2.28417149596
"
"La8Cr4Co4O24
"	-2.415	-6.3258	0.559	0.612	"0
"	"-2.14055073071
"
"La8Cr7Fe1O24
"	-2.587	-6.9013	1.946	2.014	"0
"	"-2.40366641396
"
"La8Cr6Fe2O24
"	-2.545	-6.7608	1.842	1.944	"0
"	"-2.37553006671
"
"La8Mg1Cr7O24
"	-3.605	-10.3073	0	0.606	"0
"	"-2.82836801683
"
"La8Mg2Cr6O24
"	-3.432	-9.7285	0	0.634	"0
"	"-2.81168427246
"
"La8Mg4Cr4O24
"	-3.054	-8.4638	0	1.011	"0
"	"-2.76816578371
"
"La8Mn1Cr7O24
"	-3.065	-8.5006	0.211	0.271	"0
"	"-2.40338113899
"
"La8Mn2Cr6O24
"	-2.962	-8.156	0.392	0.423	"0
"	"-2.37724251677
"
"La8Mn4Cr4O24
"	-2.765	-7.4968	0.602	0.632	"0
"	"-2.33142677234
"
"La8Cr7Ni1O24
"	-2.611	-6.9816	0.152	0.189	"0
"	"-2.33520798796
"
"La8Cr6Ni2O24
"	-2.507	-6.6336	0.264	0.302	"0
"	"-2.22246746471
"
"La8Cr4Ni4O24
"	-2.213	-5.65	0.757	0.795	"0
"	"-2.05054966821
"
"La8Cr8O24
"	-2.624	-7.0251	1.948	2.001	"0
"	"-2.43108551121
"
"Ba2La6Fe8O24
"	-2.317	-5.9979	0	0.954	"0
"	"-2.00351270133
"
"Ba4La4Fe8O24
"	-1.998	-4.9306	0	0.665	"3.6081073456
"	"-1.82434291946
"
"Ca2La6Fe8O24
"	-2.301	-5.9444	0	1.059	"0
"	"-2.03438384083
"
"Ca4La4Fe8O24
"	-2.116	-5.3254	0	0.737	"0.59343723286
"	"-1.89483694846
"
"La6Dy2Fe8O24
"	-2.604	-6.9582	1.232	1.335	"0
"	"-2.17712556233
"
"La4Dy4Fe8O24
"	-2.418	-6.3358	1.304	1.374	"0
"	"-2.18440364146
"
"La6Gd2Fe8O24
"	-3.709	-10.6553	0	0	"0
"	"-2.52881483408
"
"La4Gd4Fe8O24
"	-3.677	-10.5482	0	0	"0
"	"-2.53059693496
"
"La6Ho2Fe8O24
"	-2.599	-6.9414	1.233	1.336	"0
"	"-2.17333163333
"
"La4Ho4Fe8O24
"	-2.433	-6.386	1.305	1.375	"0
"	"-2.18551303346
"
"La6Nd2Fe8O24
"	-2.621	-7.015	1.196	1.299	"0
"	"-2.16561180258
"
"La4Nd4Fe8O24
"	-2.424	-6.3559	1.229	1.334	"0
"	"-2.15323712196
"
"La6Sm2Fe8O24
"	-2.597	-6.9347	1.232	1.335	"0
"	"-2.17060891233
"
"La4Sm4Fe8O24
"	-2.415	-6.3258	1.266	1.336	"0
"	"-2.16513759146
"
"Sr2La6Fe8O24
"	-2.351	-6.1117	0	0.988	"0
"	"-2.03239475783
"
"Sr4La4Fe8O24
"	-2.154	-5.4526	0	0.596	"0
"	"-1.88268078246
"
"La8Fe7Co1O24
"	-2.724	-7.3597	1.09	1.192	"0
"	"-2.14208994783
"
"La8Fe6Co2O24
"	-2.776	-7.5336	0.988	1.09	"0
"	"-2.10653941246
"
"La8Fe4Co4O24
"	-2.751	-7.45	0.136	0.17	"1.92094295262
"	"-2.00741309171
"
"La8Cr1Fe7O24
"	-2.669	-7.1756	1.226	1.295	"0
"	"-2.21407383046
"
"La8Cr2Fe6O24
"	-2.808	-7.6407	1.158	1.26	"19.901478625
"	"-2.19666567771
"
"La8Cr4Fe4O24
"	-2.44	-6.4095	1.84	1.942	"0
"	"-2.31940012221
"
"La8Mg1Fe7O24
"	-3.623	-10.3675	0	0	"0
"	"-2.62508583608
"
"La8Mg2Fe6O24
"	-3.469	-9.8523	0	0	"0
"	"-2.62636318896
"
"La8Mg4Fe4O24
"	-3.29	-9.2534	0	0	"0
"	"-2.63248014471
"
"La8Mn1Fe7O24
"	-3.276	-9.2065	0.342	0.377	"0
"	"-2.18501020824
"
"La8Mn2Fe6O24
"	-3.427	-9.7118	0.578	0.646	"27.030439173
"	"-2.14741993327
"
"La8Mn4Fe4O24
"	-3.241	-9.0894	0.545	0.579	"0
"	"-2.21386938334
"
"La8Fe7Ni1O24
"	-2.247	-5.7637	0	1.276	"0
"	"-2.11769180721
"
"La8Fe6Ni2O24
"	-2.378	-6.202	0	0.985	"0
"	"-2.04828263121
"
"La8Fe4Ni4O24
"	-2.321	-6.0113	0	1.252	"0
"	"-1.91143377921
"
"La8Fe8O24
"	-2.643	-7.0886	1.227	1.295	"0
"	"-2.17890123321
"
"Ba2La6Ga8O24
"	-1.88	-4.5358	0	3.102	"94.5062097102
"	"-2.14200738633
"
"Ba4La4Ga8O24
"	-1.748	-4.0942	0	2.73	"169.769380462
"	"-1.93146935446
"
"Ca2La6Ga8O24
"	-1.826	-4.3551	0	3.444	"73.9741468307
"	"-2.17354127583
"
"Ca4La4Ga8O24
"	-1.679	-3.8633	0	3.468	"139.370003947
"	"-1.99119888346
"
"La6Dy2Ga8O24
"	-2.126	-5.3589	3.247	3.285	"25.3695907381
"	"-2.35253849733
"
"La4Dy4Ga8O24
"	-1.889	-4.5659	3.323	3.363	"32.0782685125
"	"-2.36095707646
"
"La6Gd2Ga8O24
"	-2.127	-5.3622	2.935	2.961	"85.9609736131
"	"-2.27645651908
"
"La4Gd4Ga8O24
"	-2.056	-5.1247	3.059	3.085	"89.2356505937
"	"-2.27288561996
"
"La6Ho2Ga8O24
"	-2.137	-5.3957	3.228	3.267	"26.8282538631
"	"-2.35222006833
"
"La4Ho4Ga8O24
"	-1.879	-4.5325	3.327	3.347	"33.56831065
"	"-2.36206646846
"
"La6Nd2Ga8O24
"	-2.109	-5.302	3.266	3.311	"12.6328149464
"	"-2.34167498758
"
"La4Nd4Ga8O24
"	-1.847	-4.4254	3.295	3.342	"15.4429064062
"	"-2.33016130696
"
"La6Sm2Ga8O24
"	-2.12	-5.3388	3.254	3.302	"17.3373103214
"	"-2.34644034733
"
"La4Sm4Ga8O24
"	-1.831	-4.3719	3.31	3.335	"22.3715508958
"	"-2.34197252646
"
"Sr2La6Ga8O24
"	-1.855	-4.4522	0	3.331	"75.3897667571
"	"-2.17113044283
"
"Sr4La4Ga8O24
"	-1.748	-4.0942	0	3.186	"135.168012577
"	"-1.98726021746
"
"La8Ga7Co1O24
"	-2.42	-6.3425	0.883	0.94	"11.847970823
"	"-2.29213864096
"
"La8Ga6Co2O24
"	-2.471	-6.5132	0.826	0.883	"16.5750555745
"	"-2.23086011371
"
"La8Ga4Co4O24
"	-2.51	-6.6437	0.71	0.768	"26.3184750776
"	"-2.10801380921
"
"La8Cr1Ga7O24
"	-2.42	-6.3425	3.149	3.176	"1.747132
"	"-2.36453852358
"
"La8Cr2Ga6O24
"	-2.504	-6.6236	2.701	2.754	"0
"	"-2.37471387896
"
"La8Mn4Ga4O24
"	-2.376	-6.1953	2.342	2.395	"0
"	"-2.39352985084
"
"La8Ga7Fe1O24
"	-2.313	-5.9845	2.479	2.546	"0
"	"-2.33547317633
"
"La8Ga6Fe2O24
"	-2.398	-6.2689	2.309	2.377	"0
"	"-2.31593543446
"
"La8Ga4Fe4O24
"	-2.383	-6.2187	2.14	2.242	"0
"	"-2.27633595071
"
"La8Mg1Ga7O24
"	-1.838	-4.3953	0	3.75	"34.9408400761
"	"-2.35487452921
"
"La8Mg2Ga6O24
"	-1.773	-4.1778	0	3.972	"60.3605981789
"	"-2.35469414021
"
"La8Mg4Ga4O24
"	-1.671	-3.8365	0	4.386	"108.224668483
"	"-2.35327086221
"
"La8Mn1Ga7O24
"	-3.48	-9.8891	1.531	1.589	"33.436112274
"	"-2.31179115137
"
"La8Mn2Ga6O24
"	-3.061	-8.4872	0.898	0.928	"7.74558847657
"	"-2.32217088452
"
"La8Ga7Ni1O24
"	-2.306	-5.9611	0	0	"25.1748038261
"	"-2.25703200033
"
"La8Ga6Ni2O24
"	-2.36	-6.1418	0.114	0.114	"40.6187326789
"	"-2.16000908246
"
"La8Ga4Ni4O24
"	-2.34	-6.0749	0	0	"67.0851014829
"	"-1.96713699671
"
"La8Ga8O24
"	-2.136	-5.3923	3.264	3.283	"6.37138607143
"	"-2.35416666821
"
"Ba2La6Mn8O24
"	-2.928	-8.0422	0	0	"43.3637207337
"	"-2.05858400161
"
"Ca2La6Mn8O24
"	-2.99	-8.2496	0	0	"32.789930692
"	"-2.08698289111
"
"Ca4La4Mn8O24
"	-2.556	-6.7976	0	0	"38.146165692
"	"-1.96334774873
"
"La6Dy2Mn8O24
"	-2.912	-7.9887	0	0	"53.842554067
"	"-2.19695111261
"
"La4Dy4Mn8O24
"	-2.822	-7.6875	0	0	"60.521912442
"	"-2.20301369173
"
"La6Gd2Mn8O24
"	-4.059	-11.8263	0	0	"0
"	"-2.56041988436
"
"La4Gd4Mn8O24
"	-3.929	-11.3913	0	0	"0
"	"-2.55747998523
"
"La6Ho2Mn8O24
"	-2.908	-7.9753	0	0	"56.751733567
"	"-2.19657193361
"
"La4Ho4Mn8O24
"	-2.834	-7.7277	0	0	"65.031271442
"	"-2.20356433373
"
"La6Nd2Mn8O24
"	-2.963	-8.1593	0	0	"40.254439817
"	"-2.18616960286
"
"La4Nd4Mn8O24
"	-2.843	-7.7578	0	0	"40.835433942
"	"-2.17396092223
"
"La6Sm2Mn8O24
"	-2.945	-8.0991	0	0	"43.488231192
"	"-2.18982746261
"
"La4Sm4Mn8O24
"	-2.774	-7.5269	0	0	"44.850516692
"	"-2.18372914173
"
"Sr2La6Mn8O24
"	-2.983	-8.2262	0	0.18	"32.1439513587
"	"-2.08670980811
"
"Sr4La4Mn8O24
"	-2.383	-6.2187	0	0	"39.241275192
"	"-1.95361658273
"
"La8Mn7Co1O24
"	-3.076	-8.5374	0	0	"36.507512418
"	"-2.16255877307
"
"La8Mn6Co2O24
"	-2.883	-7.8916	0	0	"48.994329144
"	"-2.11108651266
"
