SimulatedComposition	O p-band center (eV)	Predicted Log k* (cm/s)	Bandgap	Charge transfer gap (eV)	Ehull	Formation energy
"La6Nb2Zn2Ni6O24
"	-1.96	-4.8035	0	0	"185.182334608
"	"-1.61172202833
"
"La6Ta2Zn2Ni6O24
"	-1.972	-4.8436	0	0	"186.835774858
"	"-1.66814337483
"
"La6Ti2Zn2Ni6O24
"	-1.974	-4.8503	0	0	"202.290968412
"	"-1.60536094666
"
"La6Zr2Zn2Ni6O24
"	-1.991	-4.9072	0	0	"200.047469412
"	"-1.62536864033
"
"La5Zn3Co8O24
"	-2.458	-6.4697	0	0	"181.659746314
"	"-1.28328280589
"
"La5Zn3Fe8O24
"	-2.185	-5.5563	0	0	"176.193352581
"	"-1.55518383889
"
"La5Mn8Zn3O24
"	-2.705	-7.2961	0	0	"145.936465692
"	"-1.67877663917
"
"La5Zn3Ni8O24
"	-1.853	-4.4455	0	0	"304.216097984
"	"-0.949567680893
"
"Pr7Zn1Co8O24
"	-2.144	-5.4191	0	0	"71.5466155309
"	"-1.59834387871
"
"Pr7Zn1Fe8O24
"	-1.779	-4.1979	0	1.226	"77.590214277
"	"-1.87670866171
"
"Pr7Mn8Zn1O24
"	-2.517	-6.6671	0	0	"67.3902193795
"	"-1.97850996198
"
"Pr7Zn1Ni8O24
"	-1.189	-2.2239	0	0.705	"178.590945618
"	"-1.28733900371
"
"Pr6Zn2Co8O24
"	-1.99	-4.9038	0	0	"111.989368657
"	"-1.43337898871
"
"Pr6Hf2Zn2Co6O24
"	-2.029	-5.0343	0.33	0.353	"113.270941671
"	"-1.82879453721
"
"Pr6Nb2Zn2Co6O24
"	-2.717	-7.3362	0	0	"149.58971125
"	"-1.73397442346
"
"Pr6Ta2Zn2Co6O24
"	-1.923	-4.6797	0	0.119	"121.012896
"	"-1.82255076996
"
"Pr6Ti2Zn2Co6O24
"	-2.12	-5.3388	0.179	0.179	"102.665207858
"	"-1.79134534179
"
"Pr6Zr2Zn2Co6O24
"	-1.986	-4.8905	0.124	0.155	"123.826342921
"	"-1.80195803546
"
"Pr6Zn2Fe8O24
"	-1.69	-3.9001	0	0.837	"117.557011554
"	"-1.70445002171
"
"Pr6Hf2Zn2Fe6O24
"	-1.788	-4.228	1.66	1.696	"127.306710625
"	"-2.02654474946
"
"Pr6Nb2Zn2Fe6O24
"	-2.612	-6.9849	0.831	0.903	"147.4918845
"	"-1.90556063571
"
"Pr6Ta2Zn2Fe6O24
"	-2.178	-5.5329	1.413	1.485	"177.346326375
"	"-1.91986223221
"
"Pr6Ti2Zn2Fe6O24
"	-2.152	-5.4459	1.19	1.262	"85.3211605625
"	"-2.01241630404
"
"Pr6Zr2Zn2Fe6O24
"	-1.948	-4.7633	1.449	1.486	"130.710795625
"	"-1.99880049771
"
"Pr6Mn8Zn2O24
"	-2.307	-5.9645	0	0	"99.387515567
"	"-1.81769032198
"
"Pr6Hf2Mn6Zn2O24
"	-2.279	-5.8708	0.414	0.446	"97.753715269
"	"-2.12219659966
"
"Pr6Mn6Nb2Zn2O24
"	-2.551	-6.7808	0	0.126	"101.679243394
"	"-2.02860098591
"
"Pr6Ta2Mn6Zn2O24
"	-2.566	-6.831	0	0.127	"88.069685269
"	"-2.08636658241
"
"Pr6Ti2Mn6Zn2O24
"	-2.36	-6.1418	0	0	"89.1149867065
"	"-2.06846565425
"
"Pr6Zr2Mn6Zn2O24
"	-2.304	-5.9544	0.414	0.445	"89.464121769
"	"-2.09989034791
"
"Pr6Zn2Ni8O24
"	-0.982	-1.5313	0	0.546	"233.37177602
"	"-1.10429586371
"
"Pr6Hf2Zn2Ni6O24
"	-1.305	-2.612	0	0	"181.755921787
"	"-1.60279669346
"
"Pr6Nb2Zn2Ni6O24
"	-1.185	-2.2105	0	1.224	"170.112525858
"	"-1.56328632971
"
"Pr6Ta2Zn2Ni6O24
"	-1.205	-2.2774	0	0	"171.809960608
"	"-1.62158842621
"
"Pr6Ti2Zn2Ni6O24
"	-1.256	-2.448	0	0	"181.776187974
"	"-1.55472149804
"
"Pr6Zr2Zn2Ni6O24
"	-1.317	-2.6521	0	0.816	"188.725323037
"	"-1.57954619171
"
"La1Pr4Zn3Co8O24
"	-2.016	-4.9908	0	0	"172.420203064
"	"-1.25701959014
"
"La1Pr4Zn3Fe8O24
"	-1.799	-4.2648	0	0.901	"171.679717581
"	"-1.52636787314
"
"La1Pr4Mn8Zn3O24
"	-2.317	-5.9979	0	0	"144.746720817
"	"-1.65142492342
"
"La1Pr4Zn3Ni8O24
"	-1.909	-4.6328	0	1.315	"0
"	"-1.62181946514
"
"Sr7Zn1Co8O24
"	-1.511	-3.3012	0	0	"144.367702947
"	"-1.11364277996
"
"Sr7Zn1Fe8O24
"	-1.401	-2.9332	0	0	"146.059828716
"	"-1.37347931296
"
"Sr7Mn8Zn1O24
"	-1.335	-2.7123	0	0	"122.487016344
"	"-1.51601911323
"
"Sr7Zn1Ni8O24
"	-1.095	-1.9094	0	0	"321.795002806
"	"-0.700042904956
"
"Sr6Zn2Co8O24
"	-1.392	-2.9031	0	0	"191.511615135
"	"-0.998775261206
"
"Sr6Hf2Zn2Co6O24
"	-1.601	-3.6023	0	0	"190.002071483
"	"-1.42981530971
"
"Sr6Nb2Zn2Co6O24
"	-1.577	-3.522	0	0	"166.699388858
"	"-1.38616144596
"
"Sr6Ta2Zn2Co6O24
"	-1.657	-3.7897	0	0	"170.828354358
"	"-1.43439179246
"
"Sr6Ti2Zn2Co6O24
"	-1.471	-3.1674	0	0	"195.159839729
"	"-1.36242936429
"
"Sr6Zr2Zn2Co6O24
"	-1.387	-2.8863	0	0	"190.460889358
"	"-1.39146730796
"
"Sr6Zn2Fe8O24
"	-1.235	-2.3778	0	0	"200.504538216
"	"-1.24885129421
"
"Sr6Hf2Zn2Fe6O24
"	-1.28	-2.5283	0	0.59	"196.095876287
"	"-1.61689902196
"
"Sr6Nb2Zn2Fe6O24
"	-1.317	-2.6521	0	0.624	"158.791748983
"	"-1.58317240821
"
"Sr6Ta2Zn2Fe6O24
"	-1.336	-2.7157	0	0	"178.669885608
"	"-1.64097675471
"
"Sr6Ti2Zn2Fe6O24
"	-1.281	-2.5317	0	0.441	"187.709914537
"	"-1.56049432654
"
"Sr6Zr2Zn2Fe6O24
"	-1.296	-2.5819	0	0.625	"179.995444162
"	"-1.59511027021
"
"Sr6Mn8Zn2O24
"	-1.25	-2.428	0	0	"153.899276496
"	"-1.40644384448
"
"Sr6Hf2Mn6Zn2O24
"	-1.279	-2.525	0	0	"142.483392823
"	"-1.74976212216
"
"Sr6Mn6Nb2Zn2O24
"	-1.981	-4.8737	0	0	"125.081234925
"	"-1.68840575841
"
"Sr6Ta2Mn6Zn2O24
"	-2.032	-5.0444	0	0	"125.776102144
"	"-1.74416760491
"
"Sr6Ti2Mn6Zn2O24
"	-1.326	-2.6822	0	0	"137.316409698
"	"-1.68946267675
"
"Sr6Zr2Mn6Zn2O24
"	-1.277	-2.5183	0	0	"125.772960698
"	"-1.72858337041
"
"Sr6Zn2Ni8O24
"	-0.986	-1.5447	0	0	"369.780134181
"	"-0.587359136206
"
"Sr6Hf2Zn2Ni6O24
"	-1.039	-1.722	0	0.165	"350.019596699
"	"-1.09655521596
"
"Sr6Nb2Zn2Ni6O24
"	-1.135	-2.0432	0	0	"306.666897145
"	"-1.07963310221
"
"Sr6Ta2Zn2Ni6O24
"	-1.145	-2.0766	0	0.822	"302.985862645
"	"-1.13567344871
"
"Sr6Ti2Zn2Ni6O24
"	-1.119	-1.9897	0	0	"335.551879324
"	"-1.05526327054
"
"Sr6Zr2Zn2Ni6O24
"	-1.107	-1.9495	0	0.575	"319.706164574
"	"-1.08897946421
"
"Sr4La1Zn3Co8O24
"	-1.692	-3.9068	0	0	"229.722452072
"	"-0.961832605143
"
"Sr4La1Zn3Fe8O24
"	-1.503	-3.2744	0	0.367	"227.914068689
"	"-1.22169938814
"
"Sr4La1Mn8Zn3O24
"	-1.773	-4.1778	0	0	"172.040538871
"	"-1.38086868842
"
"Sr4La1Zn3Ni8O24
"	-1.179	-2.1904	0	0	"381.107806842
"	"-0.583665480143
"
"Y7Zn1Co8O24
"	-2.063	-5.1481	0	0	"84.4124962184
"	"-1.68759608621
"
"Y7Zn1Fe8O24
"	-1.826	-4.3551	0	1.411	"54.9497902145
"	"-1.95977736921
"
"Y7Mn8Zn1O24
"	-2.483	-6.5533	0	0	"59.679202692
"	"-2.06060941948
"
"Y7Zn1Ni8O24
"	-1.307	-2.6187	0	0	"185.728826305
"	"-1.38231921121
"
"Y6Zn2Co8O24
"	-1.99	-4.9038	0	0	"119.298373532
"	"-1.51359977371
"
"Y6Hf2Zn2Co6O24
"	-2.161	-5.476	0.161	0.188	"124.022946546
"	"-1.90557232221
"
"Y6Nb2Zn2Co6O24
"	-2.165	-5.4894	0	0	"119.65758775
"	"-1.83559720846
"
"Y6Ta2Zn2Co6O24
"	-2.246	-5.7604	0	0	"114.36792625
"	"-1.89533430496
"
"Y6Ti2Zn2Co6O24
"	-1.953	-4.78	0	0	"103.964993921
"	"-1.87352737679
"
"Y6Zr2Zn2Co6O24
"	-2.118	-5.3321	0.124	0.155	"116.890894504
"	"-1.88815832046
"
"Y6Zn2Fe8O24
"	-1.71	-3.967	0	1.202	"93.3858524289
"	"-1.78298505671
"
"Y6Hf2Zn2Fe6O24
"	-2.145	-5.4224	0.506	0.506	"137.488659125
"	"-2.07522103446
"
"Y6Nb2Zn2Fe6O24
"	-2.536	-6.7306	1.12	1.156	"209.8826285
"	"-1.89874242071
"
"Y6Ta2Zn2Fe6O24
"	-2.771	-7.5169	0.945	1.018	"127.740217
"	"-2.03533226721
"
"Y6Ti2Zn2Fe6O24
"	-2.183	-5.5496	1.302	1.374	"70.6664565
"	"-2.08994033904
"
"Y6Zr2Zn2Fe6O24
"	-2.021	-5.0076	1.56	1.632	"72.3673570833
"	"-2.11579628271
"
"Y6Mn8Zn2O24
"	-2.543	-6.7541	0	0	"77.0450205253
"	"-1.90045435698
"
"Y6Hf2Mn6Zn2O24
"	-2.438	-6.4028	0.448	0.48	"91.156936519
"	"-2.19505988466
"
"Y6Mn6Nb2Zn2O24
"	-2.671	-7.1823	0.127	0.19	"88.4608474773
"	"-2.09933452091
"
"Y6Ta2Mn6Zn2O24
"	-2.687	-7.2359	0.159	0.223	"80.9403347273
"	"-2.15757736741
"
"Y6Ti2Mn6Zn2O24
"	-2.537	-6.734	0.143	0.178	"74.5855168107
"	"-2.14507443925
"
"Y6Zr2Mn6Zn2O24
"	-2.415	-6.3258	0.511	0.543	"83.809256644
"	"-2.17143138291
"
"Y6Zn2Ni8O24
"	-1.102	-1.9328	0	0.588	"228.914530895
"	"-1.19628289871
"
"Y6Hf2Zn2Ni6O24
"	-1.417	-2.9867	0	0.493	"187.427676662
"	"-1.68465472846
"
