Bandgap	Ehull	StructuredFormula	A1	A1_frac	A2	A2_frac	B1	B1_frac	B2	B2_frac	O	O_frac	atom_numA1	atom_numA2	atom_numB1	atom_numB2	atom_numO	mend_numA1	mend_numA2	mend_numB1	mend_numB2	mend_numO	atomic_rA1	atomic_rA2	atomic_rB1	atomic_rB2	atomic_rO	A1_X	A2_X	B1_X	B2_X	O_X	M_A1	M_A2	M_B1	M_B2	M_O	V_A1	V_A2	V_B1	V_B2	V_O	therm_con_A1	therm_con_A2	therm_con_B1	therm_con_B2	therm_con_O	polarizability_A1	polarizability_A2	polarizability_B1	polarizability_B2	polarizability_O	lattice_const_A1	lattice_const_A2	lattice_const_B1	lattice_const_B2	lattice_const_O	Row_A1	Row_A2	Row_B1	Row_B2	Row_O	Group_A1	Group_A2	Group_B1	Group_B2	Group_O	nA	nB	nO	rA_avg	rB_avg	rO	rA/rB	rA/rO	rB/rO	rA-rB	Goldschmidt_TF	SISSO_1	SISSO_2	SISSO_3	SISSO_4	SISSO_5	SISSO_6	SISSO_7	SISSO_8	SISSO_9	SISSO_10
3.323	32.0782685125	(La0.5Dy0.5)GaO3	La	0.5	Dy	0.5	Ga	1.0	_	0.0	O	3.0	57	66	31	0	8	33.0	24.0	81.0	0.0	101.0	1.95	1.75	1.3	0.0	0.6	1.1	1.22	1.81	0.0	3.44	138.90547	162.5	69.723	0.0	15.9994	22.39	19.01	11.8	0.0	17.36	13.0	11.0	29.0	0.0	0.02658	215.0	163.0	50.0	0.0	5.3	3.75	3.59	4.51	0.0	6.83	8	8	4	0	2	3	12	13	0	16	3.0	3.0	-2	1.112	0.76	1.26	1.4631578947368422	0.8825396825396826	0.6031746031746031	0.3520000000000001	0.830325388601233	40.775124999999996	12.66	9.239999999999998	5.4261624509558393e-05	23.849999999999998	221.88884210526317	222.3671674938644	223.96355818541718	-0.6443325795886622	1.1414609250398724
2.935	85.9609736131	(La0.75Gd0.25)GaO3	La	0.75	Gd	0.25	Ga	1.0	_	0.0	O	3.0	57	64	31	0	8	33.0	27.0	81.0	0.0	101.0	1.95	1.8	1.3	0.0	0.6	1.1	1.2	1.81	0.0	3.44	138.90547	157.25	69.723	0.0	15.9994	22.39	19.9	11.8	0.0	17.36	13.0	11.0	29.0	0.0	0.02658	215.0	158.0	50.0	0.0	5.3	3.75	3.64	4.51	0.0	6.83	8	8	4	0	2	3	10	13	0	16	3.0	3.0	-2	1.1485	0.76	1.26	1.5111842105263158	0.9115079365079366	0.6031746031746031	0.38850000000000007	0.8431023180632671	40.775124999999996	12.66	9.239999999999998	5.4261624509558393e-05	23.849999999999998	221.8773157894737	222.33191810753695	223.96355818541718	-0.6348464674875998	1.152987240829346
3.0589999999999997	89.23565059370002	(La0.5Gd0.5)GaO3	La	0.5	Gd	0.5	Ga	1.0	_	0.0	O	3.0	57	64	31	0	8	33.0	27.0	81.0	0.0	101.0	1.95	1.8	1.3	0.0	0.6	1.1	1.2	1.81	0.0	3.44	138.90547	157.25	69.723	0.0	15.9994	22.39	19.9	11.8	0.0	17.36	13.0	11.0	29.0	0.0	0.02658	215.0	158.0	50.0	0.0	5.3	3.75	3.64	4.51	0.0	6.83	8	8	4	0	2	3	10	13	0	16	3.0	3.0	-2	1.125	0.76	1.26	1.4802631578947367	0.8928571428571429	0.6031746031746031	0.365	0.8348760758068888	40.775124999999996	12.66	9.239999999999998	5.4261624509558393e-05	23.849999999999998	221.88473684210527	222.35461291791216	223.96355818541718	-0.640966511774942	1.145566188197767
3.228	26.8282538631	(La0.75Ho0.25)GaO3	La	0.75	Ho	0.25	Ga	1.0	_	0.0	O	3.0	57	67	31	0	8	33.0	23.0	81.0	0.0	101.0	1.95	1.75	1.3	0.0	0.6	1.1	1.23	1.81	0.0	3.44	138.90547	164.93032	69.723	0.0	15.9994	22.39	18.74	11.8	0.0	17.36	13.0	16.0	29.0	0.0	0.02658	215.0	156.0	50.0	0.0	5.3	3.75	3.58	4.51	0.0	6.83	8	8	4	0	2	3	13	13	0	16	3.0	3.0	-2	1.13925	0.76	1.26	1.499013157894737	0.9041666666666668	0.6031746031746031	0.3792500000000001	0.839864329090012	40.775124999999996	12.66	9.239999999999998	5.4261624509558393e-05	23.849999999999998	221.88023684210526	222.34085117119528	223.96355818541718	-0.6372608158048114	1.1500661881977672
3.327	33.56831065	(La0.5Ho0.5)GaO3	La	0.5	Ho	0.5	Ga	1.0	_	0.0	O	3.0	57	67	31	0	8	33.0	23.0	81.0	0.0	101.0	1.95	1.75	1.3	0.0	0.6	1.1	1.23	1.81	0.0	3.44	138.90547	164.93032	69.723	0.0	15.9994	22.39	18.74	11.8	0.0	17.36	13.0	16.0	29.0	0.0	0.02658	215.0	156.0	50.0	0.0	5.3	3.75	3.58	4.51	0.0	6.83	8	8	4	0	2	3	13	13	0	16	3.0	3.0	-2	1.1065	0.76	1.26	1.455921052631579	0.8781746031746032	0.6031746031746031	0.34650000000000003	0.8284000978603786	40.775124999999996	12.66	9.239999999999998	5.4261624509558393e-05	23.849999999999998	221.89057894736843	222.3724790452288	223.96355818541718	-0.6457524835089786	1.1397240829346091
3.266	12.632814946400002	(La0.75Nd0.25)GaO3	La	0.75	Nd	0.25	Ga	1.0	_	0.0	O	3.0	57	60	31	0	8	33.0	30.0	81.0	0.0	101.0	1.95	1.85	1.3	0.0	0.6	1.1	1.14	1.81	0.0	3.44	138.90547	144.242	69.723	0.0	15.9994	22.39	20.59	11.8	0.0	17.36	13.0	17.0	29.0	0.0	0.02658	215.0	208.0	50.0	0.0	5.3	3.75	3.66	4.51	0.0	6.83	8	8	4	0	2	3	6	13	0	16	3.0	3.0	-2	1.15975	0.76	1.26	1.5259868421052631	0.920436507936508	0.6031746031746031	0.39975000000000005	0.8470404127604694	40.775124999999996	12.66	9.239999999999998	5.4261624509558393e-05	23.849999999999998	221.87376315789473	222.3210535706552	223.96355818541718	-0.6319007017905842	1.1565398724082934
3.295	15.442906406199999	(La0.5Nd0.5)GaO3	La	0.5	Nd	0.5	Ga	1.0	_	0.0	O	3.0	57	60	31	0	8	33.0	30.0	81.0	0.0	101.0	1.95	1.85	1.3	0.0	0.6	1.1	1.14	1.81	0.0	3.44	138.90547	144.242	69.723	0.0	15.9994	22.39	20.59	11.8	0.0	17.36	13.0	17.0	29.0	0.0	0.02658	215.0	208.0	50.0	0.0	5.3	3.75	3.66	4.51	0.0	6.83	8	8	4	0	2	3	6	13	0	16	3.0	3.0	-2	1.1475	0.76	1.26	1.5098684210526314	0.9107142857142857	0.6031746031746031	0.38749999999999996	0.8427522652012934	40.775124999999996	12.66	9.239999999999998	5.4261624509558393e-05	23.849999999999998	221.87763157894736	222.33288384414865	223.96355818541718	-0.6351078147774681	1.1526714513556617
3.2539999999999996	17.3373103214	(La0.75Sm0.25)GaO3	La	0.75	Sm	0.25	Ga	1.0	_	0.0	O	3.0	57	62	31	0	8	33.0	28.0	81.0	0.0	101.0	1.95	1.85	1.3	0.0	0.6	1.1	1.17	1.81	0.0	3.44	138.90547	150.36	69.723	0.0	15.9994	22.39	19.98	11.8	0.0	17.36	13.0	13.0	29.0	0.0	0.02658	215.0	192.0	50.0	0.0	5.3	3.75	9.0	4.51	0.0	6.83	8	8	4	0	2	3	8	13	0	16	3.0	3.0	-2	1.1535	0.76	1.26	1.5177631578947368	0.9154761904761904	0.6031746031746031	0.39349999999999996	0.8448525823731348	40.775124999999996	12.66	9.239999999999998	5.4261624509558393e-05	23.849999999999998	221.87573684210525	222.3270894244784	223.96355818541718	-0.6335385090976928	1.1545661881977671
3.31	22.3715508958	(La0.5Sm0.5)GaO3	La	0.5	Sm	0.5	Ga	1.0	_	0.0	O	3.0	57	62	31	0	8	33.0	28.0	81.0	0.0	101.0	1.95	1.85	1.3	0.0	0.6	1.1	1.17	1.81	0.0	3.44	138.90547	150.36	69.723	0.0	15.9994	22.39	19.98	11.8	0.0	17.36	13.0	13.0	29.0	0.0	0.02658	215.0	192.0	50.0	0.0	5.3	3.75	9.0	4.51	0.0	6.83	8	8	4	0	2	3	8	13	0	16	3.0	3.0	-2	1.135	0.76	1.26	1.493421052631579	0.9007936507936508	0.6031746031746031	0.375	0.8383766044266243	40.775124999999996	12.66	9.239999999999998	5.4261624509558393e-05	23.849999999999998	221.8815789473684	222.34495555179504	223.96355818541718	-0.6383677658320397	1.1487240829346093
0.883	11.847970822999999	La(Ga0.875Co0.125)O3	La	1.0	_	0.0	Ga	0.875	Co	0.125	O	3.0	57	0	31	27	8	33.0	0.0	81.0	64.0	101.0	1.95	0.0	1.3	1.35	0.6	1.1	0.0	1.81	1.88	3.44	138.90547	0.0	69.723	58.933195	15.9994	22.39	0.0	11.8	6.67	17.36	13.0	0.0	29.0	100.0	0.02658	215.0	0.0	50.0	55.0	5.3	3.75	0.0	4.51	2.51	6.83	8	0	4	4	2	3	0	13	9	16	3.0	3.0	-2	1.172	0.7506250000000001	1.26	1.5613655287260613	0.9301587301587301	0.5957341269841271	0.42137499999999983	0.8552980748999357	40.775124999999996	12.66	9.239999999999998	0.002728385786237026	23.849999999999998	221.86000947127394	222.29393254617386	223.96355818541718	-0.6256905316367161	1.1702935590290917
