	A1	A1_frac	A2	A2_frac	B1	B1_frac	B2	B2_frac	CrystalClass	All_phases	Multiple_phases	How_many_phases	StructuredFormula
1677	Bi	0.95	Ho	0.05	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.95Ho0.05)(FeO3)
1678	Bi	0.9	Ho	0.1	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.9Ho0.1)(FeO3)
1679	Bi	1.0	_	0.0	Fe	0.9	Ti	0.1	trigonal	['trigonal']	0	1	Bi(Fe0.9Ti0.1)O3
1680	Bi	0.95	Ca	0.05	Fe	1.0	_	0.0	trigonal	['trigonal', 'orthorhombic']	1	2	(Bi0.95Ca0.05)(FeO3)
1681	Bi	0.95	Pr	0.05	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.95Pr0.05)(FeO3)
1684	Bi	0.99	Dy	0.01	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.99Dy0.01)(FeO3)
1686	Bi	0.9	Dy	0.1	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.9Dy0.1)(FeO3)
1687	Bi	0.9	Nd	0.1	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.9Nd0.1)(FeO3)
1688	Bi	0.875	Pr	0.125	Fe	1.0	_	0.0	trigonal	['trigonal', 'orthorhombic']	1	2	(Bi0.875Pr0.125)(FeO3)
1689	Bi	1.0	_	0.0	Fe	0.98	Co	0.02	trigonal	['trigonal']	0	1	Bi((Fe0.98Co0.02)O3)
1698	Bi	0.9	La	0.1	Fe	1.0	_	0.0	trigonal	['trigonal', 'orthorhombic']	1	2	(Bi0.9La0.1)(FeO3)
1699	Bi	0.825	Sm	0.175	Fe	1.0	_	0.0	trigonal	['trigonal', 'orthorhombic']	1	2	(Bi0.825Sm0.175)(FeO3)
1703	Bi	0.93	Y	0.07	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.93Y0.07)(FeO3)
1705	Bi	0.9	Ba	0.1	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.9Ba0.1)(FeO3)
1706	Bi	0.825	La	0.175	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.825La0.175)(FeO3)
1707	Pb	1.0	_	0.0	Zr	0.75	Ti	0.25	trigonal	['trigonal']	0	1	Pb(Zr0.75Ti0.25)O3
1709	Bi	0.95	Gd	0.05	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.95Gd0.05)FeO3
1711	Bi	0.983	Ca	0.017	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.983Ca0.017)FeO3
1712	Bi	0.9359999999999999	Ca	0.064	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.936Ca0.064)FeO3
1713	Bi	0.883	Ca	0.11699999999999999	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.883Ca0.117)FeO3
1714	Bi	0.8420000000000001	Ca	0.158	Fe	1.0	_	0.0	trigonal	['trigonal', 'cubic']	1	2	(Bi0.842Ca0.158)FeO3
1715	Bi	0.7929999999999999	Ca	0.207	Fe	1.0	_	0.0	trigonal	['trigonal', 'cubic']	1	2	(Bi0.793Ca0.207)FeO3
1718	Bi	0.89	Sm	0.11	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.89Sm0.11)FeO3
1720	Bi	0.87	Sm	0.13	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.87Sm0.13)FeO3
1724	Bi	0.8	Dy	0.2	Fe	1.0	_	0.0	trigonal	['trigonal', 'orthorhombic']	1	2	(Bi0.8Dy0.2)FeO3
1726	Bi	1.0	_	0.0	Fe	0.95	Ni	0.05	trigonal	['trigonal']	0	1	Bi(Fe0.95Ni0.05)O3
1727	Pb	1.0	_	0.0	Zr	0.35	Ti	0.65	trigonal	['trigonal', 'tetragonal']	1	2	Pb(Zr0.35Ti0.65)O3
1728	Bi	0.97	Ho	0.03	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.97Ho0.03)FeO3
1730	Bi	0.925	Ho	0.075	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.925Ho0.075)FeO3
1733	Bi	0.8	Nd	0.2	Fe	1.0	_	0.0	trigonal	['trigonal', 'orthorhombic', 'triclinic']	1	3	(Bi0.8Nd0.2)(FeO3)
1738	Bi	1.0	_	0.0	Fe	0.875	Mn	0.125	trigonal	['trigonal']	0	1	Bi(Fe0.875Mn0.125)O3
1741	Bi	0.95	Sm	0.05	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.95Sm0.05)FeO3
1742	Bi	0.9	Sm	0.1	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.9Sm0.1)FeO3
1743	Bi	0.875	Sm	0.125	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.875Sm0.125)FeO3
1752	K	0.05	Na	0.95	Nb	1.0	_	0.0	trigonal	['trigonal']	0	1	(K0.05Na0.95)(NbO3)
1763	Bi	0.85	Sr	0.15	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.85Sr0.15)FeO3
1764	Mg	0.5	Sn	0.5	B	1.0	_	0.0	trigonal	['trigonal']	0	1	(MgSn)B2O6
1765	Ba	1.0	_	0.0	Ru	0.9	Mn	0.1	hexagonal	['hexagonal']	0	1	Ba(Ru0.9Mn0.1)O3
1766	Ba	1.0	_	0.0	Ru	0.8	Mn	0.2	hexagonal	['hexagonal']	0	1	Ba(Ru0.8Mn0.2)O3
1767	Ba	1.0	_	0.0	Ru	0.7	Mn	0.3	hexagonal	['hexagonal']	0	1	Ba(Ru0.7Mn0.3)O3
1768	Ba	1.0	_	0.0	Ru	0.6	Mn	0.4	hexagonal	['hexagonal']	0	1	Ba(Ru0.6Mn0.4)O3
1770	Na	1.0	_	0.0	Se	0.5	Mo	0.5	cubic	['cubic']	0	1	Na2Se(MoO6)
1771	Mn	1.0	_	0.0	Fe	0.5	W	0.5	trigonal	['trigonal']	0	1	Mn2Fe(WO6)
1772	Ba	1.0	_	0.0	Nd	0.5	Mo	0.5	cubic	['cubic', 'triclinic']	1	2	Ba2(NdMo)O6
1773	Sr	1.0	_	0.0	Cr	0.6	Mo	0.4	cubic	['cubic']	0	1	Sr2(Cr1.2Mo0.8)O6
1774	Ba	1.0	_	0.0	Mn	0.5	W	0.5	cubic	['cubic']	0	1	Ba2(MnW)O6
1775	Ba	1.0	_	0.0	Tm	0.5	Ru	0.5	cubic	['cubic']	0	1	Ba2Tm(RuO6)
1776	Ba	1.0	_	0.0	Yb	0.5	Ru	0.5	cubic	['cubic']	0	1	Ba2(YbRuO6)
1777	Ba	1.0	_	0.0	Er	0.5	Ru	0.5	cubic	['cubic']	0	1	Ba2(ErRu)O6
1778	Ba	1.0	_	0.0	Bi	0.5	Y	0.5	cubic	['cubic']	0	1	Ba2(BiY)O6
1779	Ba	1.0	_	0.0	Ce	0.5	Pt	0.5	cubic	['cubic']	0	1	Ba2(CePt)O6
1780	Pb	1.0	_	0.0	Mg	0.5	W	0.5	cubic	['cubic', 'orthorhombic']	1	2	Pb2Mg(WO6)
1782	Ba	1.0	_	0.0	Bi	0.5	Dy	0.5	cubic	['cubic']	0	1	Ba2Bi(DyO6)
1783	Sr	1.0	_	0.0	Cr	0.5	Ta	0.5	cubic	['cubic']	0	1	Sr2(CrTa)O6
1785	Ca	1.0	_	0.0	Ti	0.5	Si	0.5	cubic	['cubic']	0	1	Ca2Ti(SiO6)
1788	Ba	1.0	_	0.0	Ho	0.5	Sb	0.5	cubic	['cubic']	0	1	Ba2Ho(SbO6)
1789	Ba	1.0	_	0.0	Tl	0.5	Sb	0.5	cubic	['cubic', 'orthorhombic']	1	2	Ba(Tl0.5Sb0.5)O3
1790	Ba	1.0	_	0.0	Fe	0.5	Nb	0.5	cubic	['cubic']	0	1	Ba2Fe(NbO6)
1791	Pb	1.0	_	0.0	Sc	0.5	Ta	0.5	cubic	['cubic']	0	1	Pb2Sc(TaO6)
1792	Ba	1.0	_	0.0	Co	0.5	Mo	0.5	cubic	['cubic']	0	1	Ba2Co(MoO6)
1793	Ba	1.0	_	0.0	Co	0.5	W	0.5	cubic	['cubic']	0	1	Ba2(CoWO6)
1794	Sr	1.0	_	0.0	Ga	0.5	Ta	0.5	cubic	['cubic']	0	1	Sr2Ga(TaO6)
1797	Ba	1.0	_	0.0	Ni	0.5	Mo	0.5	cubic	['cubic']	0	1	Ba2Ni(MoO6)
1798	Ba	1.0	_	0.0	Mg	0.5	Re	0.5	cubic	['cubic']	0	1	Ba2Mg(ReO6)
1799	Ba	1.0	_	0.0	Mn	0.5	Mo	0.5	cubic	['cubic']	0	1	Ba2(MnMoO6)
1801	Ba	1.0	_	0.0	Fe	0.6	W	0.4	cubic	['cubic']	0	1	Ba2(Fe(Fe0.2W0.8)O6)
1803	Ba	1.0	_	0.0	Dy	0.5	Sb	0.5	cubic	['cubic', 'trigonal']	1	2	Ba2Dy(SbO6)
1804	Ba	1.0	_	0.0	Y	0.5	Ir	0.5	cubic	['cubic']	0	1	Ba2Y(IrO6)
1812	Sr	1.0	_	0.0	Ga	0.5	Sb	0.5	cubic	['cubic']	0	1	Sr2Ga(SbO6)
1818	Ba	1.0	_	0.0	Y	0.5	Ta	0.5	cubic	['cubic']	0	1	Ba2Y(TaO6)
1821	Ba	1.0	_	0.0	Zn	0.5	U	0.5	cubic	['cubic']	0	1	Ba2Zn(UO6)
1822	Ba	1.0	_	0.0	Cd	0.5	U	0.5	cubic	['cubic']	0	1	Ba2Cd(UO6)
1823	Ba	1.0	_	0.0	Pb	0.5	U	0.5	cubic	['cubic']	0	1	Ba2Pb(UO6)
1826	Sr	1.0	_	0.0	Fe	0.6	Mo	0.4	cubic	['cubic', 'tetragonal']	1	2	Sr2(Fe1.20Mo0.80)O6
1827	Sr	1.0	_	0.0	Fe	0.585	Mo	0.415	cubic	['cubic']	0	1	Sr2(Fe1.17Mo0.83)O6
1829	Ba	1.0	_	0.0	Ni	0.5	U	0.5	cubic	['cubic']	0	1	Ba2Ni(UO6)
1833	Ba	1.0	_	0.0	Y	0.5	Nb	0.5	cubic	['cubic']	0	1	Ba2Y(NbO6)
1837	Sr	1.0	_	0.0	Cr	0.5	Mo	0.5	cubic	['cubic']	0	1	Sr2Cr(MoO6)
1843	Ba	1.0	_	0.0	Mg	0.5	Te	0.5	cubic	['cubic']	0	1	Ba2Mg(TeO6)
1845	Sr	1.0	_	0.0	Y	0.5	Ir	0.5	cubic	['cubic']	0	1	Sr2Y(IrO6)
1846	Ba	1.0	_	0.0	Lu	0.5	Re	0.5	cubic	['cubic']	0	1	Ba2Lu(ReO6)
1852	Ba	1.0	_	0.0	Y	0.5	Ru	0.5	cubic	['cubic']	0	1	Ba2Y(RuO6)
1854	Pb	1.0	_	0.0	Mn	0.5	W	0.5	cubic	['cubic']	0	1	Pb2Mn(WO6)
1855	Sr	1.0	_	0.0	Co	0.5	Ta	0.5	cubic	['cubic']	0	1	Sr2(CoTa)O6
1857	Sr	1.0	_	0.0	Al	0.5	Sb	0.5	cubic	['cubic']	0	1	Sr2(AlSb)O6
1859	Sr	1.0	_	0.0	Mn	0.5	Ta	0.5	cubic	['cubic']	0	1	Sr2(MnTaO6)
1860	Ba	1.0	_	0.0	Tb	0.5	Sb	0.5	cubic	['cubic']	0	1	Ba2(TbSb)O6
1865	Ba	1.0	_	0.0	Nd	0.5	Ir	0.5	cubic	['cubic']	0	1	Ba2Nd(IrO6)
1866	Ba	1.0	_	0.0	In	0.5	Sb	0.5	cubic	['cubic']	0	1	Ba2(InSbO6)
1871	Ba	1.0	_	0.0	Sc	0.5	Ir	0.5	cubic	['cubic']	0	1	Ba2Sc(IrO6)
1873	Ba	1.0	_	0.0	Sc	0.5	Os	0.5	cubic	['cubic']	0	1	Ba2Sc(OsO6)
1874	Ba	1.0	_	0.0	In	0.5	Os	0.5	cubic	['cubic']	0	1	Ba2In(OsO6)
1875	Ba	1.0	_	0.0	Mg	0.5	Os	0.5	cubic	['cubic']	0	1	Ba2Mg(OsO6)
1876	Ba	1.0	_	0.0	Zn	0.5	Os	0.5	cubic	['cubic']	0	1	Ba2Zn(OsO6)
1877	Ba	1.0	_	0.0	Cd	0.5	Os	0.5	cubic	['cubic']	0	1	Ba2Cd(OsO6)
1881	Ba	1.0	_	0.0	Ca	0.5	Mo	0.5	cubic	['cubic']	0	1	Ba2Ca(MoO6)
1882	Ba	1.0	_	0.0	Ca	0.5	Te	0.5	cubic	['cubic']	0	1	Ba2Ca(TeO6)
1885	Ba	1.0	_	0.0	Lu	0.5	Ta	0.5	cubic	['cubic']	0	1	Ba2Lu(TaO6)
1889	Ba	1.0	_	0.0	Fe	0.67	U	0.33	cubic	['cubic']	0	1	Ba(Fe0.67U0.33O3)
1890	Ba	1.0	_	0.0	Mn	0.5	Re	0.5	cubic	['cubic']	0	1	Ba2Mn(ReO6)
1891	Sr	1.0	_	0.0	Co	0.67	Te	0.33	cubic	['cubic']	0	1	Sr(Co0.67Te0.33O3)
1892	Ba	1.0	_	0.0	Fe	0.5	U	0.5	cubic	['cubic']	0	1	Ba2Fe(UO6)
1893	Ba	1.0	_	0.0	Mn	0.5	U	0.5	cubic	['cubic']	0	1	Ba2Mn(UO6)
1894	Ba	1.0	_	0.0	Mg	0.5	U	0.5	cubic	['cubic']	0	1	Ba2Mg(UO6)
1895	Ba	1.0	_	0.0	La	0.5	Re	0.5	cubic	['cubic']	0	1	Ba2La(ReO6)
1896	Ba	1.0	_	0.0	Sm	0.5	Re	0.5	cubic	['cubic']	0	1	Ba2Sm(ReO6)
1897	Ba	1.0	_	0.0	Eu	0.5	Re	0.5	cubic	['cubic']	0	1	Ba2Eu(ReO6)
1898	Ba	1.0	_	0.0	Tb	0.5	Re	0.5	cubic	['cubic']	0	1	Ba2Tb(ReO6)
1899	Ba	1.0	_	0.0	Dy	0.5	Re	0.5	cubic	['cubic']	0	1	Ba2Dy(ReO6)
1900	Ba	1.0	_	0.0	Ho	0.5	Re	0.5	cubic	['cubic']	0	1	Ba2Ho(ReO6)
1901	Ba	1.0	_	0.0	Tm	0.5	Re	0.5	cubic	['cubic']	0	1	Ba2Tm(ReO6)
1902	Ba	1.0	_	0.0	Yb	0.5	Re	0.5	cubic	['cubic']	0	1	Ba2Yb(ReO6)
1903	Sr	1.0	_	0.0	Gd	0.5	Re	0.5	cubic	['cubic']	0	1	Sr2Gd(ReO6)
1904	Sr	1.0	_	0.0	Tb	0.5	Re	0.5	cubic	['cubic']	0	1	Sr2Tb(ReO6)
1905	Sr	1.0	_	0.0	Dy	0.5	Re	0.5	cubic	['cubic']	0	1	Sr2Dy(ReO6)
1906	Sr	1.0	_	0.0	Ho	0.5	Re	0.5	cubic	['cubic']	0	1	Sr2Ho(ReO6)
1907	Sr	1.0	_	0.0	Y	0.5	Re	0.5	cubic	['cubic']	0	1	Sr2Y(ReO6)
1908	Sr	1.0	_	0.0	Er	0.5	Re	0.5	cubic	['cubic']	0	1	Sr2Er(ReO6)
1909	Sr	1.0	_	0.0	Tm	0.5	Re	0.5	cubic	['cubic']	0	1	Sr2Tm(ReO6)
1910	Sr	1.0	_	0.0	Yb	0.5	Re	0.5	cubic	['cubic']	0	1	Sr2Yb(ReO6)
1911	Ba	1.0	_	0.0	U	0.5	Fe	0.5	cubic	['cubic']	0	1	Ba2(UFe)O6
1913	Ba	1.0	_	0.0	Ni	0.5	W	0.5	cubic	['cubic']	0	1	Ba2Ni(WO6)
1914	Ba	1.0	_	0.0	Fe	0.667	U	0.33299999999999996	cubic	['cubic']	0	1	Ba(Fe0.6667U0.3333O3)
1915	Sr	1.0	_	0.0	Fe	0.6659999999999999	U	0.33399999999999996	cubic	['cubic']	0	1	Sr2(Fe1.333U0.667O6)
1916	Sr	1.0	_	0.0	Ni	0.5	W	0.5	cubic	['cubic', 'tetragonal']	1	2	Sr2Ni(WO6)
1918	Sr	1.0	_	0.0	Zn	0.5	W	0.5	cubic	['cubic', 'tetragonal']	1	2	Sr2Zn(WO6)
1921	Sr	1.0	_	0.0	Zn	0.5	Mo	0.5	cubic	['cubic', 'tetragonal']	1	2	Sr2Zn(MoO6)
1922	Sr	1.0	_	0.0	Co	0.67	W	0.33	cubic	['cubic']	0	1	Sr(Co0.67W0.33O3)
1926	Ba	1.0	_	0.0	Eu	0.5	Sb	0.5	cubic	['cubic']	0	1	Ba2Eu(SbO6)
1929	Ba	1.0	_	0.0	Er	0.5	Sb	0.5	cubic	['cubic']	0	1	Ba2Er(SbO6)
1930	Ba	1.0	_	0.0	Yb	0.5	Sb	0.5	cubic	['cubic']	0	1	Ba2Yb(SbO6)
1933	Ba	1.0	_	0.0	Sr	0.5	Np	0.5	cubic	['cubic']	0	1	Ba2Sr(NpO6)
1934	Ba	1.0	_	0.0	Co	0.5	U	0.5	cubic	['cubic']	0	1	Ba2Co(UO6)
1936	Sr	1.0	_	0.0	Mn	0.5	U	0.5	cubic	['cubic']	0	1	Sr2Mn(UO6)
1937	Sr	1.0	_	0.0	Fe	0.5	U	0.5	cubic	['cubic']	0	1	Sr2Fe(UO6)
1939	Sr	1.0	_	0.0	Ni	0.5	U	0.5	cubic	['cubic']	0	1	Sr2Ni(UO6)
1940	Sr	1.0	_	0.0	Cd	0.5	W	0.5	cubic	['cubic', 'monoclinic']	1	2	Sr2Cd(WO6)
1942	Sr	1.0	_	0.0	Ca	0.5	Mo	0.5	cubic	['cubic']	0	1	Sr2Ca(MoO6)
1946	Ba	1.0	_	0.0	Pr	0.5	Pt	0.5	cubic	['cubic']	0	1	Ba2Pr(PtO6)
1947	Ca	1.0	_	0.0	Fe	0.5	W	0.5	cubic	['cubic']	0	1	Ca2Fe(WO6)
1948	Ca	1.0	_	0.0	Pd	0.5	W	0.5	cubic	['cubic']	0	1	Ca2Pd(WO6)
1952	Sr	1.0	_	0.0	Fe	0.65	Mo	0.35	cubic	['cubic']	0	1	Sr2(Fe1.3Mo0.7)O6
1957	Ba	1.0	_	0.0	Ni	0.5	Re	0.5	cubic	['cubic']	0	1	Ba2Ni(ReO6)
1960	Ba	1.0	_	0.0	Co	0.5	Re	0.5	cubic	['cubic']	0	1	Ba2Co(ReO6)
1961	Ba	1.0	_	0.0	Zn	0.5	Re	0.5	cubic	['cubic']	0	1	Ba2Zn(ReO6)
1963	Ba	1.0	_	0.0	Cd	0.5	Re	0.5	cubic	['cubic']	0	1	Ba2Cd(ReO6)
1971	Sr	1.0	_	0.0	Zr	0.5	Mn	0.5	cubic	['cubic']	0	1	Sr2Zr(MnO6)
1972	La	1.0	_	0.0	Ni	0.75	Mo	0.25	cubic	['cubic', 'monoclinic']	1	2	La(Ni0.75Mo0.25)O3
1973	La	1.0	_	0.0	Ni	0.75	W	0.25	cubic	['cubic']	0	1	La(Ni0.75W0.25)O3
1974	La	1.0	_	0.0	Co	0.75	Re	0.25	cubic	['cubic']	0	1	La(Co0.75Re0.25)O3
1975	La	1.0	_	0.0	Ni	0.75	Re	0.25	cubic	['cubic']	0	1	La(Ni0.75Re0.25)O3
1982	Ba	1.0	_	0.0	Yb	0.5	Nb	0.5	cubic	['cubic']	0	1	Ba2Yb(NbO6)
1983	Ba	1.0	_	0.0	Er	0.5	Nb	0.5	cubic	['cubic']	0	1	Ba2Er(NbO6)
1986	Ba	1.0	_	0.0	Lu	0.5	Ru	0.5	cubic	['cubic']	0	1	Ba2Lu(RuO6)
1996	Ba	1.0	_	0.0	Sr	0.5	U	0.5	cubic	['cubic', 'monoclinic']	1	2	Ba2Sr(UO6)
1997	Sr	1.0	_	0.0	Fe	0.5	Os	0.5	cubic	['cubic']	0	1	Sr2Fe(OsO6)
1999	Ba	1.0	_	0.0	Sc	0.5	Ru	0.5	cubic	['cubic']	0	1	Ba2Sc(RuO6)
2003	Ba	1.0	_	0.0	Te	0.6	Li	0.4	cubic	['cubic']	0	1	Ba4(Te2.4Li1.6)O12
2010	Sr	1.0	_	0.0	Fe	0.5	Ta	0.5	tetragonal	['tetragonal', 'cubic', 'orthorhombic']	1	3	Sr((Fe0.5Ta0.5)O3)
2012	Ba	0.8	Pb	0.2	Ti	1.0	_	0.0	tetragonal	['tetragonal']	0	1	(Ba0.8Pb0.2)(TiO3)
2016	Sr	1.0	_	0.0	Ta	0.5	V	0.5	cubic	['cubic']	0	1	Sr(Ta.5V.5)O3
2022	Ba	1.0	_	0.0	La	0.5	Ru	0.5	triclinic	['triclinic', 'monoclinic']	1	2	Ba2La(RuO6)
2024	Na	0.9	K	0.1	Nb	1.0	_	0.0	tetragonal	['tetragonal']	0	1	(Na0.9K0.1)NbO3
2025	La	0.8	Y	0.2	Ti	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(La0.8Y0.2)TiO3
2026	La	0.7	Y	0.3	Ti	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(La0.7Y0.3)TiO3
2027	La	0.6	Y	0.4	Ti	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(La0.6Y0.4)TiO3
2028	La	0.4	Y	0.6	Ti	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(La0.4Y0.6)TiO3
2029	La	0.3	Y	0.7	Ti	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(La0.3Y0.7)TiO3
2030	La	0.2	Y	0.8	Ti	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(La0.2Y0.8)TiO3
2031	Mg	0.9	Fe	0.1	Si	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Mg.9Fe.1)(SiO3)
2032	La	0.9	Sr	0.1	Cr	1.0	_	0.0	cubic	['cubic', 'orthorhombic']	1	2	(La0.9Sr0.1)CrO3
2033	La	0.8	Sr	0.2	Cr	1.0	_	0.0	cubic	['cubic', 'orthorhombic']	1	2	La0.8Sr0.2(CrO3)
2034	La	0.6	Sr	0.4	Cr	1.0	_	0.0	trigonal	['trigonal']	0	1	(La0.6Sr0.4)CrO3
2035	Ba	1.0	_	0.0	Ce	0.7	Zr	0.3	cubic	['cubic']	0	1	Ba(Ce0.7Zr0.3)O3
2036	Ba	1.0	_	0.0	Zr	0.5	Sn	0.5	cubic	['cubic']	0	1	Ba(Zr0.5Sn0.5O3)
2037	La	0.7	Sr	0.3	Co	1.0	_	0.0	trigonal	['trigonal', 'monoclinic']	1	2	(La0.7Sr0.3)CoO3
2038	La	0.45	Sr	0.55	Co	1.0	_	0.0	cubic	['cubic']	0	1	(La0.45Sr0.55)CoO3
2039	Ba	1.0	_	0.0	Fe	0.5	Ta	0.5	cubic	['cubic', 'trigonal']	1	2	Ba(FeTaO6)0.5
2041	Ba	1.0	_	0.0	Mn	0.5	Ta	0.5	cubic	['cubic']	0	1	Ba(MnTaO6)0.5
2042	Ba	1.0	_	0.0	Mn	0.5	Nb	0.5	cubic	['cubic']	0	1	Ba(MnNbO6)0.5
2050	Sr	1.0	_	0.0	Ga	0.5	Nb	0.5	cubic	['cubic']	0	1	Sr(GaNbO6).5
2052	Sr	1.0	_	0.0	In	0.5	Nb	0.5	cubic	['cubic']	0	1	Sr(InNbO6).5
2053	Ba	1.0	_	0.0	Sc	0.5	Nb	0.5	cubic	['cubic']	0	1	Ba(ScNbO6)0.5
2057	Ba	1.0	_	0.0	Sm	0.5	Nb	0.5	cubic	['cubic']	0	1	Ba(SmNbO6)0.5
2058	Ba	1.0	_	0.0	Eu	0.5	Nb	0.5	cubic	['cubic', 'tetragonal']	1	2	Ba(EuNbO6)0.5
2059	Ba	1.0	_	0.0	Gd	0.5	Nb	0.5	cubic	['cubic']	0	1	Ba(GdNbO6)0.5
2061	Ba	1.0	_	0.0	Dy	0.5	Nb	0.5	cubic	['cubic']	0	1	Ba(DyNbO6)0.5
2062	Ba	1.0	_	0.0	Ho	0.5	Nb	0.5	cubic	['cubic']	0	1	Ba(HoNbO6)0.5
2064	Ba	1.0	_	0.0	Tm	0.5	Nb	0.5	cubic	['cubic']	0	1	Ba(TmNbO6)0.5
2066	Ba	1.0	_	0.0	Lu	0.5	Nb	0.5	cubic	['cubic']	0	1	Ba(LuNbO6)0.5
2070	Pb	1.0	_	0.0	Mg	0.33299999999999996	Nb	0.667	cubic	['cubic']	0	1	Pb(Mg0.333Nb0.667)O3
2072	Ba	1.0	_	0.0	Sc	0.5	Ta	0.5	cubic	['cubic']	0	1	Ba(ScTaO6)0.5
2078	Pb	1.0	_	0.0	Yb	0.5	Nb	0.5	cubic	['cubic']	0	1	Pb(YbNbO6)0.5
2079	Pb	1.0	_	0.0	Yb	0.5	Ta	0.5	cubic	['cubic']	0	1	Pb(YbTaO6)0.5
2083	Pb	1.0	_	0.0	Fe	0.667	W	0.33299999999999996	cubic	['cubic']	0	1	Pb(Fe0.667W0.333)O3
2085	Sr	1.0	_	0.0	Ti	0.5	Mo	0.5	cubic	['cubic', 'triclinic']	1	2	Sr(TiMoO6)0.5
2088	La	1.0	_	0.0	Ni	0.95	Zn	0.05	trigonal	['trigonal']	0	1	La(Ni0.95Zn0.05)O3
2092	La	0.4	Ca	0.6	Mn	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(La0.4Ca0.6)(MnO3)
2096	Pr	0.44	Sr	0.56	Mn	1.0	_	0.0	tetragonal	['tetragonal']	0	1	(Pr0.44Sr0.56)(MnO3)
2101	Pr	0.5	Sr	0.5	Mn	1.0	_	0.0	tetragonal	['tetragonal', 'orthorhombic']	1	2	(Pr0.5Sr0.5)(MnO3)
2106	La	0.05	Ca	0.95	Ti	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(La0.05Ca0.95)(TiO3)
2107	Pr	0.55	Sr	0.45	Mn	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Pr0.55Sr0.45)(MnO3)
2108	Pr	0.52	Sr	0.48	Mn	1.0	_	0.0	tetragonal	['tetragonal']	0	1	(Pr0.52Sr0.48)(MnO3)
2110	Pr	0.46	Sr	0.54	Mn	1.0	_	0.0	tetragonal	['tetragonal', 'orthorhombic']	1	2	(Pr0.46Sr0.54)(MnO3)
2111	Pr	0.4	Sr	0.6	Mn	1.0	_	0.0	tetragonal	['tetragonal', 'orthorhombic']	1	2	(Pr0.4Sr0.6)(MnO3)
2112	Pr	0.35	Sr	0.65	Mn	1.0	_	0.0	tetragonal	['tetragonal']	0	1	(Pr0.35Sr0.65)(MnO3)
2113	Pr	0.3	Sr	0.7	Mn	1.0	_	0.0	tetragonal	['tetragonal']	0	1	(Pr0.3Sr0.7)(MnO3)
2114	Pr	0.25	Sr	0.75	Mn	1.0	_	0.0	tetragonal	['tetragonal']	0	1	(Pr0.25Sr0.75)(MnO3)
2115	Pr	0.15	Sr	0.85	Mn	1.0	_	0.0	cubic	['cubic', 'tetragonal']	1	2	(Pr0.15Sr0.85)(MnO3)
2123	La	0.67	Ca	0.33	Mn	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(La0.67Ca0.33)(MnO3)
2134	La	0.33	Ca	0.67	Mn	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(La0.33Ca0.67)MnO3
2141	Nd	0.67	Ca	0.33	Mn	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Nd0.67Ca0.33)(MnO3)
2142	Nd	1.0	_	0.0	Mg	0.5	Ti	0.5	monoclinic	['monoclinic']	0	1	Nd2Mg(TiO6)
2143	Sr	1.0	_	0.0	Sm	0.5	Nb	0.5	monoclinic	['monoclinic']	0	1	Sr2(SmNb)O6
2144	Gd	0.95	Er	0.05	Sc	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Gd.95Er.05)ScO3
