	A1	A1_frac	A2	A2_frac	B1	B1_frac	B2	B2_frac	CrystalClass	All_phases	Multiple_phases	How_many_phases	StructuredFormula
1402	Sr	1.0	_	0.0	Cd	0.5	U	0.5	monoclinic	['monoclinic']	0	1	Sr2Cd(UO6)
1403	La	1.0	_	0.0	Li	0.5	Re	0.5	monoclinic	['monoclinic']	0	1	La2Li(ReO6)
1404	Pr	0.5	Ca	0.5	Co	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Pr0.5Ca0.5)(CoO3)
1418	Ag	1.0	_	0.0	Nb	0.5	Ta	0.5	orthorhombic	['orthorhombic']	0	1	Ag((Nb0.5Ta0.5)O3)
1419	Pb	1.0	_	0.0	Co	0.5	Te	0.5	trigonal	['trigonal', 'monoclinic', 'cubic']	1	3	Pb2Co(TeO6)
1422	Ca	1.0	_	0.0	Sm	0.5	Sb	0.5	monoclinic	['monoclinic']	0	1	Ca2Sm(SbO6)
1423	Ca	1.0	_	0.0	Mn	0.5	Re	0.5	monoclinic	['monoclinic']	0	1	Ca2Mn(ReO6)
1424	La	1.0	_	0.0	Na	0.5	Os	0.5	monoclinic	['monoclinic']	0	1	La2Na(OsO6)
1425	Pr	1.0	_	0.0	Na	0.5	Os	0.5	monoclinic	['monoclinic']	0	1	Pr2Na(OsO6)
1426	Nd	1.0	_	0.0	Na	0.5	Os	0.5	monoclinic	['monoclinic']	0	1	Nd2Na(OsO6)
1427	Sr	1.0	_	0.0	Y	0.5	Ta	0.5	monoclinic	['monoclinic', 'cubic']	1	2	Sr2Y(TaO6)
1428	Ca	1.0	_	0.0	Fe	0.667	W	0.33299999999999996	monoclinic	['monoclinic']	0	1	Ca(Fe0.667W0.333)O3
1430	Ba	1.0	_	0.0	Ca	0.5	Re	0.5	cubic	['cubic']	0	1	Ba2(CaRe)O6
1431	Ba	1.0	_	0.0	Ca	0.5	Os	0.5	cubic	['cubic']	0	1	Ba2(CaOs)O6
1432	Nd	0.7	Pb	0.3	Mn	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Nd0.7Pb0.3)MnO3
1434	Ba	1.0	_	0.0	In	0.5	Nb	0.5	cubic	['cubic']	0	1	Ba2In(NbO6)
1436	Ca	1.0	_	0.0	Al	0.5	Nb	0.5	monoclinic	['monoclinic']	0	1	Ca2Al(NbO6)
1437	Ca	1.0	_	0.0	Cr	0.5	Ta	0.5	monoclinic	['monoclinic']	0	1	Ca2Cr(TaO6)
1438	Sr	1.0	_	0.0	Sc	0.5	Nb	0.5	monoclinic	['monoclinic']	0	1	Sr2Sc(NbO6)
1440	Ba	1.0	_	0.0	La	0.5	Nb	0.5	monoclinic	['monoclinic']	0	1	Ba2La(NbO6)
1442	Ba	1.0	_	0.0	Tb	0.5	Nb	0.5	tetragonal	['tetragonal', 'cubic']	1	2	Ba2Tb(NbO6)
1443	Ba	1.0	_	0.0	Bi	0.5	Sb	0.5	monoclinic	['monoclinic', 'cubic', 'trigonal']	1	3	Ba2Bi(SbO6)
1444	Cd	0.8	Na	0.2	V	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Cd0.8Na0.2)VO3
1445	La	1.0	_	0.0	Ni	0.53	V	0.47	orthorhombic	['orthorhombic']	0	1	La(Ni0.53V0.47)O3
1446	La	1.0	_	0.0	Co	0.55	V	0.45	orthorhombic	['orthorhombic']	0	1	La(Co0.55V0.45)O3
1448	Bi	0.58	Ca	0.42	Mn	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Bi0.58Ca0.42)MnO3
1449	Ba	1.0	_	0.0	Fe	0.6629999999999999	Te	0.337	hexagonal	['hexagonal']	0	1	Ba3(Fe1.99Te1.01)O9
1451	Ba	1.0	_	0.0	Fe	0.46	Os	0.54	hexagonal	['hexagonal']	0	1	Ba2(Fe0.92Os1.08)O6
1452	Ba	1.0	_	0.0	Co	0.385	Os	0.615	hexagonal	['hexagonal']	0	1	Ba2(Co0.77Os1.23)O6
1453	La	1.0	_	0.0	Cr	0.7	Ni	0.3	orthorhombic	['orthorhombic']	0	1	La(Cr0.7Ni0.3)O3
1454	La	1.0	_	0.0	Cr	0.4	Ni	0.6	orthorhombic	['orthorhombic']	0	1	La(Cr0.4Ni0.6)O3
1455	La	1.0	_	0.0	Cr	0.3	Ni	0.7	orthorhombic	['orthorhombic', 'trigonal']	1	2	La(Cr0.3Ni0.7)O3
1457	La	1.0	_	0.0	Cr	0.2	Ni	0.8	trigonal	['trigonal']	0	1	La(Cr0.2Ni0.8)O3
1458	La	1.0	_	0.0	Cr	0.1	Ni	0.9	trigonal	['trigonal']	0	1	La(Cr0.1Ni0.9)O3
1459	Sr	1.0	_	0.0	Zn	0.5	Re	0.5	tetragonal	['tetragonal', 'monoclinic']	1	2	Sr2Zn(ReO6)
1462	Pr	0.79	Na	0.21	Mn	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Pr0.79Na0.21)MnO3
1463	Ba	1.0	_	0.0	In	0.667	U	0.33299999999999996	cubic	['cubic']	0	1	Ba(In0.667U0.333)O3
1465	Sr	1.0	_	0.0	In	0.6659999999999999	U	0.33399999999999996	monoclinic	['monoclinic']	0	1	Sr2In(In0.333U0.667)O6
1466	K	0.3	Na	0.7	Nb	1.0	_	0.0	monoclinic	['monoclinic', 'tetragonal', 'trigonal']	1	3	(K0.30Na0.70)(NbO3)
1468	Nd	1.0	_	0.0	Ti	0.5	Cu	0.5	orthorhombic	['orthorhombic']	0	1	Nd2(TiCu)O6
1469	Sm	1.0	_	0.0	Ti	0.5	Cu	0.5	orthorhombic	['orthorhombic']	0	1	Sm2(TiCu)O6
1470	Eu	1.0	_	0.0	Ti	0.5	Cu	0.5	orthorhombic	['orthorhombic']	0	1	Eu2(TiCu)O6
1471	Gd	1.0	_	0.0	Ti	0.5	Cu	0.5	orthorhombic	['orthorhombic']	0	1	Gd2(TiCu)O6
1472	Ba	1.0	_	0.0	Ho	0.667	Mo	0.33299999999999996	tetragonal	['tetragonal', 'monoclinic']	1	2	Ba(Ho0.667Mo0.333)O3
1473	Ba	1.0	_	0.0	Er	0.667	Mo	0.33299999999999996	tetragonal	['tetragonal']	0	1	Ba(Er0.667Mo0.333)O3
1474	Ca	1.0	_	0.0	Fe	0.6	W	0.4	monoclinic	['monoclinic']	0	1	Ca2Fe(Fe0.2W0.8)O6
1475	Ca	1.0	_	0.0	Fe	0.615	W	0.385	monoclinic	['monoclinic']	0	1	Ca2Fe(Fe0.23W0.77)O6
1476	Ca	1.0	_	0.0	Fe	0.65	W	0.35	monoclinic	['monoclinic']	0	1	Ca2(Fe1.3W0.7)O6
1477	Ca	1.0	_	0.0	Fe	0.665	W	0.335	monoclinic	['monoclinic']	0	1	Ca2(Fe1.33W0.67)O6
1478	Nd	0.35	Sr	0.65	Mn	1.0	_	0.0	tetragonal	['tetragonal']	0	1	(Nd0.35Sr0.65)(MnO3)
1480	Ba	1.0	_	0.0	La	0.5	Ir	0.5	triclinic	['triclinic', 'cubic']	1	2	Ba2La(IrO6)
1481	Ba	1.0	_	0.0	Eu	0.25	Ru	0.75	monoclinic	['monoclinic']	0	1	Ba4Eu(Ru3O12)
1482	Ba	1.0	_	0.0	Bi	0.5	Ir	0.5	cubic	['cubic']	0	1	Ba2(BiIr)O6
1483	Ba	1.0	_	0.0	Bi	0.33299999999999996	Ir	0.667	monoclinic	['monoclinic']	0	1	Ba3(BiIr2O9)
1484	Ba	1.0	_	0.0	La	0.33299999999999996	Ir	0.667	hexagonal	['hexagonal']	0	1	Ba3(LaIr2)O9
1485	Ca	0.956	Nd	0.044000000000000004	Ti	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Ca0.956Nd0.044)TiO3
1486	Pr	0.67	Ba	0.33	Mn	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Pr0.67Ba0.33)MnO3
1487	Pr	0.67	Sr	0.33	Mn	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Pr0.67Sr0.33)MnO3
1488	Bi	0.75	La	0.25	Fe	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Bi0.75La0.25)(FeO3)
1490	Sr	1.0	_	0.0	V	0.5	Mo	0.5	cubic	['cubic']	0	1	Sr(V0.5Mo0.5)O3
1494	Pb	0.5	La	0.5	Fe	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Pb0.5La0.5)(FeO3)
1495	Sr	0.9	Ce	0.1	Mn	1.0	_	0.0	tetragonal	['tetragonal']	0	1	(Sr0.9Ce0.1)(MnO3)
1496	Sr	0.85	Ce	0.15	Mn	1.0	_	0.0	tetragonal	['tetragonal']	0	1	(Sr0.85Ce0.15)(MnO3)
1497	Sr	0.8	Ce	0.2	Mn	1.0	_	0.0	tetragonal	['tetragonal']	0	1	(Sr0.8Ce0.2)(MnO3)
1498	Sr	0.75	Ce	0.25	Mn	1.0	_	0.0	tetragonal	['tetragonal']	0	1	(Sr0.75Ce0.25)(MnO3)
1501	La	1.0	_	0.0	Ni	0.6	Fe	0.4	trigonal	['trigonal']	0	1	La(Ni0.6Fe0.4)O3
1503	Ho	1.0	_	0.0	Mn	0.5	Ni	0.5	monoclinic	['monoclinic']	0	1	Ho2Mn(NiO6)
1505	Sr	0.9	Ce	0.1	Ti	1.0	_	0.0	tetragonal	['tetragonal']	0	1	(Sr0.90Ce0.10)(TiO3)
1511	Pb	1.0	_	0.0	Mg	0.5	U	0.5	monoclinic	['monoclinic']	0	1	Pb2Mg(UO6)
1512	Pb	1.0	_	0.0	Ca	0.5	U	0.5	monoclinic	['monoclinic']	0	1	Pb2Ca(UO6)
1513	Pb	1.0	_	0.0	Cd	0.5	U	0.5	monoclinic	['monoclinic']	0	1	Pb2Cd(UO6)
1518	Sr	1.0	_	0.0	In	0.485	Re	0.515	monoclinic	['monoclinic']	0	1	Sr2(In0.97Re1.03)O6
1519	Sm	0.6	Y	0.4	Mn	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Sm0.6Y0.4)(MnO3)
1521	Pb	1.0	_	0.0	Co	0.33299999999999996	Nb	0.667	cubic	['cubic']	0	1	Pb(Co0.333Nb0.667)O3
1522	Nd	1.0	_	0.0	Ni	0.75	Mn	0.25	orthorhombic	['orthorhombic']	0	1	Nd(Ni0.75Mn0.25)O3
1523	Nd	1.0	_	0.0	Ni	0.25	Mn	0.75	orthorhombic	['orthorhombic']	0	1	Nd(Ni0.25Mn0.75)O3
1524	Ca	0.99	La	0.01	Ti	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Ca0.99La0.01)(TiO3)
1525	Ca	1.0	_	0.0	Ti	0.99	Nb	0.01	orthorhombic	['orthorhombic']	0	1	Ca((Ti0.99Nb0.01)O3)
1534	Ba	1.0	_	0.0	Cu	0.46	Nb	0.54	hexagonal	['hexagonal']	0	1	Ba4(Cu1.84Nb2.16)O12
1535	Bi	1.0	_	0.0	Fe	0.75	Mn	0.25	orthorhombic	['orthorhombic', 'trigonal']	1	2	Bi(Fe0.75Mn0.25)O3
1539	Bi	0.9	La	0.1	Mn	1.0	_	0.0	monoclinic	['monoclinic']	0	1	(Bi0.9La0.1)(MnO3)
1542	Bi	0.8	La	0.2	Mn	1.0	_	0.0	orthorhombic	['orthorhombic']	0	1	(Bi0.8La0.2)(MnO3)
1545	La	1.0	_	0.0	Cr	0.75	Mg	0.25	orthorhombic	['orthorhombic', 'trigonal']	1	2	La(Cr0.75Mg0.25)O3
1547	Ba	1.0	_	0.0	Mo	0.175	Ti	0.825	cubic	['cubic']	0	1	Ba((Mo0.175Ti0.825)O3)
1548	Sr	1.0	_	0.0	Ru	0.8	Ni	0.2	orthorhombic	['orthorhombic']	0	1	Sr(Ru0.8Ni0.2)O3
1550	Ba	1.0	_	0.0	Zn	0.5	W	0.5	cubic	['cubic']	0	1	Ba2Zn(WO6)
1551	Sr	1.0	_	0.0	Cu	0.33299999999999996	Nb	0.667	tetragonal	['tetragonal']	0	1	Sr(Cu0.333Nb0.667)O3
1553	Sr	1.0	_	0.0	Cu	0.5	W	0.5	tetragonal	['tetragonal']	0	1	Sr2Cu(WO6)
1554	Sr	1.0	_	0.0	Cu	0.5	Mo	0.5	tetragonal	['tetragonal']	0	1	Sr2Cu(MoO6)
1555	Sr	1.0	_	0.0	Mo	0.94	Fe	0.06	tetragonal	['tetragonal', 'orthorhombic']	1	2	Sr(Mo0.94Fe0.06)O3
1557	Sr	1.0	_	0.0	Mo	0.855	Fe	0.145	tetragonal	['tetragonal', 'orthorhombic']	1	2	Sr(Mo0.855Fe0.145)O3
1559	Ba	1.0	_	0.0	Ce	0.5	Nb	0.5	monoclinic	['monoclinic', 'cubic']	1	2	Ba2Ce(NbO6)
1560	Ba	1.0	_	0.0	Ce	0.5	Ta	0.5	monoclinic	['monoclinic']	0	1	Ba2Ce(TaO6)
1591	Bi	1.0	_	0.0	Mn	0.2	Fe	0.8	trigonal	['trigonal']	0	1	Bi(Mn0.2Fe0.8)O3
1592	Bi	1.0	_	0.0	Mn	0.1	Fe	0.9	trigonal	['trigonal']	0	1	Bi(Mn0.1Fe0.9)O3
1593	Li	0.6	Cu	0.4	Ta	1.0	_	0.0	trigonal	['trigonal']	0	1	(Li1.2Cu.8)Ta2O6
1594	Bi	0.93	La	0.07	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.93La0.07)(FeO3)
1595	Li	0.12	Na	0.88	Nb	1.0	_	0.0	trigonal	['trigonal', 'orthorhombic', 'tetragonal']	1	3	(Li0.12Na0.88)(NbO3)
1596	Pb	1.0	_	0.0	Hf	0.583	Ti	0.41700000000000004	trigonal	['trigonal']	0	1	Pb(Hf0.583Ti0.417)O3
1598	Bi	0.8	Ca	0.2	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.8Ca0.2)(FeO3)
1600	Bi	0.9	Ca	0.1	Fe	1.0	_	0.0	trigonal	['trigonal', 'cubic']	1	2	(Bi0.9Ca0.1)(FeO3)
1601	Bi	0.88	Sm	0.12	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.88Sm0.12)(FeO3)
1602	Bi	1.0	_	0.0	Ga	0.4	Cr	0.6	trigonal	['trigonal']	0	1	Bi(Ga0.4Cr0.6)O3
1603	Bi	1.0	_	0.0	Mg	0.5	Ti	0.5	trigonal	['trigonal', 'tetragonal']	1	2	Bi(Mg0.5Ti0.5)O3
1604	Bi	0.87	La	0.13	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.87La0.13)(FeO3)
1606	Bi	0.98	Dy	0.02	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.98Dy0.02)(FeO3)
1607	Bi	0.95	Dy	0.05	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.95Dy0.05)(FeO3)
1613	Li	0.1	Ag	0.9	Nb	1.0	_	0.0	trigonal	['trigonal']	0	1	(Li0.1Ag0.9)NbO3
1614	Ho	0.05	Bi	0.95	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Ho0.05Bi0.95)FeO3
1618	Bi	1.0	_	0.0	Co	0.2	Fe	0.8	trigonal	['trigonal']	0	1	Bi(Co0.2Fe0.8)O3
1619	Bi	1.0	_	0.0	Fe	0.8	Co	0.2	trigonal	['trigonal']	0	1	Bi(Fe0.8Co0.2)O3
1621	Li	1.0	_	0.0	Nb	0.7	Ta	0.3	trigonal	['trigonal']	0	1	Li(Nb0.70Ta0.30)O3
1622	Li	1.0	_	0.0	Nb	0.47	Ta	0.53	trigonal	['trigonal']	0	1	Li(Nb0.47Ta0.53)O3
1623	Li	1.0	_	0.0	Nb	0.11	Ta	0.89	trigonal	['trigonal']	0	1	Li(Nb0.11Ta0.89)O3
1624	Li	1.0	_	0.0	Nb	0.08	Ta	0.92	trigonal	['trigonal']	0	1	Li(Nb0.08Ta0.92)O3
1625	Li	1.0	_	0.0	Nb	0.4	Ta	0.6	trigonal	['trigonal']	0	1	Li(Nb0.40Ta0.60)O3
1626	Li	1.0	_	0.0	Nb	0.36	Ta	0.64	trigonal	['trigonal']	0	1	Li(Nb0.36Ta0.64)O3
1627	Bi	0.93	K	0.07	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.93K0.07)(FeO3)
1628	Li	0.2	Na	0.8	Nb	1.0	_	0.0	trigonal	['trigonal']	0	1	(Li0.20Na0.80)NbO3
1629	Li	0.96	Na	0.04	Nb	1.0	_	0.0	trigonal	['trigonal']	0	1	(Li0.96Na0.04)NbO3
1630	Bi	0.9	Pb	0.1	Fe	1.0	_	0.0	trigonal	['trigonal', 'cubic']	1	2	(Bi0.9Pb0.1)FeO3
1635	Mn	1.0	_	0.0	Fe	0.5	Nb	0.5	trigonal	['trigonal']	0	1	Mn2Fe(NbO6)
1636	Mn	1.0	_	0.0	Fe	0.5	Ta	0.5	trigonal	['trigonal']	0	1	Mn2Fe(TaO6)
1645	Li	0.92	Cu	0.08	Nb	1.0	_	0.0	trigonal	['trigonal']	0	1	(Li0.92Cu0.08)(NbO3)
1646	Li	0.86	Cu	0.14	Nb	1.0	_	0.0	trigonal	['trigonal']	0	1	(Li0.86Cu0.14)(NbO3)
1647	Li	0.76	Cu	0.24	Nb	1.0	_	0.0	trigonal	['trigonal']	0	1	(Li0.76Cu0.24)(NbO3)
1648	Bi	1.0	_	0.0	Fe	0.99	Nb	0.01	trigonal	['trigonal']	0	1	Bi((Fe0.99Nb0.01)O3)
1649	Bi	0.7	Ca	0.3	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.7Ca0.3)(FeO3)
1650	Bi	0.7	Sr	0.3	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.7Sr0.3)(FeO3)
1651	Bi	0.7	Pb	0.3	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.7Pb0.3)(FeO3)
1652	Bi	0.7	Ba	0.3	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.7Ba0.3)(FeO3)
1653	Bi	0.95	Eu	0.05	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.95Eu0.05)(FeO3)
1655	Bi	0.85	La	0.15	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.85La0.15)(FeO3)
1657	Bi	0.9	Gd	0.1	Fe	1.0	_	0.0	trigonal	['trigonal', 'orthorhombic']	1	2	(Bi0.9Gd0.1)(FeO3)
1658	Bi	0.8	Ba	0.2	Fe	1.0	_	0.0	trigonal	['trigonal', 'tetragonal']	1	2	(Bi0.8Ba0.2)(FeO3)
1659	Bi	0.88	Ba	0.12	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.88Ba0.12)(FeO3)
1660	Bi	0.98	Y	0.02	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.98Y0.02)(FeO3)
1661	Bi	0.95	Y	0.05	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.95Y0.05)(FeO3)
1662	Bi	0.9	Y	0.1	Fe	1.0	_	0.0	trigonal	['trigonal', 'orthorhombic']	1	2	(Bi0.9Y0.1)(FeO3)
1664	Bi	0.98	Mg	0.02	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.98Mg0.02)(FeO3)
1665	Bi	0.95	Mg	0.05	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.95Mg0.05)(FeO3)
1666	Bi	0.98	Al	0.02	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.98Al0.02)(FeO3)
1670	Bi	0.815	La	0.185	Fe	1.0	_	0.0	trigonal	['trigonal', 'orthorhombic']	1	2	(Bi0.815La0.185)(FeO3)
1672	Bi	1.0	_	0.0	Fe	0.95	Mn	0.05	trigonal	['trigonal']	0	1	Bi((Fe0.95Mn0.05)O3)
1673	Bi	1.0	_	0.0	Fe	0.9	Mn	0.1	trigonal	['trigonal']	0	1	Bi((Fe0.9Mn0.1)O3)
1674	Bi	0.95	La	0.05	Fe	1.0	_	0.0	trigonal	['trigonal']	0	1	(Bi0.95La0.05)(FeO3)
1676	Bi	0.8	Sr	0.2	Fe	1.0	_	0.0	trigonal	['trigonal', 'triclinic']	1	2	(Bi0.8Sr0.2)(FeO3)
