Chemical_formula	found_on_web
Sr(Ti0.1W0.9)O3	0
Sr(Sc0.3Tc0.7)O3	0
Sr(Zr0.3Tc0.7)O3	0
Sr(Zr0.25Re0.75)O3	0
Eu(Mn0.7Mo0.3)O3	0
(Pr0.05Nd0.95)CrO3	0
(Pr0.3Sm0.7)CrO3	0
Sr(Ti0.15W0.85)O3	0
(Ce0.05Sm0.95)CrO3	0
Sr(Y0.45Tc0.55)O3	0
Sr(Zr0.1Re0.9)O3	0
Sr(Y0.3Tc0.7)O3	0
(Nd0.05Sm0.95)CrO3	0
Sr(Sc0.45Tc0.55)O3	0
Sr(Zr0.35Tc0.65)O3	0
Ba(Ce0.7Pa0.3)O3	0
Ce(Fe0.2Ir0.8)O3	0
Sr(Ti0.05Re0.95)O3	0
Ba(Yb0.5Pa0.5)O3	0
Pr(Fe0.2Ru0.8)O3	0
Ba(Lu0.5Pa0.5)O3	0
Eu(Fe0.9W0.1)O3	0
Sr(Zr0.3Re0.7)O3	0
Sr(Hf0.9Ti0.1)O3	0
Sr(Zr0.2W0.8)O3	0
Sr(Hf0.75Zr0.25)O3	0
Eu(Ti0.05Fe0.95)O3	0
Sr(Ti0.15Tc0.85)O3	0
Ba(Ce0.95U0.05)O3	0
Ba(Ce0.95Pa0.05)O3	0
Sr(Hf0.85Ti0.15)O3	0
Sr(Zr0.35Re0.65)O3	0
Sr(Zr0.4Tc0.6)O3	0
Ba(Ce0.8Pa0.2)O3	0
Sr(Ti0.2W0.8)O3	0
Ba(Ce0.9Pa0.1)O3	0
Sr(Zr0.65Tc0.35)O3	0
Sr(Zr0.6Tc0.4)O3	0
(Ba0.8La0.2)CeO3	0
Sr(Zr0.55Tc0.45)O3	0
Sr(Zr0.95Tc0.05)O3	0
Sr(Sc0.75Tc0.25)O3	0
Sr(Zr0.7Tc0.3)O3	0
Pr(Sc0.2Cr0.8)O3	0
Eu(Ti0.1Fe0.9)O3	0
Eu(Fe0.95W0.05)O3	0
(Ce0.3Gd0.7)CrO3	0
Sr(Sc0.6Tc0.4)O3	0
(Ba0.85Gd0.15)CeO3	0
Sr(Ti0.2Tc0.8)O3	0
Sr(Zr0.75Tc0.25)O3	0
Eu(Mn0.15Ir0.85)O3	0
Sr(Hf0.7Zr0.3)O3	0
Sr(Li0.05Tc0.95)O3	0
Sr(Ti0.25Tc0.75)O3	0
Sr(Zr0.4Re0.6)O3	0
Sr(Zr0.9Tc0.1)O3	0
Sr(Zr0.8Tc0.2)O3	0
Sr(Zr0.85Tc0.15)O3	0
Sr(Hf0.8Ti0.2)O3	0
Sr(Y0.6Tc0.4)O3	0
Sr(Y0.4W0.6)O3	0
Sr(Zr0.45Tc0.55)O3	0
Sr(Ti0.25W0.75)O3	0
Sr(Zr0.45Re0.55)O3	0
Eu(Na0.15Cr0.85)O3	0
Eu(Ti0.15Fe0.85)O3	0
