CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	FormulaWeight	Temperature	PublicationYear	Quality	A1	A1_frac	A2	A2_frac	B1	B1_frac	B2	B2_frac	O	O_frac	a	b	c	alpha	beta	gamma	SpaceGroupNum	CrystalClass	atom_numA1	atom_numA2	atom_numB1	atom_numB2	atom_numO	mend_numA1	mend_numA2	mend_numB1	mend_numB2	mend_numO	atomic_rA1	atomic_rA2	atomic_rB1	atomic_rB2	atomic_rO	A1_X	A2_X	B1_X	B2_X	O_X	M_A1	M_A2	M_B1	M_B2	M_O	V_A1	V_A2	V_B1	V_B2	V_O	therm_con_A1	therm_con_A2	therm_con_B1	therm_con_B2	therm_con_O	polarizability_A1	polarizability_A2	polarizability_B1	polarizability_B2	polarizability_O	lattice_const_A1	lattice_const_A2	lattice_const_B1	lattice_const_B2	lattice_const_O	Row_A1	Row_A2	Row_B1	Row_B2	Row_O	Group_A1	Group_A2	Group_B1	Group_B2	Group_O	nA	nB	nO	rA_avg	rB_avg	rO	rA/rB	rA/rO	rB/rO	rA-rB	Goldschmidt_TF	SISSO_1	SISSO_2	SISSO_3	SISSO_4	SISSO_5	SISSO_6	SISSO_7	SISSO_8	SISSO_9	SISSO_10
259040	P b n m	La(Mn0.6Sc0.4)O3	Perovskite#GdFeO3	Cuartero, V.; Blasco, J.; Subias, G.; Garcia, J.; Meneghini, C.; Aquilanti, G.	5.5866(1) 5.7120(1) 7.9168(2) 90 90 90	252.63	237.855	293.0	2015		La	1.0	_	0.0	Mn	0.6	Sc	0.4	O	3.0	5.5866	5.7120	7.9168	90	90	90	62	orthorhombic	57	0	25	21	8	33.0	0.0	60.0	19.0	101.0	1.95	0.0	1.4	1.6	0.6	1.1	0.0	1.55	1.36	3.44	138.90547	0.0	54.938045	44.955912	15.9994	22.39	0.0	7.35	15.0	17.36	13.0	0.0	7.8	16.0	0.02658	215.0	0.0	68.0	97.0	5.3	3.75	0.0	8.89	3.31	6.83	8	0	4	4	2	3	0	7	3	16	3.0	3.0	-2	1.172	0.786	1.26	1.491094147582697	0.9301587301587301	0.6238095238095238	0.3859999999999999	0.8405101133165607	59.035125	36.66	9.5	0.0003909619612098951	42.11	221.8949058524173	222.34941596573387	223.98544972998846	-0.6367798563410528	1.1353971778857275
259041	P b n m	La(Mn0.5Sc0.5)O3	Perovskite#GdFeO3	Cuartero, V.; Blasco, J.; Subias, G.; Garcia, J.; Meneghini, C.; Aquilanti, G.	5.6016(1) 5.7217(1) 7.9514(2) 90 90 90	254.85	236.857	293.0	2015		La	1.0	_	0.0	Mn	0.5	Sc	0.5	O	3.0	5.6016	5.7217	7.9514	90	90	90	62	orthorhombic	57	0	25	21	8	33.0	0.0	60.0	19.0	101.0	1.95	0.0	1.4	1.6	0.6	1.1	0.0	1.55	1.36	3.44	138.90547	0.0	54.938045	44.955912	15.9994	22.39	0.0	7.35	15.0	17.36	13.0	0.0	7.8	16.0	0.02658	215.0	0.0	68.0	97.0	5.3	3.75	0.0	8.89	3.31	6.83	8	0	4	4	2	3	0	7	3	16	3.0	3.0	-2	1.172	0.8025	1.26	1.460436137071651	0.9301587301587301	0.6369047619047619	0.36949999999999994	0.8337860324100284	59.035125	36.66	9.5	0.0003909619612098951	42.11	221.90906386292835	222.37334989533838	223.98544972998846	-0.6417740675125492	1.1212391673746813
259042	P b n m	La(Mn0.4Sc0.6)O3	Perovskite#GdFeO3	Cuartero, V.; Blasco, J.; Subias, G.; Garcia, J.; Meneghini, C.; Aquilanti, G.	5.6176(1) 5.7343(1) 7.9849(1) 90 90 90	257.22	235.859	293.0	2015		La	1.0	_	0.0	Mn	0.4	Sc	0.6	O	3.0	5.6176	5.7343	7.9849	90	90	90	62	orthorhombic	57	0	25	21	8	33.0	0.0	60.0	19.0	101.0	1.95	0.0	1.4	1.6	0.6	1.1	0.0	1.55	1.36	3.44	138.90547	0.0	54.938045	44.955912	15.9994	22.39	0.0	7.35	15.0	17.36	13.0	0.0	7.8	16.0	0.02658	215.0	0.0	68.0	97.0	5.3	3.75	0.0	8.89	3.31	6.83	8	0	4	4	2	3	0	7	3	16	3.0	3.0	-2	1.172	0.819	1.26	1.431013431013431	0.9301587301587301	0.6499999999999999	0.353	0.8271686829464568	59.035125	36.66	9.5	0.0003909619612098951	42.11	221.92198656898657	222.39615525193304	223.98544972998846	-0.6466593396316994	1.1083164613164613
259043	P b n m	La(Mn0.3Sc0.7)O3	Perovskite#GdFeO3	Cuartero, V.; Blasco, J.; Subias, G.; Garcia, J.; Meneghini, C.; Aquilanti, G.	5.6334(1) 5.7488(1) 8.0145(2) 90 90 90	259.55	234.861	293.0	2015		La	1.0	_	0.0	Mn	0.3	Sc	0.7	O	3.0	5.6334	5.7488	8.0145	90	90	90	62	orthorhombic	57	0	25	21	8	33.0	0.0	60.0	19.0	101.0	1.95	0.0	1.4	1.6	0.6	1.1	0.0	1.55	1.36	3.44	138.90547	0.0	54.938045	44.955912	15.9994	22.39	0.0	7.35	15.0	17.36	13.0	0.0	7.8	16.0	0.02658	215.0	0.0	68.0	97.0	5.3	3.75	0.0	8.89	3.31	6.83	8	0	4	4	2	3	0	7	3	16	3.0	2.9999999999999996	-2	1.172	0.8354999999999999	1.26	1.4027528426092162	0.9301587301587301	0.6630952380952381	0.3365	0.8206555437106579	59.035125	36.66	9.5	0.0003909619612098951	42.11	221.9337471573908	222.41790270110144	223.98544972998846	-0.6514387323806288	1.0965558729122464
259044	P b n m	La(Mn0.1Sc0.9)O3	Perovskite#GdFeO3	Cuartero, V.; Blasco, J.; Subias, G.; Garcia, J.; Meneghini, C.; Aquilanti, G.	5.6683(2) 5.7699(2) 8.0719(3) 90 90 90	263.99	232.865	293.0	2015		La	1.0	_	0.0	Mn	0.1	Sc	0.9	O	3.0	5.6683	5.7699	8.0719	90	90	90	62	orthorhombic	57	0	25	21	8	33.0	0.0	60.0	19.0	101.0	1.95	0.0	1.4	1.6	0.6	1.1	0.0	1.55	1.36	3.44	138.90547	0.0	54.938045	44.955912	15.9994	22.39	0.0	7.35	15.0	17.36	13.0	0.0	7.8	16.0	0.02658	215.0	0.0	68.0	97.0	5.3	3.75	0.0	8.89	3.31	6.83	8	0	4	4	2	3	0	7	3	16	3.0	3.0	-2	1.172	0.8684999999999999	1.26	1.3494530800230282	0.9301587301587301	0.6892857142857143	0.3035	0.807932201947702	59.035125	36.66	9.5	0.0003909619612098951	42.11	221.95404691997697	222.45847912192468	223.98544972998846	-0.6606916071155822	1.0762561103260584
259090	P 1 21/n 1	La2Li(OsO6)	Perovskite#Na3AlF6	Thompson, C.M.; Marjerrison, C.A.; Sharma, A.Z.; Wiebe, C.R.; Maharaj, D.D.; Sala, G.; Flacau, R.; Hallas, A.M.; Cai, Y.; Gaulin, B.D.; Luke, G.M.; Greedan, J.E.	5.5443(4) 5.63124 7.8440(7) 9 90.199(3) 9	244.9	570.953	3.5	2016		La	1.0	_	0.0	Li	0.5	Os	0.5	O	3.0	5.5443	5.63124	7.8440	9	90.199	9	14	monoclinic	57	0	3	76	8	33.0	0.0	12.0	63.0	101.0	1.95	0.0	1.45	1.3	0.6	1.1	0.0	0.98	2.2	3.44	138.90547	0.0	6.941	190.23	15.9994	22.39	0.0	13.02	8.42	17.36	13.0	0.0	85.0	88.0	0.02658	215.0	0.0	164.1125	57.0	5.3	3.75	0.0	3.49	2.74	6.83	8	0	2	6	2	3	0	1	8	16	3.0	3.0	-2	1.172	0.8075	1.26	1.451393188854489	0.9301587301587301	0.6408730158730158	0.36449999999999994	0.8317696212071021	155.71762500000003	138.7725	9.829999999999998	0.0023944680969474356	138.79250000000002	221.9131068111455	222.38037643235262	223.9927129910376	-0.6432658147396696	1.1171962191575195
259237	R -3 c H	(Sr0.5Bi0.5)FeO3	Perovskite#LaAlO3	Xiong, Peng; Romero, Fabio D.; Hosaka, Yoshiteru; Guo, Haichuan; Saito, Takashi; Chen, Wei-Tin; Chuang, Yu-Chun; Sheu, Hwo-Shuenn; McNally, Graham; Attfield, J. Paul; Shimakawa, Yuichi	5.5243(2) 5.5243(2) 13.5306(7) 90 90 120	357.6	252.14700000000002	293.0	2018		Sr	0.5	Bi	0.5	Fe	1.0	_	0.0	O	3.0	5.5243	5.5243	13.5306	90	90	120	167	trigonal	38	83	26	0	8	15.0	87.0	61.0	0.0	101.0	2.0	1.6	1.4	0.0	0.6	0.95	2.02	1.83	0.0	3.44	87.62	208.9804	55.845	0.0	15.9994	33.94	21.31	7.09	0.0	17.36	35.0	8.0	80.0	0.0	0.02658	197.2	48.0	62.0	0.0	5.3	6.08	4.75	2.87	0.0	6.83	5	6	4	0	2	2	15	8	0	16	3.5	2.5	-2	1.11	0.72	1.26	1.541666666666667	0.880952380952381	0.5714285714285714	0.3900000000000001	0.8463853896020797	52.17	18.060000000000002	6.12	0.0005925925925925926	24.230000000000004	201.04833333333332	201.5047187229354	203.18544972998845	-0.5960277477991688	1.2183333333333335
259375	P b n m	Lu(Fe0.5Cr0.5)O3	Perovskite#GdFeO3	Pomiro, Fernando; Sanchez, Rodolfo D.; Cuello, Gabriel; Maignan, Antoine; Martin, Christine; Carbonio, Raul E.	5.1967(4) 5.5270(5) 7.5195(3) 90 90 90	215.98	276.892	300.0	2016		Lu	1.0	_	0.0	Fe	0.5	Cr	0.5	O	3.0	5.1967	5.5270	7.5195	90	90	90	62	orthorhombic	71	0	26	24	8	20.0	0.0	61.0	57.0	101.0	1.75	0.0	1.4	1.4	0.6	1.27	0.0	1.83	1.66	3.44	174.967	0.0	55.845	51.9961	15.9994	17.78	0.0	7.09	7.23	17.36	16.0	0.0	80.0	94.0	0.02658	137.0	0.0	62.0	83.0	5.3	3.51	0.0	2.87	2.88	6.83	8	0	4	4	2	17	0	8	6	16	3.0	3.0	-2	1.001	0.7224999999999999	1.26	1.3854671280276816	0.7944444444444444	0.5734126984126984	0.27849999999999997	0.8064405711287688	54.810625	34.47	9.19	0.01153125	40.64	143.8930328719723	144.42097344310108	145.98544972998846	-0.6420721083802169	1.1569671280276816
259377	P b n m	Yb(Fe0.5Cr0.5)O3	Perovskite#GdFeO3	Pomiro, Fernando; Sanchez, Rodolfo D.; Cuello, Gabriel; Maignan, Antoine; Martin, Christine; Carbonio, Raul E.	5.2169(3) 5.5375(2) 7.5320(5) 90 90 90	217.59	274.962	300.0	2016		Yb	1.0	_	0.0	Fe	0.5	Cr	0.5	O	3.0	5.2169	5.5375	7.5320	90	90	90	62	orthorhombic	70	0	26	24	8	17.0	0.0	61.0	57.0	101.0	1.75	0.0	1.4	1.4	0.6	1.1	0.0	1.83	1.66	3.44	173.04	0.0	55.845	51.9961	15.9994	24.84	0.0	7.09	7.23	17.36	39.0	0.0	80.0	94.0	0.02658	139.0	0.0	62.0	83.0	5.3	5.49	0.0	2.87	2.88	6.83	8	0	4	4	2	16	0	8	6	16	3.0	3.0	-2	1.008	0.7224999999999999	1.26	1.3951557093425606	0.8	0.5734126984126984	0.2855000000000001	0.808937291163223	54.810625	27.41	9.02	0.018776714838184407	33.58	145.89034429065745	146.41378158182067	147.98544972998846	-0.631444220433156	1.1684792387543252
259379	P b n m	Tm(Fe0.5Cr0.5)O3	Perovskite#GdFeO3	Pomiro, Fernando; Sanchez, Rodolfo D.; Cuello, Gabriel; Maignan, Antoine; Martin, Christine; Carbonio, Raul E.	5.2331(3) 5.5442(4) 7.5468(2) 90 90 90	218.96	270.85200000000003	300.0	2016		Tm	1.0	_	0.0	Fe	0.5	Cr	0.5	O	3.0	5.2331	5.5442	7.5468	90	90	90	62	orthorhombic	69	0	26	24	8	21.0	0.0	61.0	57.0	101.0	1.75	0.0	1.4	1.4	0.6	1.25	0.0	1.83	1.66	3.44	168.93421	0.0	55.845	51.9961	15.9994	19.1	0.0	7.09	7.23	17.36	17.0	0.0	80.0	94.0	0.02658	144.0	0.0	62.0	83.0	5.3	3.54	0.0	2.87	2.88	6.83	8	0	4	4	2	15	0	8	6	16	3.0	3.0	-2	1.02	0.7224999999999999	1.26	1.411764705882353	0.8095238095238095	0.5734126984126984	0.2975000000000001	0.8132173826508593	54.810625	33.15	9.17	0.009961127308066083	39.32	150.88573529411764	151.4014526767685	152.98544972998846	-0.6395455116779643	1.1618837535014006
