CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	FormulaWeight	Temperature	PublicationYear	Quality	A1	A1_frac	A2	A2_frac	B1	B1_frac	B2	B2_frac	O	O_frac	a	b	c	alpha	beta	gamma	SpaceGroupNum	CrystalClass	atom_numA1	atom_numA2	atom_numB1	atom_numB2	atom_numO	mend_numA1	mend_numA2	mend_numB1	mend_numB2	mend_numO	atomic_rA1	atomic_rA2	atomic_rB1	atomic_rB2	atomic_rO	A1_X	A2_X	B1_X	B2_X	O_X	M_A1	M_A2	M_B1	M_B2	M_O	V_A1	V_A2	V_B1	V_B2	V_O	therm_con_A1	therm_con_A2	therm_con_B1	therm_con_B2	therm_con_O	polarizability_A1	polarizability_A2	polarizability_B1	polarizability_B2	polarizability_O	lattice_const_A1	lattice_const_A2	lattice_const_B1	lattice_const_B2	lattice_const_O	Row_A1	Row_A2	Row_B1	Row_B2	Row_O	Group_A1	Group_A2	Group_B1	Group_B2	Group_O	nA	nB	nO	rA_avg	rB_avg	rO	rA/rB	rA/rO	rB/rO	rA-rB	Goldschmidt_TF	SISSO_1	SISSO_2	SISSO_3	SISSO_4	SISSO_5	SISSO_6	SISSO_7	SISSO_8	SISSO_9	SISSO_10	is_perovskite
88787	R -3 H	Na2Ti(TeO6)	FePSe3	Woodward, P.M.; Sleight, A.W.; Du, L.-S.; Grey, C.P.	5.2201(2) 5.2201(2) 15.8375(6) 90 90 120	373.74	317.474	293	1999		Na	1	_	0	Ti	0.5	Te	0.5	O	3	5.2201	5.2201	15.8375	90	90	120	148	trigonal	11	0	22	52	8	11	0	51	92	101	1.8	0	1.4	1.4	0.6	0.93	0	1.54	2.1	3.44	22.98976928	0	47.867	127.6	15.9994	23.78	0	10.64	20.46	17.36	140	0	22	3	0.02658	162.7	0	100	38	5.3	4.23	0	2.95	4.45	6.83	3	0	4	5	2	1	0	4	16	16	1	5	-2	1.16	0.7225	1.26	1.6055363322	0.9206349206	0.5734126984	0.4375	0.8631517833	92.628	70.42	4.19	0.0009015778	72.88	164.5319636678	164.9576154512	166.68544973	-0.5591365851	1.2589454231	0
89408	P b m m	Cu(Ge0.76Si0.24)O3	CuGeO3	Braden, M.; Buechner, B.; Klotz, S.; Marshall, W.G.; Behruzi, M.; Heger, G.	4.7767(2) 8.5345(3) 2.9192(1) 90 90 90	119.01	173.456	293	1999		Cu	1	_	0	Ge	0.76	Si	0.24	O	3	4.7767	8.5345	2.9192	90	90	90	51	orthorhombic	29	0	32	14	8	72	0	84	85	101	1.35	0	1.25	1.1	0.6	1.9	0	2.01	1.9	3.44	63.546	0	72.64	28.0855	15.9994	7.11	0	13.63	12.06	17.36	400	0	60	150	0.02658	46.5	0	40	37.3	5.3	3.61	0	5.66	5.43	6.83	4	0	4	3	2	11	0	14	14	16	2	4	-2	0.87	0.6388	1.26	1.3619286162	0.6904761905	0.506984127	0.2312	0.7932048894	35.529625	17.54	5.24	0.0003982607	29.53	49.3692713838	49.9312762732	51.4489846194	-0.6876762123	1.144617505	0
91567	R -3 H	(Tb0.25Sc0.75)(BO3)	Dolomite#CaMg(CO3)2	Kuz'micheva, G.M. (Kuzmicheva, G.M.); Rybakov, V.B.; Kutovoi, S.A.; Kuz'min, O.V. (Kuzmin, O.V.); Panyutin, V.L.	4.773(5) 4.773(5) 15.48(1) 90 90 120	305.41	132.258	293	2000		Tb	0.25	Sc	0.75	B	1	_	0	O	3	4.773	4.773	15.48	90	90	120	148	trigonal	65	21	5	0	8	26	19	86	0	101	1.75	1.6	0.85	0	0.6	1.1	1.36	2.04	0	3.44	158.92535	44.955912	10.811	0	15.9994	19.3	15	4.39	0	17.36	11	16	27	0	0.02658	170	97	20.5	0	5.3	3.6	3.31	8.73	0	6.83	8	4	2	0	2	11	3	13	0	16	3	3	-2	0.9295	0.41	1.26	2.2670731707	0.7376984127	0.3253968254	0.5195	0.9270720344	13.100625	13.55	8.81	9.95675921711425E-05	2.59	176.2524268293	176.6599988636	178.7512804051	-0.5617169935	1.7860347092	0
94622	P 1 21/c 1	(Ca0.15Mg0.85)Mg(Si2O6)	Pyroxene(LT)#MgSiO3	Tribaudino, M.; Nestola, F.; Camara, F.; Domeneghetti, M.C.	9.752(4) 8.949(5) 5.255(3) 9 108.84(4) 9	434.04	203.1515	1273	2002		Ca	0.075	Mg	0.925	Si	1	_	0	O	3	9.752	8.949	5.255	9	108.84	9	14	monoclinic	20	12	14	0	8	16	73	85	0	101	1.8	1.5	1.1	0	0.6	1	1.31	1.9	0	3.44	40.078	24.305	28.0855	0	15.9994	26.2	14	12.06	0	17.36	200	160	150	0	0.02658	160.8	71.2	37.3	0	5.3	5.58	3.21	5.43	0	6.83	4	3	3	0	2	2	2	14	0	16	2	4	-2	0.881	0.54	1.26	1.6314814815	0.6992063492	0.4285714286	0.341	0.8410642325	29.568	4.7	4.9	0.0004394531	7.4	163.5095185185	164.009582751	165.6912073601	-0.6041699746	1.3529814815	0
95389	P 1 21/c 1	(Ca0.23Mg1.77)(Si2O6)	Pyroxene(LT)#MgSiO3	Tribaudino, M.; Nestola, F.	9.690(2) 8.862(1) 5.229(1) 9 108.31(1) 9	426.29	204.4131	293	2002		Ca	0.115	Mg	0.885	Si	1	_	0	O	3	9.69	8.862	5.229	9	108.31	9	14	monoclinic	20	12	14	0	8	16	73	85	0	101	1.8	1.5	1.1	0	0.6	1	1.31	1.9	0	3.44	40.078	24.305	28.0855	0	15.9994	26.2	14	12.06	0	17.36	200	160	150	0	0.02658	160.8	71.2	37.3	0	5.3	5.58	3.21	5.43	0	6.83	4	3	3	0	2	2	2	14	0	16	2	4	-2	0.8922	0.54	1.26	1.6522222222	0.7080952381	0.4285714286	0.3522	0.845464008	29.568	4.7	4.9	0.0004394531	7.4	163.4999777778	163.9932417858	165.6912073601	-0.6008841464	1.3625222222	0
98278	R -3 m H	Ba(Ir0.3Mn0.7O3)	BaRuO3	Jordan, N.A.; Battle, P.D.	5.69926(7) 5.69926(7) 21.2778(3) 9 9 12	598.54	281.755	290	2003		Ba	1	_	0	Ir	0.3	Mn	0.7	O	3	5.69926	5.69926	21.2778	9	9	12	166	trigonal	56	0	77	25	8	14	0	66	60	101	2.15	0	1.35	1.4	0.6	0.89	0	2.2	1.55	3.44	137.327	0	192.217	54.938045	15.9994	38.16	0	8.52	7.35	17.36	18	0	150	7.8	0.02658	272	0	54	68	5.3	5.02	0	3.84	8.89	6.83	6	0	6	4	2	2	0	9	7	16	2	4	-2	1.49	0.717	1.26	2.0781032078	1.1825396825	0.569047619	0.773	0.983583029	41.861625	4.69	6.84	0.0020590379	11.49	276.6948967922	276.9054798212	278.9757233578	-0.48261471	1.3765317792	0
98280	R -3 m H	Ba(Ir0.4Mn0.6O3)	BaRuO3	Jordan, N.A.; Battle, P.D.	5.71037(6) 5.71037(6) 21.4005(3) 9 9 12	604.34	295.581	290	2003		Ba	1	_	0	Ir	0.4	Mn	0.6	O	3	5.71037	5.71037	21.4005	9	9	12	166	trigonal	56	0	77	25	8	14	0	66	60	101	2.15	0	1.35	1.4	0.6	0.89	0	2.2	1.55	3.44	137.327	0	192.217	54.938045	15.9994	38.16	0	8.52	7.35	17.36	18	0	150	7.8	0.02658	272	0	54	68	5.3	5.02	0	3.84	8.89	6.83	6	0	6	4	2	2	0	9	7	16	2	4	-2	1.49	0.739	1.26	2.0162381597	1.1825396825	0.5865079365	0.751	0.9727582032	41.861625	4.69	6.84	0.0020590379	11.49	276.7347618403	276.9565200436	278.9757233578	-0.4915936099	1.3366667311	0
152228	P 1 21/c 1	(Ca0.40Mg1.60)(Si2O6)	Pyroxene(LT)#MgSiO3	Tribaudino, M.; Nestola, F.; Meneghini, C.	9.7042(4) 8.8805(4) 5.2423(3) 90 108.084(4) 90	429.46	207.094	293	2005		Ca	0.2	Mg	0.8	Si	1	_	0	O	3	9.7042	8.8805	5.2423	90	108.084	90	14	monoclinic	20	12	14	0	8	16	73	85	0	101	1.8	1.5	1.1	0	0.6	1	1.31	1.9	0	3.44	40.078	24.305	28.0855	0	15.9994	26.2	14	12.06	0	17.36	200	160	150	0	0.02658	160.8	71.2	37.3	0	5.3	5.58	3.21	5.43	0	6.83	4	3	3	0	2	2	2	14	0	16	2	4	-2	0.916	0.54	1.26	1.6962962963	0.726984127	0.4285714286	0.376	0.854813531	29.568	4.7	4.9	0.0004394531	7.4	163.4797037037	163.9585172347	165.6912073601	-0.5938592024	1.3827962963	0
156610	P b c a	(Mg1.93Ca0.07)(Si2O6)	Pyroxene#MgSiO3	Nestola, F.; Gatta, G.D.; Boffa Ballaran, T.	18.2588(5) 8.8229(5) 5.1899(5) 9 9 9	836.07	201.8899	293	2006		Mg	0.965	Ca	0.035	Si	1	_	0	O	3	18.2588	8.8229	5.1899	9	9	9	61	orthorhombic	12	20	14	0	8	73	16	85	0	101	1.5	1.8	1.1	0	0.6	1.31	1	1.9	0	3.44	24.305	40.078	28.0855	0	15.9994	14	26.2	12.06	0	17.36	160	200	150	0	0.02658	71.2	160.8	37.3	0	5.3	3.21	5.58	5.43	0	6.83	3	4	3	0	2	2	2	14	0	16	2	4	-2	0.8698	0.54	1.26	1.6107407407	0.6903174603	0.4285714286	0.3298	0.836664457	32.025	7.8	3.91	3.85587262253321E-06	19.9	72.9190592593	73.4259237162	75.0912073601	-0.6562442672	1.2946393709	0
156741	R -3 c H	(Mg0.1Cd0.9)(CO3)	Calcite#CaCO3(hR10)	Bromiley, F.A.; Boffa Ballaran, T.; Langenhorst, F.; Seifert, F.	4.8950(2) 4.8950(2) 16.1938(4) 90 90 120	336.04	163.599	293	2007		Mg	0.1	Cd	0.9	C	1	_	0	O	3	4.895	4.895	16.1938	90	90	120	167	trigonal	12	48	6	0	8	73	75	95	0	101	1.5	1.55	0.7	0	0.6	1.31	1.69	2.55	0	3.44	24.305	112.411	12.0107	0	15.9994	14	13	5.29	0	17.36	160	97	140	0	0.02658	71.2	46	11.3	0	5.3	3.21	2.98	3.57	0	6.83	3	5	2	0	2	2	12	14	0	16	2	4	-2	1.067	0.3	1.26	3.5566666667	0.8468253968	0.2380952381	0.767	1.0547676153	5.375	12.8	3.26	3.85587262253321E-06	6.75	71.4103333333	71.6981009486	74.8442176872	-0.4797312383	2.8033652968	0
