CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	FormulaWeight	Temperature	PublicationYear	Quality	A1	A1_frac	A2	A2_frac	B1	B1_frac	B2	B2_frac	O	O_frac	a	b	c	alpha	beta	gamma	SpaceGroupNum	CrystalClass	atom_numA1	atom_numA2	atom_numB1	atom_numB2	atom_numO	mend_numA1	mend_numA2	mend_numB1	mend_numB2	mend_numO	atomic_rA1	atomic_rA2	atomic_rB1	atomic_rB2	atomic_rO	A1_X	A2_X	B1_X	B2_X	O_X	M_A1	M_A2	M_B1	M_B2	M_O	V_A1	V_A2	V_B1	V_B2	V_O	therm_con_A1	therm_con_A2	therm_con_B1	therm_con_B2	therm_con_O	polarizability_A1	polarizability_A2	polarizability_B1	polarizability_B2	polarizability_O	lattice_const_A1	lattice_const_A2	lattice_const_B1	lattice_const_B2	lattice_const_O	Row_A1	Row_A2	Row_B1	Row_B2	Row_O	Group_A1	Group_A2	Group_B1	Group_B2	Group_O	nA	nB	nO	rA_avg	rB_avg	rO	rA/rB	rA/rO	rB/rO	rA-rB	Goldschmidt_TF	SISSO_1	SISSO_2	SISSO_3	SISSO_4	SISSO_5	SISSO_6	SISSO_7	SISSO_8	SISSO_9	SISSO_10
163734	P b n m	(Pr0.67Ca0.33)(MnO3)	Perovskite#GdFeO3	Krishna, D.C.; Venugopal Reddy, P.	5.457 5.463 7.663 90 90 90	228.45	210.5731	293	2009		Pr	0.67	Ca	0.33	Mn	1	_	0	O	3	5.457	5.463	7.663	90	90	90	62	orthorhombic	59	20	25	0	8	31	16	60	0	101	1.85	1.8	1.4	0	0.6	1.13	1	1.55	0	3.44	140.90765	40.078	54.938045	0	15.9994	20.8	26.2	7.35	0	17.36	13	200	7.8	0	0.02658	216	160.8	68	0	5.3	3.67	5.58	8.89	0	6.83	8	4	4	0	2	5	2	7	0	16	2.67	3.4	-2	1.1467	0.74	1.26	1.5495945946	0.9100793651	0.5873015873	0.4067	0.8508969451	60.118375	38.35	9.43	6.20992917324024E-05	43.8	222.8571054054	223.3013023505	224.98544973	-0.6270509587	1.1751526591
163736	P b n m	(Pr0.67Pb0.33)(MnO3)	Perovskite#GdFeO3	Krishna, D.C.; Venugopal Reddy, P.	5.485 5.494 7.772 90 90 90	234.21	265.7194	293	2009		Pr	0.67	Pb	0.33	Mn	1	_	0	O	3	5.485	5.494	7.772	90	90	90	62	orthorhombic	59	82	25	0	8	31	82	60	0	101	1.85	1.8	1.4	0	0.6	1.13	2.33	1.55	0	3.44	140.90765	207.2	54.938045	0	15.9994	20.8	18.26	7.35	0	17.36	13	35	7.8	0	0.02658	216	47	68	0	5.3	3.67	4.95	8.89	0	6.83	8	6	4	0	2	5	14	7	0	16	2.67	3.4	-2	1.2094	0.74	1.26	1.6343243243	0.9598412698	0.5873015873	0.4694	0.8730647427	60.118375	38.35	9.43	6.20992917324024E-05	43.8	222.8350756757	223.2387404184	224.98544973	-0.6102229865	1.1971823888
164519	P n m a	(Pr0.75Na0.25)(MnO3)	Perovskite#GdFeO3	Kozlenko, D.P.; Jirak, Z.; Goncharenko, I.N.; Savenko, B.N.	5.432(1) 7.680(2) 5.451(1) 90 90 90	227.4	214.367	295	2004		Pr	0.75	Na	0.25	Mn	1	_	0	O	3	5.432	7.68	5.451	90	90	90	62	orthorhombic	59	11	25	0	8	31	11	60	0	101	1.85	1.8	1.4	0	0.6	1.13	0.93	1.55	0	3.44	140.90765	22.98976928	54.938045	0	15.9994	20.8	23.78	7.35	0	17.36	13	140	7.8	0	0.02658	216	162.7	68	0	5.3	3.67	4.23	8.89	0	6.83	8	3	4	0	2	5	1	7	0	16	2.5	3.6	-2	1.1525	0.698	1.26	1.6511461318	0.9146825397	0.553968254	0.4545	0.8712436719	60.118375	38.35	9.43	6.20992917324024E-05	43.8	222.8033538682	223.2200975401	224.98544973	-0.6116174099	1.2289041963
164707	P n m a	(Sm0.2Ca0.8)(MnO3)	Perovskite#GdFeO3	Kim Bongju; Tong, P.; Kwon Daeyoung; Wu Youngsoo; Ahn Jai Seok; Jeong Il-Kyoung; Kim Sung Baek; Cheong, S.-W.; Kim Bog G.	5.3349 7.4986 5.3007 90 90 90	212.05	165.071	300	2009		Sm	0.2	Ca	0.8	Mn	1	_	0	O	3	5.3349	7.4986	5.3007	90	90	90	62	orthorhombic	62	20	25	0	8	28	16	60	0	101	1.85	1.8	1.4	0	0.6	1.17	1	1.55	0	3.44	150.36	40.078	54.938045	0	15.9994	19.98	26.2	7.35	0	17.36	13	200	7.8	0	0.02658	192	160.8	68	0	5.3	9	5.58	8.89	0	6.83	8	4	4	0	2	8	2	7	0	16	2.2	3.8	-2	1.1316	0.712	1.26	1.5893258427	0.8980952381	0.5650793651	0.4196	0.8575641876	60.118375	39.17	9.47	8.42747813411079E-05	44.62	198.8302741573	199.2682383449	200.98544973	-0.6185672074	1.2054401284
164710	P n m a	(Sm0.15Ca0.85)(MnO3)	Perovskite#GdFeO3	Kim Bongju; Tong, P.; Kwon Daeyoung; Wu Youngsoo; Ahn Jai Seok; Jeong Il-Kyoung; Kim Sung Baek; Cheong, S.-W.; Kim Bog G.	5.3199 7.5004 5.3032 90 90 90	211.6	159.5575	300	2009		Sm	0.15	Ca	0.85	Mn	1	_	0	O	3	5.3199	7.5004	5.3032	90	90	90	62	orthorhombic	62	20	25	0	8	28	16	60	0	101	1.85	1.8	1.4	0	0.6	1.17	1	1.55	0	3.44	150.36	40.078	54.938045	0	15.9994	19.98	26.2	7.35	0	17.36	13	200	7.8	0	0.02658	192	160.8	68	0	5.3	9	5.58	8.89	0	6.83	8	4	4	0	2	8	2	7	0	16	2.15	3.8	-2	1.1337	0.712	1.26	1.5922752809	0.8997619048	0.5650793651	0.4217	0.8583171917	60.118375	39.17	9.47	8.42747813411079E-05	44.62	198.8294247191	199.2660419108	200.98544973	-0.6179975618	1.2062895666
164713	P n m a	(Sm0.08Ca0.92)(MnO3)	Perovskite#GdFeO3	Kim Bongju; Tong, P.; Kwon Daeyoung; Wu Youngsoo; Ahn Jai Seok; Jeong Il-Kyoung; Kim Sung Baek; Cheong, S.-W.; Kim Bog G.	5.294 7.4703 5.2781 90 90 90	208.74	151.8386	300	2009		Sm	0.08	Ca	0.92	Mn	1	_	0	O	3	5.294	7.4703	5.2781	90	90	90	62	orthorhombic	62	20	25	0	8	28	16	60	0	101	1.85	1.8	1.4	0	0.6	1.17	1	1.55	0	3.44	150.36	40.078	54.938045	0	15.9994	19.98	26.2	7.35	0	17.36	13	200	7.8	0	0.02658	192	160.8	68	0	5.3	9	5.58	8.89	0	6.83	8	4	4	0	2	8	2	7	0	16	2.08	3.9	-2	1.13664	0.691	1.26	1.6449204052	0.9020952381	0.5484126984	0.44564	0.8686214229	60.118375	39.17	9.47	8.42747813411079E-05	44.62	198.8007195948	199.2237010177	200.98544973	-0.6101653348	1.2349946909
164838	I m m a	(Bi0.55La0.45)(FeO3)	Perovskite#BaPbO3#Ba(Pb.5Bi.5)O3	Troyanchuk, I.O.; Bushinskii, M.V.; Karoinsky, D.V.; Mantytskaya, O.S.; Fedotova, V.V.; Prochnenko, O.I.	5.594(3) 7.832(3) 5.616(3) 90 90 90	246.05	281.2955	293	2009		Bi	0.55	La	0.45	Fe	1	_	0	O	3	5.594	7.832	5.616	90	90	90	74	orthorhombic	83	57	26	0	8	87	33	61	0	101	1.6	1.95	1.4	0	0.6	2.02	1.1	1.83	0	3.44	208.9804	138.90547	55.845	0	15.9994	21.31	22.39	7.09	0	17.36	8	13	80	0	0.02658	48	215	62	0	5.3	4.75	3.75	2.87	0	6.83	6	8	4	0	2	15	3	8	0	16	3	3	-2	1.1709	0.69	1.26	1.6969565217	0.9292857143	0.5476190476	0.4809	0.881490192	56.074	31.09	7.41	2.42975354706053E-06	37.26	52.7839434783	53.1845336703	54.98544973	-0.6245076354	1.2275507746
164976	P 4 m m	(Ba0.996Y0.004)(TiO3)	Perovskite#PbTiO3#BaTiO3	Belous, A.; V'yunov, O. (Vyunov, O.); Kovalenko, L.	3.9929(1) 3.9929(1) 4.0356(1) 90 90 90	64.34	233.0433	293	2004		Ba	0.996	Y	0.004	Ti	1	_	0	O	3	3.9929	3.9929	4.0356	90	90	90	99	tetragonal	56	39	22	0	8	14	25	51	0	101	2.15	1.8	1.4	0	0.6	0.89	1.22	1.54	0	3.44	137.327	88.90585	47.867	0	15.9994	38.16	19.88	10.64	0	17.36	18	17	22	0	0.02658	272	162	100	0	5.3	5.02	3.65	2.95	0	6.83	6	5	4	0	2	2	3	4	0	16	2.004	3.9	-2	1.4882	0.7515	1.26	1.9803060546	1.1811111111	0.5964285714	0.7367	0.9660804654	88.521625	55.69	7.5	0.0007835277	58.15	276.7563939454	276.9857744108	278.98544973	-0.4970997773	1.315034626
166039	P n m a	(Bi0.7Gd0.3)(FeO3)	Perovskite#GdFeO3	Khomchenko, V.A.; Shvartsman, V.V.; Borisov, P.; Kleemann, W.; Kiselev, D.A.; Bdikin, I.K.; Vieira, J.M.; Kholkin, A.L.	5.6336(1) 7.7814(2) 5.4160(1) 90 90 90	237.42	297.308	293	2009		Bi	0.7	Gd	0.3	Fe	1	_	0	O	3	5.6336	7.7814	5.416	90	90	90	62	orthorhombic	83	64	26	0	8	87	27	61	0	101	1.6	1.8	1.4	0	0.6	2.02	1.2	1.83	0	3.44	208.9804	157.25	55.845	0	15.9994	21.31	19.9	7.09	0	17.36	8	11	80	0	0.02658	48	158	62	0	5.3	4.75	3.64	2.87	0	6.83	6	8	4	0	2	15	10	8	0	16	3	3	-2	1.1424	0.69	1.26	1.6556521739	0.9066666667	0.5476190476	0.4524	0.8711555544	56.074	31.09	7.41	2.42975354706053E-06	37.26	52.7967478261	53.2155033805	54.98544973	-0.6324486404	1.2147464268
166177	P 63/m m c	Ba5((Sn1.1Mn3.9)O15)	Cs5CaNi4F15	Yin Cong Ling; Li Guo Bao; Jin Tounan; Tao Julian; Richardson, J.W.; Loong Chun-K.; Liao Fuhui; Lin Jian Hua	5.717 5.717 23.534 90 90 120	666.14	1271.51	293	2010		Ba	1	_	0	Sn	0.22	Mn	0.78	O	3	5.717	5.717	23.534	90	90	120	194	hexagonal	56	0	50	25	8	14	0	83	60	101	2.15	0	1.45	1.4	0.6	0.89	0	1.96	1.55	3.44	137.327	0	118.71	54.938045	15.9994	38.16	0	16.29	7.35	17.36	18	0	67	7.8	0.02658	272	0	53	68	5.3	5.02	0	5.82	8.89	6.83	6	0	5	4	2	2	0	14	7	16	2	4	-2	1.49	0.7052	1.26	2.1128757799	1.1825396825	0.5596825397	0.7848	0.9894889315	41.101625	1.31	7.08	0.0020590379	10.73	276.6719242201	276.8766131516	278.992712991	-0.477688484	1.3995043513
